UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
AC,PORTO ACRE,UNIDADE DE SAUDE DA FAMILIA DANIEL GLENDSON DE LUCENA,TRAVESSA DAS MARGARIDAS LOTE 25 QUADRA 2,S/N,PROJETO CAQUETA,"TRAVESSA DAS MARGARIDAS LOTE 25 QUADRA 2, PROJETO CAQUETA, PORTO ACRE, AC, BRASIL",,,,
AM,APUI,TRES ESTADOS,COMUNIDADE TRES ESTADOS,S/N,VICINAL,"COMUNIDADE TRES ESTADOS, VICINAL, APUI, AM, BRASIL",,,,
AM,AUTAZES,UNIDADE BASICA DE SAUDE SAO FRANCISCO,COMUNIDADE MAMORI,S/N,ZONA RURAL,"COMUNIDADE MAMORI, ZONA RURAL, AUTAZES, AM, BRASIL",,,,
AM,AUTAZES,UNIDADE BASICA DE SAUDE ACU PURANGA,COMUNIDADE DO ACU PURANGA,S/N,ZONA RURAL,"COMUNIDADE DO ACU PURANGA, ZONA RURAL, AUTAZES, AM, BRASIL",,,,
AM,BORBA,UNIDADE DE SAUDE DA FAMILIA ESF OTACIAS BATISTA E SILVA,VILA FOZ DE CANUMA,S/N,ZONA RURAL,"VILA FOZ DE CANUMA, ZONA RURAL, BORBA, AM, BRASIL",,,,
AM,CARAUARI,UNIDADE BASICA DE SAUDE FLUVIAL JOSE RODRIGUES DE AMORIM,COMUNIDADES RIBEIRINHAS,S/N,ZONA RURAL,"COMUNIDADES RIBEIRINHAS, ZONA RURAL, CARAUARI, AM, BRASIL",,,,
AM,HUMAITA,UNIDADE BASICA DE SAUDE LAGO DE URUAPEARA,AREA RURAL FLUVIAL COMUNIDADE LAGO DE URUAPEARA,99999999,ZONA RURAL,"AREA RURAL FLUVIAL COMUNIDADE LAGO DE URUAPEARA, ZONA RURAL, HUMAITA, AM, BRASIL",,,,
AM,IPIXUNA,POSTO DE SAUDE SANTA MARIA,COMUNIDADE BOCA DO PUCA,S/N,ZONA RURAL,"COMUNIDADE BOCA DO PUCA, ZONA RURAL, IPIXUNA, AM, BRASIL",,,,
AM,JAPURA,UBS SAO RAIMUNDO,COMUNIDADE VENCEDOR,S/N,ZONA RURAL,"COMUNIDADE VENCEDOR, ZONA RURAL, JAPURA, AM, BRASIL",,,,
AM,JAPURA,UNIDADE BASICA DE SAUDE RAIMUNDO MAIA,COMUNIDADE ACANAUI,S/N,ZONA RURAL,"COMUNIDADE ACANAUI, ZONA RURAL, JAPURA, AM, BRASIL",,,,
AM,MANAUS,UBS RURAL TABOCAL BONSUCESSO,COMUNIDADE BOM SUCESSO COSTA DO TABOCAL,S/N,ZONA RURAL,"COMUNIDADE BOM SUCESSO COSTA DO TABOCAL, ZONA RURAL, MANAUS, AM, BRASIL",,,,
