UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
AL,AGUA BRANCA,POSTO DE SAUDE DO ESTREITO,SITIO ESTREITO,S/N,ZONA RURAL,"SITIO ESTREITO, ZONA RURAL, AGUA BRANCA, AL, BRASIL",-9.25402,-37.94487,Água Branca,"9 15m 14.472s S, 37 56m 41.532s W"
AL,AGUA BRANCA,UNIDADE DRA QUITERIA BEZERRA DE MELO,RUA PADRE EPIFANIO MOURA,S/N,CENTRO,"RUA PADRE EPIFANIO MOURA, CENTRO, AGUA BRANCA, AL, BRASIL",-5.45258,-39.71468,"Rua Padre João Epifânio, 63630-000, Pedra Branca","5 27m 9.288s S, 39 42m 52.848s W"
AL,AGUA BRANCA,POSTO DE SAUDE LAGOA DAS PEDRAS,SITIO LAGOA DAS PEDRAS,S/N,ZONA RURAL,"SITIO LAGOA DAS PEDRAS, ZONA RURAL, AGUA BRANCA, AL, BRASIL",-22.7544,-47.61744,"Avenida Rio das Pedras, 13420, 13425, Piracicaba","22 45m 15.84s S, 47 37m 2.784s W"
AL,AGUA BRANCA,POSTO DE SAUDE TABULEIRO,POVOADO TABULEIRO,S/N,ZONA RURAL,"POVOADO TABULEIRO, ZONA RURAL, AGUA BRANCA, AL, BRASIL",-9.25402,-37.94487,Água Branca,"9 15m 14.472s S, 37 56m 41.532s W"
AL,AGUA BRANCA,POSTO DE SAUDE DA PAPATERRA,POVOADO PAPATERRA,S/N,ZONA RURAL,"POVOADO PAPATERRA, ZONA RURAL, AGUA BRANCA, AL, BRASIL",-9.25402,-37.94487,Água Branca,"9 15m 14.472s S, 37 56m 41.532s W"
AL,AGUA BRANCA,POSTO DE SAUDE ALTO DOS COELHOS,POVOADO ALTO DOS COELHOS,S/N,ZONA RURAL,"POVOADO ALTO DOS COELHOS, ZONA RURAL, AGUA BRANCA, AL, BRASIL",-5.88593,-42.62854,"Estrada para Povoado Baixão do Coco dos Ricardos, 64460-000, Água Branca","5 53m 9.348s S, 42 37m 42.744s W"
AL,AGUA BRANCA,PACS OURICURI,POVOADO OURICURI,S/N,ZONA RURAL,"POVOADO OURICURI, ZONA RURAL, AGUA BRANCA, AL, BRASIL",-9.25402,-37.94487,Água Branca,"9 15m 14.472s S, 37 56m 41.532s W"
AL,AGUA BRANCA,POSTO DE SAUDE QUIXABEIRA,POVOADO QUIXABEIRA,S/N,ZONA RURAL,"POVOADO QUIXABEIRA, ZONA RURAL, AGUA BRANCA, AL, BRASIL",-9.25402,-37.94487,Água Branca,"9 15m 14.472s S, 37 56m 41.532s W"
AL,AGUA BRANCA,POSTO DE SAUDE DA SERRA DO CAVALO,POVOADO SERRA DO CAVALO,S/N,ZONA RURAL,"POVOADO SERRA DO CAVALO, ZONA RURAL, AGUA BRANCA, AL, BRASIL",-5.88593,-42.62854,"Estrada para Povoado Baixão do Coco dos Ricardos, 64460-000, Água Branca","5 53m 9.348s S, 42 37m 42.744s W"
AL,AGUA BRANCA,UNIDADE BASICA DE SAUDE ENOQUE GOMES,RODOVIA AL 145,S/N,CENTRO,"RODOVIA AL 145, CENTRO, AGUA BRANCA, AL, BRASIL",-6.2390908,-42.6882601,"Avenida Alberto Leal Nunes, Centro, Regeneração, Região Geográfica Imediata de Amarante - Água Branca - Regeneração, Região Geográfica Intermediária de Teresina, Piauí, Região Nordeste, 64490-000, Brasil","6 14m 20.7269s S, 42 41m 17.7364s W"
