UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
AM,ALVARAES,POSTO DE SAUDE SAO SEBASTIAO DO CURUMITA,COMUNIDADE SAO SEBASTIAO,S/N,ZONA RURAL,"COMUNIDADE SAO SEBASTIAO, ZONA RURAL, ALVARAES, AM, BRASIL",-2.57185,-57.86834,São Sebastião do Uatumã,"2 34m 18.66s S, 57 52m 6.024s W"
AM,ALVARAES,UBS ELISANGELA LITAIFF,RUA RAIMUNDO FRAZAO GONCALVES,S/N,OCINE LITAIFF,"RUA RAIMUNDO FRAZAO GONCALVES, OCINE LITAIFF, ALVARAES, AM, BRASIL",-3.21248,-64.81659,"Rua Raimundo Frazão Gonçalves, Alvarães","3 12m 44.928s S, 64 48m 59.724s W"
AM,ALVARAES,CENTRO DE SAUDE DE HONEI ORLAN,RUA TEFE,126,CENTRO,"RUA TEFE, CENTRO, ALVARAES, AM, BRASIL",-3.21385,-64.80763,"Rua Tefé, 69540-000, Alvarães","3 12m 49.86s S, 64 48m 27.468s W"
AM,ALVARAES,CENTRO DE SAUDE SANTA LUZIA,RUA RAIMUNDO VASCONCELOS LAVOR,540,SANTA LUZIA,"RUA RAIMUNDO VASCONCELOS LAVOR, SANTA LUZIA, ALVARAES, AM, BRASIL",-3.21635,-64.81501999999999,"Rua Francisco Vasconcelos Lavor, 69540-000, Alvarães","3 12m 58.86s S, 64 48m 54.072s W"
AM,ALVARAES,POSTO DE SAUDE VILA SIAO,COMUNIDADE VILA SIAO,S/N,ZONA RURAL,"COMUNIDADE VILA SIAO, ZONA RURAL, ALVARAES, AM, BRASIL",-3.10325,-59.99222,"Beco Sião, 69047-011, Manaus","3 6m 11.7s S, 59 59m 31.992s W"
AM,ALVARAES,CENTRO DE SAUDE VILA NOGUEIRA,RUA NITEROI,S/N,COMUNIDADE DE NOGUEI,"RUA NITEROI, COMUNIDADE DE NOGUEI, ALVARAES, AM, BRASIL",-3.30122,-64.78128000000001,"Rua Niterói, 69540-000, Alvarães","3 18m 4.392s S, 64 46m 52.608s W"
AM,AMATURA,UNIDADE BASICA DE SAUDE ALTINA GONCALVES,FREI PIO,295,CENTRO,"FREI PIO, CENTRO, AMATURA, AM, BRASIL",-3.3605833,-68.19745350000001,"Rua Frei Pio, Centro, Amaturá, Região Geográfica Imediata de Tabatinga, Região Geográfica Intermediária de Tefé, Amazonas, Região Norte, 69620-000, Brasil","3 21m 38.0999s S, 68 11m 50.8326s W"
AM,AMATURA,UBS SERGIO PEREIRA PESSOA,RUA DAS INDUSTRIAS,1454,SANTA ETELVINA,"RUA DAS INDUSTRIAS, SANTA ETELVINA, AMATURA, AM, BRASIL",-3.3669566,-68.1961875,"Rua das Indústrias, Santa Etelvina, Amaturá, Região Geográfica Imediata de Tabatinga, Região Geográfica Intermediária de Tefé, Amazonas, Região Norte, 69620-000, Brasil","3 22m 1.04376s S, 68 11m 46.275s W"
AM,AMATURA,UBS IRMAOS RAMIRES,SAO SEBASTIAO,1,ZONA RURAL,"SAO SEBASTIAO, ZONA RURAL, AMATURA, AM, BRASIL",-2.57185,-57.86834,São Sebastião do Uatumã,"2 34m 18.66s S, 57 52m 6.024s W"
AM,ANAMA,UBS RURAL JOAO BATISTA,VILA DO MATO GROSSO,S/N,COMUNIDADE,"VILA DO MATO GROSSO, COMUNIDADE, ANAMA, AM, BRASIL",-16.4634,-54.61205,"Rua Ana Moreira de Matos, 78730-715, Rondonópolis","16 27m 48.24s S, 54 36m 43.38s W"
AM,ANAMA,UBS URBANA CLEONICE DA SILVA TELES,ESTRADA ANAMA CUIA,S/N,CENTRO,"ESTRADA ANAMA CUIA, CENTRO, ANAMA, AM, BRASIL",-3.58076,-61.40329000000001,"Estrada Anamã Cuia, 69445-000, Anamã","3 34m 50.736s S, 61 24m 11.844s W"
AM,ANAMA,UBS FLUVIAL DR OSWALDO PALHARES,ZONA RURAL,S/N,MUNICIPIO DE ANAMA,"ZONA RURAL, MUNICIPIO DE ANAMA, ANAMA, AM, BRASIL",-3.58085,-61.40591,Anamã,"3 34m 51.06s S, 61 24m 21.276s W"
AM,ANAMA,UBS RURAL MANOEL VIEIRA COMPTON,VILA DO ARIXI,S/N,COMUNIDADE,"VILA DO ARIXI, COMUNIDADE, ANAMA, AM, BRASIL",-7.515910000000001,-63.02737,"Vila do Dner, 69800-000, Humaitá","7 30m 57.276s S, 63 1m 38.532s W"
AM,ANAMA,UBS RURAL JOAQUIM RODRIGUES,VILA DO CUIA,S/N,COMUNIDADE,"VILA DO CUIA, COMUNIDADE, ANAMA, AM, BRASIL",-7.515910000000001,-63.02737,"Vila do Dner, 69800-000, Humaitá","7 30m 57.276s S, 63 1m 38.532s W"
AM,ANAMA,POLO BASE INDIGENA ANAMA,RUA ALVARO MAIA,S/N,CENTRO,"RUA ALVARO MAIA, CENTRO, ANAMA, AM, BRASIL",-3.57651,-61.40605,"Rua Álvaro Maia, 69445, Anamã","3 34m 35.436s S, 61 24m 21.78s W"
AM,ANAMA,UBS RURAL TERESA CAMARA,VILA DO NOVO BRASIL,S/N,COMUNIDADE,"VILA DO NOVO BRASIL, COMUNIDADE, ANAMA, AM, BRASIL",-3.04772,-59.97091,"Rua Vila do Flexal, 69055-051, Manaus","3 2m 51.792s S, 59 58m 15.276s W"
AM,ANORI,CENTRO DE SAUDE JULIO TELES DE SOUZA,PRACA CAPITAO PEDRO SILVA,S/N,CENTRO,"PRACA CAPITAO PEDRO SILVA, CENTRO, ANORI, AM, BRASIL",-3.74866,-61.66023000000001,"Rua Capitão Pedro Silva, 69440, Anori","3 44m 55.176s S, 61 39m 36.828s W"
AM,ANORI,POSTO DE SAUDE FAUSTO GOMES DA ROCHA,PRACA CAP PEDRO SILVA,S/N,CENTRO,"PRACA CAP PEDRO SILVA, CENTRO, ANORI, AM, BRASIL",-3.74866,-61.66023000000001,"Rua Capitão Pedro Silva, 69440, Anori","3 44m 55.176s S, 61 39m 36.828s W"
AM,APUI,POSTO DE SAUDE ANIZIO FERREIRA DA SILVA,DOM PEDRO I,S/N,SAO SEBASTIAO,"DOM PEDRO I, SAO SEBASTIAO, APUI, AM, BRASIL",-22.9643,-47.00072,"Rua Dom Pedro I, 13271-030, Valinhos","22 57m 51.48s S, 47 0m 2.592s W"
AM,APUI,CENTRO DE SAUDE CURUMIM,RUA JOINVILE,S/N,VILA RICA,"RUA JOINVILE, VILA RICA, APUI, AM, BRASIL",-23.64257000000001,-46.31238,"Rua Alcides Marcílio Martins, 08625-354, Suzano","23 38m 33.252s S, 46 18m 44.568s W"
AM,APUI,POSTO DE SAUDE PADRE FALIERO BONCI,VICINAL CORUJA KM 17,S/N,RURAL,"VICINAL CORUJA KM 17, RURAL, APUI, AM, BRASIL",-12.41614,-41.79008,"Estrada Vicinal Para Tenda Zona Rural, 17, 46900-000, Seabra","12 24m 58.104s S, 41 47m 24.288s W"
AM,APUI,POSTO DE SAUDE IRMA ELIZABETE,RUA DA MORENA,S/N,MORENA,"RUA DA MORENA, MORENA, APUI, AM, BRASIL",-7.19711,-59.89377,"Rua da Morena, 69265-000, Apuí","7 11m 49.596s S, 59 53m 37.572s W"
AM,APUI,POSTO DE SAUDE RURAL DE SUCUNDURI,ERNESTO GAISEL,S/N,SUCUNDURI,"ERNESTO GAISEL, SUCUNDURI, APUI, AM, BRASIL",-3.57611,-59.12297,"Rua Ernesto Geisel, 69240-000, Autazes","3 34m 33.996s S, 59 7m 22.692s W"
AM,APUI,TRES ESTADOS,COMUNIDADE TRES ESTADOS,S/N,VICINAL,"COMUNIDADE TRES ESTADOS, VICINAL, APUI, AM, BRASIL",,,,
AM,APUI,CLAUDIA PEREIRA DOS SANTOS DAMACENA,VICINAL ESTRADA NOVA,30,VICINAL,"VICINAL ESTRADA NOVA, VICINAL, APUI, AM, BRASIL",-21.34185,-51.63247,"Estrada Nova Guataporanga-Tupi Paulista, 17950-000, Nova Guataporanga","21 20m 30.66s S, 51 37m 56.892s W"
AM,ATALAIA DO NORTE,UNIDADE BASICA DE SAUDE DONA JOANA,RUA CUNHA GOMES,S/N,CENTRO,"RUA CUNHA GOMES, CENTRO, ATALAIA DO NORTE, AM, BRASIL",-4.36512,-70.19363,"Rua Cunha Gomes, 69650-000, Atalaia do Norte","4 21m 54.432s S, 70 11m 37.068s W"
AM,ATALAIA DO NORTE,UNIDADE BASICA DE SAUDE SAO FRANCISCO,RUA 31 DE MARCO,S/N,CENTRO,"RUA 31 DE MARCO, CENTRO, ATALAIA DO NORTE, AM, BRASIL",-4.36549,-70.19293,"Rua Trinta e Onze de Março, 31, 69650-000, Atalaia do Norte","4 21m 55.764s S, 70 11m 34.548s W"
AM,ATALAIA DO NORTE,UNIDADE BASICA DE SAUDE DE PAUMARI,COMUNIDADE DE PAUMARI,S/N,ZONA RURAL,"COMUNIDADE DE PAUMARI, ZONA RURAL, ATALAIA DO NORTE, AM, BRASIL",-4.3642400000000015,-70.19202,Atalaia do Norte,"4 21m 51.264s S, 70 11m 31.272s W"
AM,AUTAZES,UNIDADE BASICA DE SAUDE SANTA JULIA,COMUNIDADE DO SAMPAIO,S/N,ZONA RURAL,"COMUNIDADE DO SAMPAIO, ZONA RURAL, AUTAZES, AM, BRASIL",-22.28377,-51.91015,"Via de Acesso à Zona Rural, 19260-000, Mirante do Paranapanema","22 17m 1.572s S, 51 54m 36.54s W"
AM,AUTAZES,UNIDADE BASICA DE SAUDE ESTACIO ODUVALDO PEREIRA MOTA,COMUNIDADE NOVO MASTRO,S/N,ZONA RURAL,"COMUNIDADE NOVO MASTRO, ZONA RURAL, AUTAZES, AM, BRASIL",-21.46349,-49.21249,"Rua Antônio Messias de Castro, 14960-000, Novo Horizonte","21 27m 48.564s S, 49 12m 44.964s W"
AM,AUTAZES,UNIDADE BASICA DE SAUDE ANA DIAS,COMUNIDADE DO ROSARINHO,S/N,ZONA RURAL,"COMUNIDADE DO ROSARINHO, ZONA RURAL, AUTAZES, AM, BRASIL",-3.58129,-59.13295,"Rua do Engenho & Estrada Autazes Rosarinho, 69240, Autazes","3 34m 52.644s S, 59 7m 58.62s W"
AM,AUTAZES,UNIDADE BASICA DE SAUDE SAO FRANCISCO,COMUNIDADE MAMORI,S/N,ZONA RURAL,"COMUNIDADE MAMORI, ZONA RURAL, AUTAZES, AM, BRASIL",,,,
AM,AUTAZES,UNIDADE BASICA DE SAUDE GILBERTO PINTO,COMUNIDADE NOVO CEU,S/N,ZONA RURAL,"COMUNIDADE NOVO CEU, ZONA RURAL, AUTAZES, AM, BRASIL",-3.41062,-58.7766,"Itacoatiara - Autazes, Nova Olinda do Norte","3 24m 38.232s S, 58 46m 35.76s W"
AM,AUTAZES,UNIDADE BASICA DE SAUDE SANTA VERONICA,VILA DE URUCURITUBA,S/N,ZONA RURAL,"VILA DE URUCURITUBA, ZONA RURAL, AUTAZES, AM, BRASIL",-17.34804,-49.93089000000001,"Via de Acesso à Zona Rural, 75940-000, Edéia","17 20m 52.944s S, 49 55m 51.204s W"
AM,AUTAZES,UNIDADE BASICA DE SAUDE MONTE SINAI,ESTRADA MANAUS AUTAZES KM 53,S/N,ZONA RURAL,"ESTRADA MANAUS AUTAZES KM 53, ZONA RURAL, AUTAZES, AM, BRASIL",-3.08513,-59.99616,"Rua Autazes, 53, 69060-438, Manaus","3 5m 6.468s S, 59 59m 46.176s W"
AM,AUTAZES,UNIDADE BASICA DE SAUDE MARIA MENDONCA,RUA 03 DE MARCO,S/N,JAIR TUPINAMBA,"RUA 03 DE MARCO, JAIR TUPINAMBA, AUTAZES, AM, BRASIL",-3.58587,-59.13104000000001,"Rua 03 de Dezembro, 69240-000, Autazes","3 35m 9.132s S, 59 7m 51.744s W"
AM,AUTAZES,UNIDADE BASICA DE SAUDE DANILO CORREA,AV AUTAZES,S/N,CENTRO,"AV AUTAZES, CENTRO, AUTAZES, AM, BRASIL",-3.57805,-59.1351,"Avenida Autazes, Autazes","3 34m 40.98s S, 59 8m 6.36s W"
AM,AUTAZES,UNIDADE BASICA DE SAUDE ANTONIO ENFERMEIRO,RUA FABIO LUCENA,S/N,WALDOMIRO SAMPAIO,"RUA FABIO LUCENA, WALDOMIRO SAMPAIO, AUTAZES, AM, BRASIL",-3.5805300000000004,-59.12365,"Rua Fábio Lucena, 69240-000, Autazes","3 34m 49.908s S, 59 7m 25.14s W"
AM,AUTAZES,UNIDADE BASICA DE SAUDE ACU PURANGA,COMUNIDADE DO ACU PURANGA,S/N,ZONA RURAL,"COMUNIDADE DO ACU PURANGA, ZONA RURAL, AUTAZES, AM, BRASIL",,,,
AM,AUTAZES,UNIDADE BASICA DE SAUDE DO SAO JOSE,RUA MARIO HUMBERTO,S/N,SAO JOSE,"RUA MARIO HUMBERTO, SAO JOSE, AUTAZES, AM, BRASIL",-3.58416,-59.13493,"Rua Mário Humberto, 69240-000, Autazes","3 35m 2.976s S, 59 8m 5.748s W"
AM,AUTAZES,UNIDADE BASICA DE SAUDE VEREADOR CLEIDSON OLIVEIRA,RUA MATHIAS FERREIRA LIMA,S/N,CIDADE NOVA,"RUA MATHIAS FERREIRA LIMA, CIDADE NOVA, AUTAZES, AM, BRASIL",-3.5817900000000003,-59.12857,"Rua Mathias Ferreira Lima, 69240-000, Autazes","3 34m 54.444s S, 59 7m 42.852s W"
AM,BARCELOS,UNIDADE BASICA DE SAUDE UBS SAO FRANCISCO,RUA ALEXANDRE AMBROSIO,4,SAO FRANCISCO,"RUA ALEXANDRE AMBROSIO, SAO FRANCISCO, BARCELOS, AM, BRASIL",-0.97631,-62.92359,"Rua Alexandre Ambrósio, Barcelos","0 58m 34.716s S, 62 55m 24.924s W"
AM,BARCELOS,UNIDADE BASICA DE SAUDE UBS APARECIDA,AV MARIUA,164,APARECIDA,"AV MARIUA, APARECIDA, BARCELOS, AM, BRASIL",-0.96794,-62.92888000000001,"Rua Mariuá, 69700-000, Barcelos","0 58m 4.584s S, 62 55m 43.968s W"
AM,BARCELOS,PROGRAMA DE AGENTES COMUNITARIOS DE SAUDE PACS,PORTO DE BARCELOS,S/N,CENTRO,"PORTO DE BARCELOS, CENTRO, BARCELOS, AM, BRASIL",-0.97103,-62.92593000000001,"Rua Dorival Porto, 69700-000, Barcelos","0 58m 15.708s S, 62 55m 33.348s W"
AM,BARCELOS,UNIDADE BASICA DE SAUDE UBS SAO SEBASTIAO,SAO SEBASTIAO,238,SAO SEBASTIAO,"SAO SEBASTIAO, SAO SEBASTIAO, BARCELOS, AM, BRASIL",-0.97186,-62.93025,"São Sebastião, Barcelos","0 58m 18.696s S, 62 55m 48.9s W"
AM,BARREIRINHA,POSTO DE SAUDE CELITA MENDES DA COSTA,DISTRITO DE PIRAI,S/N,ZONA RURAL,"DISTRITO DE PIRAI, ZONA RURAL, BARREIRINHA, AM, BRASIL",-17.34804,-49.93089000000001,"Via de Acesso à Zona Rural, 75940-000, Edéia","17 20m 52.944s S, 49 55m 51.204s W"
AM,BARREIRINHA,UNIDADE BASICA DE SAUDE MARIA DA CONCEICAO TRINDADE,RUA RAIMUNDO BELTRAO,S/N,LADISLAU LUCAS,"RUA RAIMUNDO BELTRAO, LADISLAU LUCAS, BARREIRINHA, AM, BRASIL",-2.53491,-57.75447,"Rua Raimundo Beltrão, 69130-000, Urucará","2 32m 5.676s S, 57 45m 16.092s W"
AM,BARREIRINHA,POSTO DE SAUDE GRACIETE DOS SANTOS,BARREIRA DO ANDIRA,S/N,ZONA RURAL,"BARREIRA DO ANDIRA, ZONA RURAL, BARREIRINHA, AM, BRASIL",-22.28377,-51.91015,"Via de Acesso à Zona Rural, 19260-000, Mirante do Paranapanema","22 17m 1.572s S, 51 54m 36.54s W"
AM,BARREIRINHA,CENTRO DE SAUDE GIOVANNA GALLI,RODOVIA BH1 NILO PEREIRA,34,SANTA LUZIA,"RODOVIA BH1 NILO PEREIRA, SANTA LUZIA, BARREIRINHA, AM, BRASIL",-2.8022400000000003,-57.06867,"Rua Nilo Pereira, Barreirinha","2 48m 8.064s S, 57 4m 7.212s W"
