UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
AP,AMAPA,PM APA UBS NOVA BRASILIA,RUA CONEGO DOMINGO MALTEZ,S/N,NOVA BRASILIA,"RUA CONEGO DOMINGO MALTEZ, NOVA BRASILIA, AMAPA, AP, BRASIL",0.70234,-51.39726,"Rua Nova Brasília, 68997-000, Porto Grande","0 42m 8.424s N, 51 23m 50.136s W"
AP,AMAPA,PM APA P S VISTA ALEGRE,COMUNIDADE DO VISTA ALEGRE,S/N,ZONA RURAL,"COMUNIDADE DO VISTA ALEGRE, ZONA RURAL, AMAPA, AP, BRASIL",-21.1723,-48.62502,"Rua Amapá, 15920-000, Vista Alegre do Alto","21 10m 20.28s S, 48 37m 30.072s W"
AP,AMAPA,PM APA P S CRUZEIRO,COMUNIDADE DO CRUZEIRO,S/N,ZONA RURAL,"COMUNIDADE DO CRUZEIRO, ZONA RURAL, AMAPA, AP, BRASIL",-0.04957,-51.11967,"Travessa São José Comunidade do Coração, 68903, Macapá","0 2m 58.452s S, 51 7m 10.812s W"
AP,AMAPA,PM APA P S AMAPA GRANDE,COMUNIDADE DO AMAPA GRANDE,S/N,ZONA RURAL,"COMUNIDADE DO AMAPA GRANDE, ZONA RURAL, AMAPA, AP, BRASIL",-0.04957,-51.11967,"Travessa São José Comunidade do Coração, 68903, Macapá","0 2m 58.452s S, 51 7m 10.812s W"
AP,AMAPA,PM APA UBS PIQUIA,COMUNIDADE DO PIQUIA,S/N,COMUNIDADE DO PIQUIA,"COMUNIDADE DO PIQUIA, COMUNIDADE DO PIQUIA, AMAPA, AP, BRASIL",-0.04957,-51.11967,"Travessa São José Comunidade do Coração, 68903, Macapá","0 2m 58.452s S, 51 7m 10.812s W"
AP,AMAPA,PM APA P S BASE AEREA,COMUNIDADE DA BASE AEREA,S/N,ZONA RURAL,"COMUNIDADE DA BASE AEREA, ZONA RURAL, AMAPA, AP, BRASIL",0.89551,-51.99809000000001,"Estrada Area Industrial & Rodovia Ayrton Senna da Silva, 68948, Serra do Navio","0 53m 43.836s N, 51 59m 53.124s W"
AP,AMAPA,PM APA PS DO SUCURIJU,COMUNIDADE DE SUCURIJU,S/N,C SUCURIJU,"COMUNIDADE DE SUCURIJU, C SUCURIJU, AMAPA, AP, BRASIL",2.04713,-50.79229,"Rua Desidério Antônio Coelho de Carvalho, 68950-000, Amapá","2 2m 49.668s N, 50 47m 32.244s W"
AP,AMAPA,SES AP UNID MISTA DE SAUDE DE AMAPA,AVN GUARANI,742,NOVA ESPERANCA,"AVN GUARANI, NOVA ESPERANCA, AMAPA, AP, BRASIL",0.03121,-51.08131,"Nova Esperança, Macapá","0 1m 52.356s N, 51 4m 52.716s W"
AP,AMAPA,PM APA PS CALAFATE,COMUNIDADE DO CALAFATE,S/N,CALAFATE,"COMUNIDADE DO CALAFATE, CALAFATE, AMAPA, AP, BRASIL",-0.04957,-51.11967,"Travessa São José Comunidade do Coração, 68903, Macapá","0 2m 58.452s S, 51 7m 10.812s W"
AP,CALCOENE,PMC UBS DR JOSE RIBAMAR CAVALCANTE,AV ANTONIO TEODORO LEAL,227,CENTRO,"AV ANTONIO TEODORO LEAL, CENTRO, CALCOENE, AP, BRASIL",2.49241,-50.94948,"Rua Teodoro Antônio Leal, 68960-000, Calçoene","2 29m 32.676s N, 50 56m 58.128s W"
AP,CALCOENE,PMC POSTO MUNICIPAL DE SAUDE DO CUNANI,VILA DO CUNANI,S/N,V CUNANI,"VILA DO CUNANI, V CUNANI, CALCOENE, AP, BRASIL",-15.79331,-47.85062,"Estrada Acampamento Pacheco Fernandes, 70802, 70803, 70804, 73340, Brasília","15 47m 35.916s S, 47 51m 2.232s W"
AP,CALCOENE,PMC UBS DO CARNOT,COMUNIDADE DO CARNOT,S/N,C CARNOT,"COMUNIDADE DO CARNOT, C CARNOT, CALCOENE, AP, BRASIL",-0.04957,-51.11967,"Travessa São José Comunidade do Coração, 68903, Macapá","0 2m 58.452s S, 51 7m 10.812s W"
AP,CALCOENE,PMC UBS GILMAR RAMOS VIEIRA,AV MANOEL SARMENTO,100,CEA,"AV MANOEL SARMENTO, CEA, CALCOENE, AP, BRASIL",2.49764,-50.95724000000001,"Rua Manoel Sarmento, 68960-000, Calçoene","2 29m 51.504s N, 50 57m 26.064s W"
AP,CALCOENE,UNIDADE BASICA DE SAUDE DO LORENCO,VILA DO LOURENCO,S/N,LOURENCO,"VILA DO LOURENCO, LOURENCO, CALCOENE, AP, BRASIL",-21.5622,-48.54817,"Estrada Municipal São Lourenço do Turvo-Vila do Quadro, 15991, Matão","21 33m 43.92s S, 48 32m 53.412s W"
AP,CALCOENE,SES AP UNID MISTA DE SAUDE DE CALCOENE,ANTONIO TEODORO LEAL,S/N,CENTRO,"ANTONIO TEODORO LEAL, CENTRO, CALCOENE, AP, BRASIL",2.49241,-50.94948,"Rua Teodoro Antônio Leal, 68960-000, Calçoene","2 29m 32.676s N, 50 56m 58.128s W"
AP,CUTIAS,PM CUT UBS AMERICO COELHO PEREIRA,RUA LEUVENCIO DA SILVA,S/N,CENTRO,"RUA LEUVENCIO DA SILVA, CENTRO, CUTIAS, AP, BRASIL",-21.04956,-50.05551,"Rua Carlos Ap. da Silva, 15265-000, Zacarias","21 2m 58.416s S, 50 3m 19.836s W"
AP,CUTIAS,PM CUT PS GURUPORA,RUA GURUPORA,S/N,CENTRO,"RUA GURUPORA, CENTRO, CUTIAS, AP, BRASIL",0.8981899999999999,-50.78417,"Avenida Gurupora, 68973-000, Cutias","0 53m 53.484s N, 50 47m 3.012s W"
AP,CUTIAS,PM CUT PS LIVRAMENTO DO PACUI,RUA LIVRAMENTO,S/N,CENTRO,"RUA LIVRAMENTO, CENTRO, CUTIAS, AP, BRASIL",-28.26899,-52.42552,"Avenida Brasil Centro & Rua Livramento, 99034, Passo Fundo","28 16m 8.364s S, 52 25m 31.872s W"
AP,CUTIAS,PM CUT PS SAO PAULO DO B ARAGUARI,BAIXO ARAGUARI,S/N,RIBEIRNHO,"BAIXO ARAGUARI, RIBEIRNHO, CUTIAS, AP, BRASIL",0.96667,-50.79767,Cutias,"0 58m 0.012s N, 50 47m 51.612s W"
AP,CUTIAS,PM CUT PS DE PRACUUBA DO ARAGUARI,RIO ARAGUARI,S/N,RIO ARAGUARI,"RIO ARAGUARI, RIO ARAGUARI, CUTIAS, AP, BRASIL",0.973862,-50.8076528,"Rua Rio Araguari, Beira Rio, Cutias, Região Geográfica Imediata de Oiapoque, Região Geográfica Intermediária de Oiapoque-Porto Grande, Amapá, Região Norte, Brasil","0 58m 25.9032s N, 50 48m 27.5501s W"
AP,FERREIRA GOMES,PMFG UBS MARIA JOANA MOREIRA DOS SANTOS,RUA MANOEL LINO LEAL,S/N,MONTANHA,"RUA MANOEL LINO LEAL, MONTANHA, FERREIRA GOMES, AP, BRASIL",0.85104,-51.17496,"Avenida Manoel Lino Leal, 68915-000, Ferreira Gomes","0 51m 3.744s N, 51 10m 29.856s W"
AP,FERREIRA GOMES,PMFG UBS MARIA EMILIA BATISTA FERREIRA,DISTRITO DO PAREDAO,S/N,ZONA RURAL,"DISTRITO DO PAREDAO, ZONA RURAL, FERREIRA GOMES, AP, BRASIL",-0.8341799999999999,-52.51662,"Rua Ferreira Gomes, 68924-000, Laranjal do Jari","0 50m 3.048s S, 52 30m 59.832s W"
AP,FERREIRA GOMES,PMFG UBS MARIA LEONICE TAVARES MOREIRA,RUA CASTELO BRANCO,S/N,CENTRO,"RUA CASTELO BRANCO, CENTRO, FERREIRA GOMES, AP, BRASIL",0.85731,-51.18161,"Rua Castelo Branco, 68915-000, Ferreira Gomes","0 51m 26.316s N, 51 10m 53.796s W"
AP,FERREIRA GOMES,PMFG UBS JOAO DE SOUZA MOREIRA,COMUNIDADE DO FERREIRINHA,S/N,ZONA RURAL,"COMUNIDADE DO FERREIRINHA, ZONA RURAL, FERREIRA GOMES, AP, BRASIL",-0.8341799999999999,-52.51662,"Rua Ferreira Gomes, 68924-000, Laranjal do Jari","0 50m 3.048s S, 52 30m 59.832s W"
AP,FERREIRA GOMES,PMFG UBS TRIUNFO DO ARAGUARI,TRIUNFO DO ARAGUARI,S/N,ZONA RURAL,"TRIUNFO DO ARAGUARI, ZONA RURAL, FERREIRA GOMES, AP, BRASIL",-0.8341799999999999,-52.51662,"Rua Ferreira Gomes, 68924-000, Laranjal do Jari","0 50m 3.048s S, 52 30m 59.832s W"
AP,FERREIRA GOMES,SES AP UNID MISTA DE SAUDE DE FERREIRA GOMES,AV LUZIA SERRA CAVALCANTE,774,CENTRO,"AV LUZIA SERRA CAVALCANTE, CENTRO, FERREIRA GOMES, AP, BRASIL",0.85683,-51.1824,"Avenida Luzia São Cavalcante, 68915-000, Ferreira Gomes","0 51m 24.588s N, 51 10m 56.64s W"
AP,ITAUBAL,PM ITA UBS CARMO DO MACACOARI,COMUNIDADE CARMO DO MACACOARI,1,VILA CDO MACACOARI,"COMUNIDADE CARMO DO MACACOARI, VILA CDO MACACOARI, ITAUBAL, AP, BRASIL",,,,
AP,ITAUBAL,PM ITA PS DO URUA,COMUNIDADE DO URUA,S/N,VILA DO URUA,"COMUNIDADE DO URUA, VILA DO URUA, ITAUBAL, AP, BRASIL",-22.73269,-47.3584,"Rua Juruá, 13469-430, Santa Bárbara d'Oeste","22 43m 57.684s S, 47 21m 30.24s W"
AP,ITAUBAL,PM ITA PS IGARAPE NOVO,LOCALIDADE DO IGARAPE NOVO,1,MARG DRIO AMAZONAS,"LOCALIDADE DO IGARAPE NOVO, MARG DRIO AMAZONAS, ITAUBAL, AP, BRASIL",-15.79276,-47.84874,"Via Acampamento Pacheco Fernandes, 70802, 70803, 70804, 73340, Brasília","15 47m 33.936s S, 47 50m 55.464s W"
AP,ITAUBAL,PM ITA UBS DE ITAUBAL,RUA JOAO PALHA DOS REIS,1,CENTRO,"RUA JOAO PALHA DOS REIS, CENTRO, ITAUBAL, AP, BRASIL",0.6030399999999999,-50.69868,"Rua João Palha dos Reis, 68976-000, Itaubal","0 36m 10.944s N, 50 41m 55.248s W"
AP,ITAUBAL,PM ITA PS IPIXUNA GRANDE,IGARAPE IPIXUNA GRANDE,1,MARGD RIO AMAZONAS,"IGARAPE IPIXUNA GRANDE, MARGD RIO AMAZONAS, ITAUBAL, AP, BRASIL",,,,
