UF,MUNICIPIO,NOME,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,LATITUDE,LONGITUDE,ENDERECO_API,POINT,CEP,CO_CNES
CE,ABAIARA,UBS DR SEBASTIAO CAVALCANTE ESF III,PE JOSE LEITE SAMPAIO,S/N,CENTRO,"PE JOSE LEITE SAMPAIO, CENTRO, ABAIARA, CE, BRASIL",-7.35969,-39.04879,"Rua Padre José Leite Sampaio, 63240-000, Abaiara","7 21m 34.884s S, 39 2m 55.644s W",63240-000,2497670
CE,ABAIARA,UBS VALDEMIRO SAMPAIO CRUZ ESF IV,SITIO OLHO DAGUA DE PEDRA,S/N,ZONA RURAL,"SITIO OLHO DAGUA DE PEDRA, ZONA RURAL, ABAIARA, CE, BRASIL",-7.1777,-38.77347,"Estrada do Sítio Olho d'Água & Rua Poço da Pedra, 63380, Barro","7 10m 39.72s S, 38 46m 24.492s W",63380,6431208
CE,ABAIARA,UBS VILA SAO JOSE ESF II,VILA DE SAO JOSE,S/N,ZONA RURAL,"VILA DE SAO JOSE, ZONA RURAL, ABAIARA, CE, BRASIL",-4.83344,-40.32529,"Rua Francisco Martins de Holanda Salustiano, 63750-000, Tamboril","4 50m 0.384s S, 40 19m 31.044s W",63750-000,2497662
CE,ABAIARA,UBS MARIA DE LOURDES DE JESUS ESF V,SITIO OITIS,S/N,ZONA RURAL,"SITIO OITIS, ZONA RURAL, ABAIARA, CE, BRASIL",-7.357369999999999,-39.05197,"Estrada Capoeiras Sítio Areias, Abaiara","7 21m 26.532s S, 39 3m 7.092s W",,7575351
CE,ABAIARA,UNIDADE SAO FRANCISCO,RUA JOSIAS LEITE TEIXEIRA,S/N,CENTRO,"RUA JOSIAS LEITE TEIXEIRA, CENTRO, ABAIARA, CE, BRASIL",-7.3601800000000015,-39.04814,"Rua Josias Leite Teixera, 63240-000, Abaiara","7 21m 36.648s S, 39 2m 53.304s W",63240-000,0
CE,ABAIARA,UBS JOAQUINA ALVES DE MEDEIROS ESF I,RUA JOAQUIM LEITE DA CUNHA,S/N,CENTRO,"RUA JOAQUIM LEITE DA CUNHA, CENTRO, ABAIARA, CE, BRASIL",-7.36145,-39.0499,"Rua Joaquim Leite da Cunha, 63240-000, Abaiara","7 21m 41.22s S, 39 2m 59.64s W",63240-000,2497689
CE,ACARAPE,POSTO DE SAUDE ALTO CIPRIANO,ESTRADA ALTO CIPRIANO,S/N,SITIO AMARGOSO,"ESTRADA ALTO CIPRIANO, SITIO AMARGOSO, ACARAPE, CE, BRASIL",-5.20787,-39.29109,"Rua Alto da Vista, 63800-000, Quixeramobim","5 12m 28.332s S, 39 17m 27.924s W",63800-000,0
CE,ACARAPE,CENTRO DE REABILITACAO,CE 060,S/N,CENTRO,"CE 060, CENTRO, ACARAPE, CE, BRASIL",-4.22421,-38.71153,"CE-060, Acarape","4 13m 27.156s S, 38 42m 41.508s W",,6293808
CE,ACARAPE,POSTO DE SAUDE DE TAMANDUA,SITIO TAMANDUA,S/N,SITIO TAMANDUA,"SITIO TAMANDUA, SITIO TAMANDUA, ACARAPE, CE, BRASIL",-7.22031,-39.42413,"Sítio Paraíso, 63115-500, Crato","7 13m 13.116s S, 39 25m 26.868s W",63115-500,0
CE,ACARAPE,POSTO DE SAUDE DE POCO ESCURO,VILA POCO ESCURO,S/N,POCO ESCURO,"VILA POCO ESCURO, POCO ESCURO, ACARAPE, CE, BRASIL",-4.95541,-40.5447,"Poço Escuro, Tamboril","4 57m 19.476s S, 40 32m 40.92s W",,2373416
CE,ACARAPE,POSTO DE SAUDE GARAPA I,GARAPA I,S/N,GARAPA,"GARAPA I, GARAPA, ACARAPE, CE, BRASIL",-4.22893,-39.19477,"Estrada para Garapa, 62730-000, Caridade","4 13m 44.148s S, 39 11m 41.172s W",62730-000,0
CE,ACARAPE,POSTO DE SAUDE DE MORENOS,SITIO MORENOS,S/N,SITIO MORENOS,"SITIO MORENOS, SITIO MORENOS, ACARAPE, CE, BRASIL",-25.55612,-49.26742,"Rua Radialista Souza Moreno, 81935-320, Curitiba","25 33m 22.032s S, 49 16m 2.712s W",81935-320,0
CE,ACARAPE,POSTO DE SAUDE PAU BRANCO II,PAU BRANCO II,S/N,PAU BRANCO,"PAU BRANCO II, PAU BRANCO, ACARAPE, CE, BRASIL",-4.2234,-38.69882,"Estrada do Pau Branco, 62785-000, Acarape","4 13m 24.24s S, 38 41m 55.752s W",62785-000,0
CE,ACARAPE,UNID MISTA SAUDE J OLVEIRA,RUA FRANCISCO LEITE DUARTE,S/N,CENTRO,"RUA FRANCISCO LEITE DUARTE, CENTRO, ACARAPE, CE, BRASIL",-6.88311,-39.8729,"Rua Francisco Leite Aguiar, 63140-000, Assaré","6 52m 59.196s S, 39 52m 22.44s W",63140-000,2373513
CE,ACARAPE,POSTO DE SAUDE SAO FRANCISCO,RUA JOSE GUILHERME,S/N,CENTRO,"RUA JOSE GUILHERME, CENTRO, ACARAPE, CE, BRASIL",-4.22465,-38.70542,"Rua José Guilherme Costa, 62785, Acarape","4 13m 28.74s S, 38 42m 19.512s W",62785,7749732
CE,ACARAPE,POSTO DE SAUDE DE CANTA GALO,COMUNIDADE DE CANTA GALO,S/N,CENTRO,"COMUNIDADE DE CANTA GALO, CENTRO, ACARAPE, CE, BRASIL",-4.26206,-38.68627,"Canta Galo, Acarape","4 15m 43.416s S, 38 41m 10.572s W",,2664259
CE,ACARAPE,POSTO DE SAUDE SAO BENEDITO,RUA FRANCISCO RAIMUNDO CAMPOS,S/N,SAO BENEDITO,"RUA FRANCISCO RAIMUNDO CAMPOS, SAO BENEDITO, ACARAPE, CE, BRASIL",-4.21856,-38.70564,"Rua Francisco Raimundo Campos, 62785-000, Acarape","4 13m 6.816s S, 38 42m 20.304s W",62785-000,2450666
CE,ACARAPE,POSTO DE SAUDE DE RIACHAO DO NORTE,VILA RIACHAO DO NORTE,S/N,CENTRO,"VILA RIACHAO DO NORTE, CENTRO, ACARAPE, CE, BRASIL",-5.24726,-38.12842,"Centro, Tabuleiro do Norte","5 14m 50.136s S, 38 7m 42.312s W",,0
CE,ACARAPE,POSTO DE SAUDE GARAPA II,GARAPA II,S/N,GARAPA II,"GARAPA II, GARAPA II, ACARAPE, CE, BRASIL",-6.8404,-35.128440000000005,"Travessa do Garapu II, 58280-000, Mamanguape","6 50m 25.44s S, 35 7m 42.384s W",58280-000,0
CE,ACARAPE,CENTRO DE SAUDE DE ACARAPE,RUA JOSE GUILHERME,S/N,CENTRO,"RUA JOSE GUILHERME, CENTRO, ACARAPE, CE, BRASIL",-4.22465,-38.70542,"Rua José Guilherme Costa, 62785, Acarape","4 13m 28.74s S, 38 42m 19.512s W",62785,2664232
CE,ACARAU,UNIDADE DE SAUDE DA FAMILIA MONSENHOR SABINHO,RUA JOSE JULIO LOUZADA,S/N,CENTRO,"RUA JOSE JULIO LOUZADA, CENTRO, ACARAU, CE, BRASIL",-2.88543,-40.11798,"Rua José Júlio Lousada, 62580-000, Acaraú","2 53m 7.548s S, 40 7m 4.728s W",62580-000,0
CE,ACARAU,POSTO DE SAUDE DE BARRINHA,POVOADO DE BARRINHA,S/N,BARRINHA,"POVOADO DE BARRINHA, BARRINHA, ACARAU, CE, BRASIL",-3.99635,-38.48361,"Povoado de Russega, 61700-000, Aquiraz","3 59m 46.86s S, 38 29m 0.996s W",61700-000,0
CE,ACARAU,UNIDADE SAUDE DA FAMILIA DE CAUASSU,POVOADO DE CAUASSU,S/N,CAUASSU,"POVOADO DE CAUASSU, CAUASSU, ACARAU, CE, BRASIL",-3.99635,-38.48361,"Povoado de Russega, 61700-000, Aquiraz","3 59m 46.86s S, 38 29m 0.996s W",61700-000,2664208
CE,ACARAU,UNIDADE SAUDE DA FAMILIA DE JURITIANHA,DISTRITO DE JURITIANHA,S/N,CENTRO,"DISTRITO DE JURITIANHA, CENTRO, ACARAU, CE, BRASIL",-15.684029999999998,-48.19457,"Centro de Comércio e Diversões, 72705-500, Brasília","15 41m 2.508s S, 48 11m 40.452s W",72705-500,2527944
CE,ACARAU,UNIDADE SAUDE DA FAMILIA SEDE PERIFERIA,RUA VIGARIO XAVIER,S/N,OUTRA BANDA,"RUA VIGARIO XAVIER, OUTRA BANDA, ACARAU, CE, BRASIL",-2.8790400000000003,-40.1199,"Rua Vigário Xavier, 62580-000, Acaraú","2 52m 44.544s S, 40 7m 11.64s W",62580-000,2527952
CE,ACARAU,UNIDADE SAUDE DA FAMILIA DE SITIO BURITI,SITIO BURITI,S/N,RUA SAO JOSE,"SITIO BURITI, RUA SAO JOSE, ACARAU, CE, BRASIL",-2.89562,-40.1161,"Rua São José, 62580-000, Acaraú","2 53m 44.232s S, 40 6m 57.96s W",62580-000,6267513
CE,ACARAU,USF DE CELSOLANDIA,RODOVIA CE 161 KM 31,S/N,RODOVIA CE 161,"RODOVIA CE 161 KM 31, RODOVIA CE 161, ACARAU, CE, BRASIL",-3.79958,-38.67495,"Rua 161, 161, 61604, Caucaia","3 47m 58.488s S, 38 40m 29.82s W",61604,2527901
CE,ACARAU,POSTO DE SAUDE DE AROEIRA,DISTRITO AROEIRA,S/N,AROEIRA,"DISTRITO AROEIRA, AROEIRA, ACARAU, CE, BRASIL",-3.80231,-38.51129,"Rua Aroeira, 60864-565, Fortaleza","3 48m 8.316s S, 38 30m 40.644s W",60864-565,2527855
CE,ACARAU,UNIDADE SAUDE DA FAMILIA MARCIA MARIA T SOUSA ROCHA,POVOADO DE ARANAU,S/N,CENTRO,"POVOADO DE ARANAU, CENTRO, ACARAU, CE, BRASIL",-2.82248,-40.22414000000001,"Rua Manoel Vicente de Sousa, 62585-000, Acaraú","2 49m 20.928s S, 40 13m 26.904s W",62585-000,2527936
CE,ACARAU,POSTO DE SAUDE DE CASTELHANO,CASTELHANO,S/N,ARANAU,"CASTELHANO, ARANAU, ACARAU, CE, BRASIL",-2.82055,-40.22393,"Aranaú, Acaraú","2 49m 13.98s S, 40 13m 26.148s W",,2724936
CE,ACARAU,UBS DO CENTRO,RUA JOSE JULIO LOUZADA,328,CENTRO,"RUA JOSE JULIO LOUZADA, CENTRO, ACARAU, CE, BRASIL",-2.88543,-40.11798,"Rua José Júlio Lousada, 62580-000, Acaraú","2 53m 7.548s S, 40 7m 4.728s W",62580-000,2367912
CE,ACARAU,USF DE MORADA NOVA,MORADA NOVA,S/N,MORADA NOVA,"MORADA NOVA, MORADA NOVA, ACARAU, CE, BRASIL",-5.1056300000000014,-38.36711,Morada Nova,"5 6m 20.268s S, 38 22m 1.596s W",,9016899
CE,ACARAU,POSTO DE SAUDE DE BARRINHA DE CIMA,POVOADO DE BARRINHA DE CIMA,S/N,ARANAU,"POVOADO DE BARRINHA DE CIMA, ARANAU, ACARAU, CE, BRASIL",-2.82248,-40.22414000000001,"Rua Manoel Vicente de Sousa, 62585-000, Acaraú","2 49m 20.928s S, 40 13m 26.904s W",62585-000,0
CE,ACARAU,POSTO DE SAUDE DE ALMESCEGAS,POVOADO DE ALMESCEGAS,S/N,PAULO VI,"POVOADO DE ALMESCEGAS, PAULO VI, ACARAU, CE, BRASIL",-2.87659,-40.12004,"Rua Vicente de Paula da Costa, 62580-000, Acaraú","2 52m 35.724s S, 40 7m 12.144s W",62580-000,0
CE,ACARAU,POSTO DE SAUDE DE ESPRAIADO,POVOADO DE ESPRAIADO,S/N,JURITIANHA,"POVOADO DE ESPRAIADO, JURITIANHA, ACARAU, CE, BRASIL",-3.99635,-38.48361,"Povoado de Russega, 61700-000, Aquiraz","3 59m 46.86s S, 38 29m 0.996s W",61700-000,2527898
CE,ACARAU,POSTO DE SAUDE DE VOLTA DO RIO,POVOADO DE VOLTA DO RIO,S/N,JURITIANHA,"POVOADO DE VOLTA DO RIO, JURITIANHA, ACARAU, CE, BRASIL",-3.73378,-38.59993,"Rua Volta do Rio, 60352-580, Fortaleza","3 44m 1.608s S, 38 35m 59.748s W",60352-580,2327767
CE,ACARAU,USF DE CARRAPATEIRAS,POVOADO DE CARRAPATEIRAS,S/N,CARRAPATEIRAS,"POVOADO DE CARRAPATEIRAS, CARRAPATEIRAS, ACARAU, CE, BRASIL",-3.99635,-38.48361,"Povoado de Russega, 61700-000, Aquiraz","3 59m 46.86s S, 38 29m 0.996s W",61700-000,3657965
CE,ACARAU,UNIDADE SAUDE DA FAMILIA DE VILA PROGRESSO,RODOVIA CE 161,S/N,CENTRO,"RODOVIA CE 161, CENTRO, ACARAU, CE, BRASIL",-3.45779,-40.20993,"Rua João Arcanjo de Maria, 62150-000, Santana do Acaraú","3 27m 28.044s S, 40 12m 35.748s W",62150-000,2527928
CE,ACARAU,USF RAIMUNDO ROCHA,POVOADO SANTA FE,S/N,SANTA FE,"POVOADO SANTA FE, SANTA FE, ACARAU, CE, BRASIL",-3.28214,-39.96021,"Santa Fé, Acaraú","3 16m 55.704s S, 39 57m 36.756s W",,2726416
CE,ACARAU,USF CURRAL VELHO,POVOADO DE CURRAL VELHO,S/N,CENTRO,"POVOADO DE CURRAL VELHO, CENTRO, ACARAU, CE, BRASIL",-3.45779,-40.20993,"Rua João Arcanjo de Maria, 62150-000, Santana do Acaraú","3 27m 28.044s S, 40 12m 35.748s W",62150-000,5130042
CE,ACARAU,USF ADALGIZA SILVEIRA,POVOADO DE LAGOA DO CARNEIRO,S/N,DISTRITO,"POVOADO DE LAGOA DO CARNEIRO, DISTRITO, ACARAU, CE, BRASIL",-3.04095,-40.05322,"Lagoa do Carneiro, Acaraú","3 2m 27.42s S, 40 3m 11.592s W",,3658007
CE,ACARAU,USF PAULO VI,RUA SDO,329,PAULO VI,"RUA SDO, PAULO VI, ACARAU, CE, BRASIL",-3.68422,-40.36694,"Rua Paulo VI, Sobral","3 41m 3.192s S, 40 22m 0.984s W",,3657973
CE,ACARAU,UNIDADE SAUDE DA FAMILIA DE BAILARINA,BAILARINA,S/N,BAILARINA,"BAILARINA, BAILARINA, ACARAU, CE, BRASIL",-2.8885400000000003,-40.1193,Acaraú,"2 53m 18.744s S, 40 7m 9.48s W",,6267505
CE,ACOPIARA,PSF GUARIBAS,VILA GAURIBAS,S/N,ZONA RURAL,"VILA GAURIBAS, ZONA RURAL, ACOPIARA, CE, BRASIL",-6.10203,-39.46767,"Vila Esperança, Acopiara","6 6m 7.308s S, 39 28m 3.612s W",,2714051
CE,ACOPIARA,UNIDADE BASICA DE SAUDE SAO JOAO,SITIO SAO JOAO,S/N,ZONA RURAL,"SITIO SAO JOAO, ZONA RURAL, ACOPIARA, CE, BRASIL",-6.08948,-39.46298,"Vila São João, Acopiara","6 5m 22.128s S, 39 27m 46.728s W",,164151
CE,ACOPIARA,POSTO DE SAUDE DE ISIDORO,DISTRITO DE ISIDORO,S/N,DISTRITO DE ISIDORO,"DISTRITO DE ISIDORO, DISTRITO DE ISIDORO, ACOPIARA, CE, BRASIL",-3.92286,-40.89567,"Estrada Distrito de Betânia, 62360-000, Ibiapina","3 55m 22.296s S, 40 53m 44.412s W",62360-000,2645009
CE,ACOPIARA,PSF RODOVIARIA,CE 060,S/N,CENTRO,"CE 060, CENTRO, ACOPIARA, CE, BRASIL",-6.09292,-39.45134,"Rua Padre Leopoldo, 63560-000, Acopiara","6 5m 34.512s S, 39 27m 4.824s W",63560-000,3896609
CE,ACOPIARA,PSF DA SEDE RURAL,VILA CAIXA,S/N,ZONA RURAL,"VILA CAIXA, ZONA RURAL, ACOPIARA, CE, BRASIL",-6.10203,-39.46767,"Vila Esperança, Acopiara","6 6m 7.308s S, 39 28m 3.612s W",,2717972
CE,ACOPIARA,POSTO DE SAUDE DA VILA AROEIRA,RUA JOAO FLORENCO,S/N,VILA AROEIRA,"RUA JOAO FLORENCO, VILA AROEIRA, ACOPIARA, CE, BRASIL",-6.10216,-39.44904,"Rua João Moreira Barros, 63560-000, Acopiara","6 6m 7.776s S, 39 26m 56.544s W",63560-000,2717956
CE,ACOPIARA,NUCLEO DE APOIO AS UNIDADES BASICA DE SAUDE DE ACOPIARA,AVENIDA PEDRO ALVES,20,CENTRO,"AVENIDA PEDRO ALVES, CENTRO, ACOPIARA, CE, BRASIL",-6.0929400000000005,-39.45471,"Avenida Pedro Alves, 63560-000, Acopiara","6 5m 34.584s S, 39 27m 16.956s W",63560-000,9864377
CE,ACOPIARA,PSF DE TRUSSU,CE 371,S/N,TRUSSU,"CE 371, TRUSSU, ACOPIARA, CE, BRASIL",-6.1586300000000005,-39.60491,"CE-371, 63560-000, Acopiara","6 9m 31.068s S, 39 36m 17.676s W",63560-000,2645017
CE,ACOPIARA,UNIDADE BASICA DE SAUDE VILA COBAL,JOSE PAULINO,S/N,COBAL,"JOSE PAULINO, COBAL, ACOPIARA, CE, BRASIL",-6.09234,-39.4568,"Rua José Paulino de Carvalho, Acopiara","6 5m 32.424s S, 39 27m 24.48s W",,6461255
CE,ACOPIARA,PSF DE VILA ESPERANCA,AVENIDA FRANCISCO UCHOA,S/N,ESPERANCA,"AVENIDA FRANCISCO UCHOA, ESPERANCA, ACOPIARA, CE, BRASIL",-6.10005,-39.46342,"Rua Francisco Uchôa, 63560-000, Acopiara","6 6m 0.18s S, 39 27m 48.312s W",63560-000,2611503
