UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
DF,BRASILIA,UBS 8 PADDF PARANOA,COLONIA AGRICOLA BR 251 KM 07,250,PARANOA,"COLONIA AGRICOLA BR 251 KM 07, PARANOA, BRASILIA, DF, BRASIL",-15.98202,-47.57965,"BR-251, Paranoá - DF, Brasil","15 58m 55.272s S, 47 34m 46.74s W"
DF,BRASILIA,UBS 08 TAGUATINGA,EQNL 24 AREA ESPECIAL,1,TAGUATINGA,"EQNL 24 AREA ESPECIAL, TAGUATINGA, BRASILIA, DF, BRASIL",-15.79899,-48.09603,"Eqnm 36/38 Área Especial S/N, Setor M Norte, Taguatinga - DF, 72145-517, Brasil","15 47m 56.364s S, 48 5m 45.708s W"
DF,BRASILIA,UBS 5 CHAPADINHA BRAZLANDIA,RESERVA A DF 240 DF 008 DF 445 KM 4,S/N,BRAZLANDIA,"RESERVA A DF 240 DF 008 DF 445 KM 4, BRAZLANDIA, BRASILIA, DF, BRASIL",-15.729389999999999,-48.12301,"DF-240, Brazlândia - DF, Brasil","15 43m 45.804s S, 48 7m 22.836s W"
DF,BRASILIA,UBS 10 JOAO CANDIDO SAO SEBASTIAO,RUA 14 LOTE,21,JOAO CANDIDO,"RUA 14 LOTE, JOAO CANDIDO, BRASILIA, DF, BRASIL",-22.752,-50.37297,"Rua João Dias Gimenez, Cândido Mota - SP, 19880-000, Brasil","22 45m 7.2s S, 50 22m 22.692s W"
DF,BRASILIA,UBS 2 BRAZLANDIA,QUADRA 45 AREA ESPECIAL VILA SAO JOSE,S/N,VILA SAO JOSE,"QUADRA 45 AREA ESPECIAL VILA SAO JOSE, VILA SAO JOSE, BRASILIA, DF, BRASIL",-22.74505,-43.32045,"Vila São José, Duque de Caxias, RJ, Brasil","22 44m 42.18s S, 43 19m 13.62s W"
DF,BRASILIA,UBS 4 ROTA DO CAVALO SOBRADINHO,DF 440 CONDOMINIO RESIDENCIAL SERRA VERDE KM 12,1,SOBRADINHO,"DF 440 CONDOMINIO RESIDENCIAL SERRA VERDE KM 12, SOBRADINHO, BRASILIA, DF, BRASIL",-15.665220000000001,-47.839940000000006,"Condomínio Residencial Meu Sonho, Sobradinho II, Sobradinho - DF, Brasil","15 39m 54.792s S, 47 50m 23.784s W"
DF,BRASILIA,UBS 08 RECANTO DAS EMAS SAO FRANCISCO,DF 280KM 03 QD 04 ST HAB AGUA QUENTE,S/N,RECANTO DAS EMAS,"DF 280KM 03 QD 04 ST HAB AGUA QUENTE, RECANTO DAS EMAS, BRASILIA, DF, BRASIL",-15.901570000000001,-48.05741,"Recanto das Emas, DF, Brasil","15 54m 5.652s S, 48 3m 26.676s W"
DF,BRASILIA,UBS 15 RIO PRETO PLANALTINA,NUCLEO RURAL RIO PRETO,1,PLANALTINA,"NUCLEO RURAL RIO PRETO, PLANALTINA, BRASILIA, DF, BRASIL",-15.7673715,-47.490785100000004,"Núcleo Rural Rio Preto, Planaltina, Região Geográfica Imediata do Distrito Federal, Região Integrada de Desenvolvimento do Distrito Federal e Entorno, Região Geográfica Intermediária do Distrito Federal, Distrito Federal, Região Centro-Oeste, Brasil","15 46m 2.5374s S, 47 29m 26.8264s W"
DF,BRASILIA,UBS 06 SAMAMBAIA,QS 122 CONJUNTO 06 LOTE,1,SAMAMBAIA SUL,"QS 122 CONJUNTO 06 LOTE, SAMAMBAIA SUL, BRASILIA, DF, BRASIL",-15.86994,-48.05875,"QS 122 Conjunto 6, Samambaia - DF, 72304-526, Brasil","15 52m 11.784s S, 48 3m 31.5s W"
DF,BRASILIA,UBS 12 PONTE ALTA GAMA,ANTIGO POSTO DA RECEITA FEDERAL DF,290,GAMA,"ANTIGO POSTO DA RECEITA FEDERAL DF, GAMA, BRASILIA, DF, BRASIL",-15.77829,-47.92909,"Brasília, DF, Brasil","15 46m 41.844s S, 47 55m 44.724s W"
