UF,MUNICIPIO,NOME,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,LATITUDE,LONGITUDE,ENDERECO_API,POINT,CEP,CO_CNES
ES,AFONSO CLAUDIO,UNIDADE S RURAL DE SAO FRANCISCO AFONSO CLAUDIO,SAO FRANCISCO,S/N,SAO FRANCISCO,"SAO FRANCISCO, SAO FRANCISCO, AFONSO CLAUDIO, ES, BRASIL",-19.9991436,-41.13382329991249,"Cemitério de São Francisco Xavier de Guandú, São Francisco Xavier do Guandu, Afonso Cláudio, Região Geográfica Imediata de Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá, Região Geográfica Intermediária de Vitória, Espírito Santo, Região Sudeste, 29600-000, Brasil","19 59m 56.917s S, 41 8m 1.76388s W",29600-000,0
ES,AFONSO CLAUDIO,UNIDADE S RURAL DE PIRACEMA AFONSO CLAUDIO,PIRACEMA,S/N,PIRACEMA,"PIRACEMA, PIRACEMA, AFONSO CLAUDIO, ES, BRASIL",-20.184686,-41.19446932626393,"Cemitério de Piracema, Piracema, Afonso Cláudio, Região Geográfica Imediata de Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá, Região Geográfica Intermediária de Vitória, Espírito Santo, Região Sudeste, 29600-000, Brasil","20 11m 4.8696s S, 41 11m 40.0896s W",29600-000,0
ES,AFONSO CLAUDIO,UNIDADE S RURAL DE SAO LUIZ DE BOA SORTE,SAO LUIZ DE BOA SORTE,S/N,PONTOES,"SAO LUIZ DE BOA SORTE, PONTOES, AFONSO CLAUDIO, ES, BRASIL",-20.34949,-40.36929,"Rua São Luiz, 29141, Cariacica","20 20m 58.164s S, 40 22m 9.444s W",29141,0
ES,AFONSO CLAUDIO,UNIDADE S DE SERRA PELADA AFONSO CLAUDIO,RUA QUINZE DE NOVEMBRO,S/N,SERRA PELADA,"RUA QUINZE DE NOVEMBRO, SERRA PELADA, AFONSO CLAUDIO, ES, BRASIL",-20.00472,-41.02756,"Rua Quinze de Novembro, 29603-000, Afonso Cláudio","20 0m 16.992s S, 41 1m 39.216s W",29603-000,0
ES,AFONSO CLAUDIO,UNIDADE DE SAUDE DA FAMILIA FRANCISCO XAVIER DE AZEREDO,RUA JOAO BATISTA DE ARAUJO,S/N,AMANCIO PIMENTA,"RUA JOAO BATISTA DE ARAUJO, AMANCIO PIMENTA, AFONSO CLAUDIO, ES, BRASIL",-20.0852857,-41.1258448,"Rua João Batista de Araujo, Amancio Pimenta, Afonso Cláudio, Região Geográfica Imediata de Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá, Região Geográfica Intermediária de Vitória, Espírito Santo, Região Sudeste, 29600-000, Brasil","20 5m 7.02852s S, 41 7m 33.0413s W",29600-000,0
ES,AFONSO CLAUDIO,UNIDADE S RURAL DE VILA PONTOES AFONSO CLAUDIO,VILA PONTOES,S/N,PONTOES,"VILA PONTOES, PONTOES, AFONSO CLAUDIO, ES, BRASIL",-20.1994951,-41.0459993,"Pontões, Afonso Cláudio, Região Geográfica Imediata de Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá, Região Geográfica Intermediária de Vitória, Espírito Santo, Região Sudeste, 29604-000, Brasil","20 11m 58.1824s S, 41 2m 45.5975s W",29604-000,0
ES,AFONSO CLAUDIO,UNIDADE S RURAL DE SANTO ANTONIO AFONSO CLAUDIO,COR SANTO ANTONIO,S/N,COR SANTO ANTONIO,"COR SANTO ANTONIO, COR SANTO ANTONIO, AFONSO CLAUDIO, ES, BRASIL",-20.06179,-41.11362,"Rua Antônio Jerônimo, 29600-000, Afonso Cláudio","20 3m 42.444s S, 41 6m 49.032s W",29600-000,0
ES,AFONSO CLAUDIO,UNIDADE DE SAUDE RURAL DE IBICABA,PATRIMONIO GONCALVES,S/N,PATRIMONIO GONCALVES,"PATRIMONIO GONCALVES, PATRIMONIO GONCALVES, AFONSO CLAUDIO, ES, BRASIL",-20.08343,-41.12778,"Rua Francisco T. Gonçalves, 29600-000, Afonso Cláudio","20 5m 0.348s S, 41 7m 40.008s W",29600-000,0
ES,AFONSO CLAUDIO,UNIDADE S RURAL DE FAZENDA GUANDU AFONSO CLAUDIO,FAZENDA GUANDU,S/N,FAZENDA GUANDU,"FAZENDA GUANDU, FAZENDA GUANDU, AFONSO CLAUDIO, ES, BRASIL",-20.21774505,-41.106678793178894,"Cemitério Municipal de Fazenda Guandu, Fazenda Guandu, Afonso Cláudio, Região Geográfica Imediata de Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá, Região Geográfica Intermediária de Vitória, Espírito Santo, Região Sudeste, 29600-000, Brasil","20 13m 3.88218s S, 41 6m 24.0437s W",29600-000,0
ES,AFONSO CLAUDIO,UNIDADE S RURAL DE ALTO GUANDU,LOC DE ALTO GUANDU,S/N,FAZENDA GUANDU,"LOC DE ALTO GUANDU, FAZENDA GUANDU, AFONSO CLAUDIO, ES, BRASIL",-20.21251,-41.10476,"Fazenda Guandu, Afonso Cláudio","20 12m 45.036s S, 41 6m 17.136s W",,0
