UF,MUNICIPIO,NOME,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,LATITUDE,LONGITUDE,ENDERECO_API,POINT,CEP,CO_CNES
GO,ABADIA DE GOIAS,UBS CAMPOS ELISIOS,RUA DR SERAFIM DE CARVALHO APM,S/N,SETOR CAMPOS ELISIOS,"RUA DR SERAFIM DE CARVALHO APM, SETOR CAMPOS ELISIOS, ABADIA DE GOIAS, GO, BRASIL",-16.78375,-49.48942,"Rua Dr Serafim Carvalho, 75345-000, Abadia de Goiás","16 47m 1.5s S, 49 29m 21.912s W",75345-000,0
GO,ABADIA DE GOIAS,UBS GORGONIO ALVES FORTES,RUA DR RUI ALVES NEIVA C AV DOM FELLIPE AMP 01,S/N,SETOR DOM FELLIPE,"RUA DR RUI ALVES NEIVA C AV DOM FELLIPE AMP 01, SETOR DOM FELLIPE, ABADIA DE GOIAS, GO, BRASIL",-16.7654,-49.43733,"Avenida Dr Rui Alves Neiva & Avenida Dom Felipe, 75345, Abadia de Goiás","16 45m 55.44s S, 49 26m 14.388s W",75345,9655093
GO,ABADIA DE GOIAS,UBS DR MARLOS CUSTODIO PEREIRA,RUA OMAR JOSE ALVES,S/N,VILA SOCORRO,"RUA OMAR JOSE ALVES, VILA SOCORRO, ABADIA DE GOIAS, GO, BRASIL",-13.28399,-46.40114000000001,"Rua José Alves da Silva, 73865-000, Divinópolis de Goiás","13 17m 2.364s S, 46 24m 4.104s W",73865-000,0
GO,ABADIA DE GOIAS,UBS RECANTO DOS DOURADOS,RUA CABO FRIO,S/N,SETOR RECANTO DOS DO,"RUA CABO FRIO, SETOR RECANTO DOS DO, ABADIA DE GOIAS, GO, BRASIL",-16.8232,-49.39729000000001,"Rua Cabo Frio, 75345-000, Abadia de Goiás","16 49m 23.52s S, 49 23m 50.244s W",75345-000,0
GO,ABADIANIA,POSTO DE SAUDE POSSE DA ABADIA ABADIANIA,PRC DA MATRIZ,S/N,CENTRO,"PRC DA MATRIZ, CENTRO, ABADIANIA, GO, BRASIL",-22.79827,-43.3736,"Rua da Matriz, 25520, 25525, 25545, 25550, São João de Meriti","22 47m 53.772s S, 43 22m 24.96s W",25520,0
GO,ABADIANIA,UBS LINDO HORIZONTE,RUA SETE,S/N,LINDO HORIZONTE,"RUA SETE, LINDO HORIZONTE, ABADIANIA, GO, BRASIL",-16.18427,-48.71463,"Rua do Ginásio Lindo Horizonte, 72940-000, Abadiânia","16 11m 3.372s S, 48 42m 52.668s W",72940-000,0
GO,ABADIANIA,UBS PLANALMIRA,RUA 49,S/N,DIST PLANALMIRA,"RUA 49, DIST PLANALMIRA, ABADIANIA, GO, BRASIL",-16.191329999999994,-48.71299000000001,"Rua A, 49, 72940-000, Abadiânia","16 11m 28.788s S, 48 42m 46.764s W",72940-000,2383527
GO,ABADIANIA,UBS EDUARDO ALMEIDA BALBINO,RUA JOAO SERGINO DE SOUZA,S/N,PROLONGAMENTO I,"RUA JOAO SERGINO DE SOUZA, PROLONGAMENTO I, ABADIANIA, GO, BRASIL",-16.20872,-48.70713,"Rua Sergino de Souza & Rua João Ferreira Diniz, 72940, Abadiânia","16 12m 31.392s S, 48 42m 25.668s W",72940,3905683
GO,ABADIANIA,UNIDADE MISTA,AVENIDA OTACILIO FERNANDES LIMA,S/N,CENTRO,"AVENIDA OTACILIO FERNANDES LIMA, CENTRO, ABADIANIA, GO, BRASIL",-7.879810000000001,-35.45867,"Rua Otacílio Fernandes de Lima, 55700-000, Limoeiro","7 52m 47.316s S, 35 27m 31.212s W",55700-000,0
GO,ABADIANIA,UBS CENTRAL,AVENIDA GERALDO RODRIGUES DOS SANTOS,712,CENTRO,"AVENIDA GERALDO RODRIGUES DOS SANTOS, CENTRO, ABADIANIA, GO, BRASIL",-16.1977,-48.70603,"Avenida Geraldo Rodrigues dos Santos, 72940-000, Abadiânia","16 11m 51.72s S, 48 42m 21.708s W",72940-000,2040107
