UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point,cep
MA,ACAILANDIA,UNIDADE BASICA DE SAUDE JUSCELINO KUBITSCHEK OLIVEIRA,RUA RAIMUNDO SAMPAIO,1,JUSCELINO KUBITSCHEK,"RUA RAIMUNDO SAMPAIO, JUSCELINO KUBITSCHEK, ACAILANDIA, MA, BRASIL",-4.94408,-47.50698,"Rua Juscelino Kubistchek, Açailândia","4 56m 38.688s S, 47 30m 25.128s W",
MA,ACAILANDIA,UNIDADE BASICA DE SAUDE LAENE SOARES DOS SANTOS,RUA DO MEIO,1,VILA ILDEMAR,"RUA DO MEIO, VILA ILDEMAR, ACAILANDIA, MA, BRASIL",-2.75768,-44.35476,"Rua do Meio, 65093-328, São Luís","2 45m 27.648s S, 44 21m 17.136s W",65093-328
MA,ACAILANDIA,UNIDADE BASICA DE SAUDE PEQUIA DE BAIXO,BR 222,S/N,POV PEQUIA,"BR 222, POV PEQUIA, ACAILANDIA, MA, BRASIL",-4.9527,-47.48614,"Rodovia BR-222, Açailândia","4 57m 9.72s S, 47 29m 10.104s W",
MA,ACAILANDIA,UNIDADE BASICA DE SAUDE NOVO BACABAL,BR 222,S/N,NOVO BACABAL,"BR 222, NOVO BACABAL, ACAILANDIA, MA, BRASIL",-4.778630000000001,-47.1348653,"BR-222, Novo Bacabal, Açailândia, Região Geográfica Imediata de Açailândia, Região Geográfica Intermediária de Imperatriz, Maranhão, Região Nordeste, Brasil","4 46m 43.068s S, 47 8m 5.51508s W",
MA,ACAILANDIA,UNIDADE BASICA DE SAUDE FRANKINALDO PEREIRA BATISTA,RUA PAU BRASIL,1,JARDIM GLORIA,"RUA PAU BRASIL, JARDIM GLORIA, ACAILANDIA, MA, BRASIL",-4.95856,-47.49828,"Rua Pau Brasil, 65930-000, Açailândia","4 57m 30.816s S, 47 29m 53.808s W",65930-000
MA,ACAILANDIA,UNIDADE BASICA DE SAUDE VILA MARANHAO,RUA MEDEIROS NETO,10,VILA MARANHAO,"RUA MEDEIROS NETO, VILA MARANHAO, ACAILANDIA, MA, BRASIL",-4.94178,-47.49843,"Rua Medeiros Neto, 65930-000, Açailândia","4 56m 30.408s S, 47 29m 54.348s W",65930-000
MA,ACAILANDIA,UNIDADE BASICA DE SAUDE LARANJEIRAS BOM JARDIM,RUA 13 DE MAIO,S/N,LARANJEIRA,"RUA 13 DE MAIO, LARANJEIRA, ACAILANDIA, MA, BRASIL",-4.94592,-47.48113,"Rua Treze de Maio, 13, 65930-000, Açailândia","4 56m 45.312s S, 47 28m 52.068s W",65930-000
MA,ACAILANDIA,UNIDADE BASICA DE SAUDE CORREGO NOVO,RUA PARAGUAI,S/N,CORREGO NOVO,"RUA PARAGUAI, CORREGO NOVO, ACAILANDIA, MA, BRASIL",-4.93784,-47.47027,"Rua Paraguai, 65930-000, Açailândia","4 56m 16.224s S, 47 28m 12.972s W",65930-000
MA,ACAILANDIA,UNIDADE BASICA DE SAUDE PLANO DA SERRA,RUA DEOLINO NOLACO DAS NEVES,S/N,PLANO DA SERRA,"RUA DEOLINO NOLACO DAS NEVES, PLANO DA SERRA, ACAILANDIA, MA, BRASIL",-4.93694,-47.49025,"Rua Nolasco das Neves, 65930-000, Açailândia","4 56m 12.984s S, 47 29m 24.9s W",65930-000
MA,ACAILANDIA,UNIDADE BASICA DE SAUDE RESIDENCIAL TROPICAL,AVENIDA KENEDY,73,RESIDENCIAL TROPICAL,"AVENIDA KENEDY, RESIDENCIAL TROPICAL, ACAILANDIA, MA, BRASIL",-4.94927,-47.50832,"Rua Tropical, Açailândia","4 56m 57.372s S, 47 30m 29.952s W",
MA,ACAILANDIA,UNIDADE BASICA DE SAUDE MACAUBA,RUA PEDRO I,S/N,MACAUBA,"RUA PEDRO I, MACAUBA, ACAILANDIA, MA, BRASIL",-4.94687,-47.50444,"Rua Dom Pedro I, 65930-000, Açailândia","4 56m 48.732s S, 47 30m 15.984s W",65930-000
MA,ACAILANDIA,UNIDADE BASICA DE SAUDE CALIFORNIA,RUA OZIEL ALVES,607,CALIFORNIA,"RUA OZIEL ALVES, CALIFORNIA, ACAILANDIA, MA, BRASIL",-5.06028,-47.55999,"Rua Margarida Alves, Açailândia","5 3m 37.008s S, 47 33m 35.964s W",
MA,ACAILANDIA,UNIDADE BASICA DE SAUDE OURO VERDE,RUA COELHO NETO,1,OURO VERDE,"RUA COELHO NETO, OURO VERDE, ACAILANDIA, MA, BRASIL",-5.15573,-44.2946,"Rua Coelho Neto, 65775-000, Gonçalves Dias","5 9m 20.628s S, 44 17m 40.56s W",65775-000
MA,ACAILANDIA,UNIDADE BASICA DE SAUDE JARDIM AMERICA,RUA SANTA CLARA,S/N,JARDIM AMERICA,"RUA SANTA CLARA, JARDIM AMERICA, ACAILANDIA, MA, BRASIL",-4.94447,-47.48009,"Rua Santa Clara, Açailândia","4 56m 40.092s S, 47 28m 48.324s W",
MA,ACAILANDIA,UNIDADE BASICA DE SAUDE MERLY NUNES DA COSTA COELHO,RUA SANTO ANTONIO,11,CONQUISTA DA LAGOA,"RUA SANTO ANTONIO, CONQUISTA DA LAGOA, ACAILANDIA, MA, BRASIL",-4.8986708,-47.6192656,"Rua Santo Antônio, Conquista da Lagoa, Açailândia, Região Geográfica Imediata de Açailândia, Região Geográfica Intermediária de Imperatriz, Maranhão, Região Nordeste, Brasil","4 53m 55.2149s S, 47 37m 9.35616s W",
MA,ACAILANDIA,UNIDADE BASICA DE SAUDE PLANALTO I,BR 222,S/N,PLANALTO I,"BR 222, PLANALTO I, ACAILANDIA, MA, BRASIL",-4.9527,-47.48614,"Rodovia BR-222, Açailândia","4 57m 9.72s S, 47 29m 10.104s W",
MA,ACAILANDIA,UNIDADE BASICA DE SAUDE NOVA VITORIA,ASSENTAMENTO NOVA VITORIA,S/N,NOVA CONQUISTA,"ASSENTAMENTO NOVA VITORIA, NOVA CONQUISTA, ACAILANDIA, MA, BRASIL",-1.5207,-45.07039,"Rua Nova Conquista, 65275-000, Apicum-Açu","1 31m 14.52s S, 45 4m 13.404s W",65275-000
MA,ACAILANDIA,UNIDADE BASICA DE SAUDE DR DALVADISIO MOREIRA DOS SANTOS,RUA RIO GRANDE,S/N,GETAT,"RUA RIO GRANDE, GETAT, ACAILANDIA, MA, BRASIL",-4.95096,-47.49527,"Rua Rio Grande, 65930-000, Açailândia","4 57m 3.456s S, 47 29m 42.972s W",65930-000
MA,ACAILANDIA,UNIDADE BASICA DE SAUDE JACU SUNIL,RUA BENTO GONCALVES,1,RESIDENCIAL PRIMAVER,"RUA BENTO GONCALVES, RESIDENCIAL PRIMAVER, ACAILANDIA, MA, BRASIL",-4.94879,-47.50827,"Rua Bento Gonçalves, 65930-000, Açailândia","4 56m 55.644s S, 47 30m 29.772s W",65930-000
MA,ACAILANDIA,UNIDADE BASICA DE SAUDE VILA SAO FRANCISCO,AVENIDA SANTA CLARA,S/N,JARDIM AMERICA,"AVENIDA SANTA CLARA, JARDIM AMERICA, ACAILANDIA, MA, BRASIL",-4.94447,-47.48009,"Rua Santa Clara, Açailândia","4 56m 40.092s S, 47 28m 48.324s W",
MA,ACAILANDIA,UNIDADE BASICA DE SAUDE JOSE FRANCISCO GONCALVES SOUSA,RUA 05,1,MASSARANDUBA PEQUIA,"RUA 05, MASSARANDUBA PEQUIA, ACAILANDIA, MA, BRASIL",-5.08811,-42.85482,"Rua 05, Timon","5 5m 17.196s S, 42 51m 17.352s W",
MA,ACAILANDIA,UNIDADE BASICA DE SAUDE MARIA DO CARMO CARNEIRO LIMA,RUA 20,1,VILA ILDEMAR,"RUA 20, VILA ILDEMAR, ACAILANDIA, MA, BRASIL",-2.57084,-44.30706,"Rua 20, 20, 65081, São Luís","2 34m 15.024s S, 44 18m 25.416s W",65081
