UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point,cep
MG,ABADIA DOS DOURADOS,UBS D MARIA DAS CHAGAS BRUNO,RUA QUINCA RODRIGUES,170,CENTRO,"RUA QUINCA RODRIGUES, CENTRO, ABADIA DOS DOURADOS, MG, BRASIL",-18.47088,-47.40512,"Rua Quinca Rodrigues, 38540-000, Abadia dos Dourados","18 28m 15.168s S, 47 24m 18.432s W",38540-000
MG,ABADIA DOS DOURADOS,CENTRO DE SAUDE DONA NAIR GOMES CALDAS,RUA DOUTOR CALIL PORTO,380,CENTRO,"RUA DOUTOR CALIL PORTO, CENTRO, ABADIA DOS DOURADOS, MG, BRASIL",-18.48923,-47.40479,"Rua Doutor Calil Porto, 38540-000, Abadia dos Dourados","18 29m 21.228s S, 47 24m 17.244s W",38540-000
MG,ABAETE,UNIDADE BASICA DE SAUDE FELICIANA LAGE,RUA RIO BRANCO,1175,SAO JOAO,"RUA RIO BRANCO, SAO JOAO, ABAETE, MG, BRASIL",-19.1507,-45.45939,"Rua Barão do Rio Branco, 35620-000, Abaeté","19 9m 2.52s S, 45 27m 33.804s W",35620-000
MG,ABAETE,UNIDADE BASICA DE SAUDE OLGA BATISTA,RUA GONCALVES DA ROCHA,150,SAO PEDRO,"RUA GONCALVES DA ROCHA, SAO PEDRO, ABAETE, MG, BRASIL",-19.1738515,-45.4368675,"Rua Gonçalves da Rocha, Bernardo Soares de Faria, São Pedro, Abaeté, Região Geográfica Imediata de Abaeté, Região Geográfica Intermediária de Divinópolis, Minas Gerais, Região Sudeste, 35620-000, Brasil","19 10m 25.8654s S, 45 26m 12.723s W",35620-000
MG,ABAETE,UNIDADE PRISIONAL DE ABAETE,RUA TREZE DE MAIO,1118,SANTO ANTONIO,"RUA TREZE DE MAIO, SANTO ANTONIO, ABAETE, MG, BRASIL",-19.157574800000003,-45.458541700000005,"Rua Treze de Maio, Olhos d'Água, Abaeté, Região Geográfica Imediata de Abaeté, Região Geográfica Intermediária de Divinópolis, Minas Gerais, Região Sudeste, 35620-000, Brasil","19 9m 27.2693s S, 45 27m 30.7501s W",35620-000
MG,ABAETE,UNIDADE BASICA DE SAUDE MARIA DE LOURDES A GUIMARAES,RUA RIO BRANCO,260,SANTO ANTONIO,"RUA RIO BRANCO, SANTO ANTONIO, ABAETE, MG, BRASIL",-18.46491,-43.30651,"Rua Rio Branco Ladeira Nazaret, 39160-000, Santo Antônio do Itambé","18 27m 53.676s S, 43 18m 23.436s W",39160-000
MG,ABAETE,UNIDADE BASICA DE SAUDE TEREZINHA NICOLI,RUA TEODORETO DE PAIVA,1395,NERIS,"RUA TEODORETO DE PAIVA, NERIS, ABAETE, MG, BRASIL",-19.1567,-45.4486,"Rua Theodoreto de Paiva, 35620-000, Abaeté","19 9m 24.12s S, 45 26m 54.96s W",35620-000
MG,ABAETE,UNIDADE BASICA DE SAUDE HELIANA VALADARES,RUA BARBARA CAROLINA,93,AMAZONAS,"RUA BARBARA CAROLINA, AMAZONAS, ABAETE, MG, BRASIL",-19.15381,-45.43868,"Rua Bárbara, 35620-000, Abaeté","19 9m 13.716s S, 45 26m 19.248s W",35620-000
MG,ABRE CAMPO,ESF FLECHAS,CORREGO DAS FLECHAS,S/N,ZONA RURAL,"CORREGO DAS FLECHAS, ZONA RURAL, ABRE CAMPO, MG, BRASIL",-20.3021,-42.47306,"Rua das Bicas, 35365-000, Abre Campo","20 18m 7.56s S, 42 28m 23.016s W",35365-000
MG,ABRE CAMPO,ESF BARROSO,CORREGO DO BARROSO,S/N,ZONA RURAL,"CORREGO DO BARROSO, ZONA RURAL, ABRE CAMPO, MG, BRASIL",-21.37156,-45.77605,"Córrego do Ouro, Campos Gerais","21 22m 17.616s S, 45 46m 33.78s W",
