UF,MUNICIPIO,NOME,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,LATITUDE,LONGITUDE,ENDERECO_API,POINT,CEP,CO_CNES
MS,AGUA CLARA,UBSF ELTON ALVES DE OLIVEIRA,PORTE BATISTA SOUZA,27,CENTRO,"PORTE BATISTA SOUZA, CENTRO, AGUA CLARA, MS, BRASIL",-20.4457626,-52.8799225,"Rua Porte Batista de Souza, Jardim Aeroporto, Água Clara, Região Geográfica Imediata de Três Lagoas, Região Geográfica Intermediária de Campo Grande, Mato Grosso do Sul, Região Centro-Oeste, 79680-000, Brasil","20 26m 44.7454s S, 52 52m 47.721s W",79680-000,2558793
MS,AGUA CLARA,UBSF MARIA LUIZA DA SILVA MARINHO,FERNANDO BASTOS JUNIOR,720,JD SANTOS DUMONT,"FERNANDO BASTOS JUNIOR, JD SANTOS DUMONT, AGUA CLARA, MS, BRASIL",-20.44029,-52.87358,"Rua Fernando Bastos Júnior, 79680-000, Água Clara","20 26m 25.044s S, 52 52m 24.888s W",79680-000,2535823
MS,AGUA CLARA,UBSF MARIA DO CARMO DA SILVA MARIA,AVENIDA LUIZ FIUZA LIMA,S/N,JARDIM MORUMBI,"AVENIDA LUIZ FIUZA LIMA, JARDIM MORUMBI, AGUA CLARA, MS, BRASIL",-20.4397995,-52.8861973,"Avenida Luiz Fiuza Lima, Jardim Morumbi, Água Clara, Região Geográfica Imediata de Três Lagoas, Região Geográfica Intermediária de Campo Grande, Mato Grosso do Sul, Região Centro-Oeste, 79680-000, Brasil","20 26m 23.2782s S, 52 53m 10.3103s W",79680-000,3989372
MS,AGUA CLARA,UBSF SEBASTIANA DE BRITO PASCOAL,ALBERTO BATISTA DE SOUZA,180,JARDIM DAS PALMEIRAS,"ALBERTO BATISTA DE SOUZA, JARDIM DAS PALMEIRAS, AGUA CLARA, MS, BRASIL",-20.44576,-52.87992,"Rua Porte Batista de Souza, 79680-000, Água Clara","20 26m 44.736s S, 52 52m 47.712s W",79680-000,9318348
MS,ALCINOPOLIS,HOSPITAL LOCAL AVERALDO F BARBOSA,AV AVERALDO FERNANDES BARBOSA,970,CENTRO,"AV AVERALDO FERNANDES BARBOSA, CENTRO, ALCINOPOLIS, MS, BRASIL",-18.3267682,-53.70439350000001,"Avenida Averaldo Fernandes Barbosa, Alcinópolis, Região Geográfica Imediata de Coxim, Região Geográfica Intermediária de Campo Grande, Mato Grosso do Sul, Região Centro-Oeste, Brasil","18 19m 36.3655s S, 53 42m 15.8166s W",,7173113
MS,ALCINOPOLIS,UNIDADE PSF DE ALCIONOPOLIS,RUA ERASMO FRANCO,635,CENTRO,"RUA ERASMO FRANCO, CENTRO, ALCINOPOLIS, MS, BRASIL",-18.3272227,-53.7014374,"Rua Erasmo Franco, Alcinópolis, Região Geográfica Imediata de Coxim, Região Geográfica Intermediária de Campo Grande, Mato Grosso do Sul, Região Centro-Oeste, Brasil","18 19m 38.0017s S, 53 42m 5.17464s W",,2659638
MS,ALCINOPOLIS,UNIDADE BASICA DE SAUDE DE ALCINOPOLIS,AV DARLINDO JOS CARNEIRO,1211,CENTRO,"AV DARLINDO JOS CARNEIRO, CENTRO, ALCINOPOLIS, MS, BRASIL",-18.32552,-53.70752,"Avenida Darlindo José Carneiro, 79530-000, Alcinópolis","18 19m 31.872s S, 53 42m 27.072s W",79530-000,2659611
MS,AMAMBAI,UNIDADE DE SAUDE DA FAMILIA VILA GLORIA,R JOANA BATISTA,815,VILA GLORIA,"R JOANA BATISTA, VILA GLORIA, AMAMBAI, MS, BRASIL",-23.10761,-55.21871,"Rua Joana Batista, Amambai","23 6m 27.396s S, 55 13m 7.356s W",,2611961
MS,AMAMBAI,UNIDADE DE SAUDE DA FAMILIA VILA GUAPECRISTINA,R DA REPUBLICA,S/N,VILA GUAPE,"R DA REPUBLICA, VILA GUAPE, AMAMBAI, MS, BRASIL",-23.10778,-55.22736,"Rua da República, 79990-000, Amambai","23 6m 28.008s S, 55 13m 38.496s W",79990-000,3280136
MS,AMAMBAI,UNIDADE DE SAUDE CENTRAL,JOSE LUIZ SAMPAIO FERRAZ,1553,VILA VILARINHO,"JOSE LUIZ SAMPAIO FERRAZ, VILA VILARINHO, AMAMBAI, MS, BRASIL",-23.10807,-55.21968,"Rua José Luís sampaio ferraz, 79990-000, Amambai","23 6m 29.052s S, 55 13m 10.848s W",79990-000,18856
MS,AMAMBAI,POSTO DE SAUDE VILA SAO LUIZ ESF,RUA D PEDRO II,3791,VILA SAO LUIZ,"RUA D PEDRO II, VILA SAO LUIZ, AMAMBAI, MS, BRASIL",-2.62624,-44.26874,"Rua Dom Pedro II, 65090-753, São Luís","2 37m 34.464s S, 44 16m 7.464s W",65090-753,6003370
MS,AMAMBAI,POSTO DE SAUDE VILAS JARDIM PANORAMA E ORLANDO VIOL,RUA FRANCISCO SEREJO NETO,1889,VILA JARDIM PANORAMA,"RUA FRANCISCO SEREJO NETO, VILA JARDIM PANORAMA, AMAMBAI, MS, BRASIL",-23.11194,-55.22221999999999,"Rua Francisco Serejo Neto, 79990-000, Amambai","23 6m 42.984s S, 55 13m 19.992s W",79990-000,6967752
MS,AMAMBAI,UNIDADE DE SAUDE DA FAMILIA VILA VILARINHO,RUA JOSE LUIZ SAMPAIO FERRAZ S N VILA VILARINHO,1553,VILA MARINHO,"RUA JOSE LUIZ SAMPAIO FERRAZ S N VILA VILARINHO, VILA MARINHO, AMAMBAI, MS, BRASIL",-23.10807,-55.21968,"Rua José Luís sampaio ferraz, 79990-000, Amambai","23 6m 29.052s S, 55 13m 10.848s W",79990-000,2559455
MS,AMAMBAI,UNIDADE DE SAUDE DA FAMILIA VILAS INTEGRADAS,AV NICOLAU OTANO ESQ C SAO CRISTOVAO,31,VILA VAROCOPA,"AV NICOLAU OTANO ESQ C SAO CRISTOVAO, VILA VAROCOPA, AMAMBAI, MS, BRASIL",-23.1066,-55.22514,"Rua Nicolau Otano, 79990-000, Amambai","23 6m 23.76s S, 55 13m 30.504s W",79990-000,2559463
