UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
MT,ACORIZAL,POSTO DE SAUDE DE CHAPEU DE SOL,CHAPEU DE SOL,0,ZONA RURAL,"CHAPEU DE SOL, ZONA RURAL, ACORIZAL, MT, BRASIL",,,,
MT,ACORIZAL,POSTO DE SAUDE DE BAUS,BAUS,0,ZONA RURAL,"BAUS, ZONA RURAL, ACORIZAL, MT, BRASIL",,,,
MT,ACORIZAL,POSTO DE SAUDE DE ENGENHO,ENGENHO,0,ZONA RURAL,"ENGENHO, ZONA RURAL, ACORIZAL, MT, BRASIL",,,,
MT,ACORIZAL,CENTRO DE SAUDE DE ACORIZAL,AVN HONORATO PEDROSO DE BARROS,1,CENTRO,"AVN HONORATO PEDROSO DE BARROS, CENTRO, ACORIZAL, MT, BRASIL",,,,
MT,AGUA BOA,ESF PRIMAVERA,RUA F 06,85,PRIMAVERA,"RUA F 06, PRIMAVERA, AGUA BOA, MT, BRASIL",,,,
MT,AGUA BOA,ESF PA JARAGUA,ASSENTAMENTO JARAGUA,S/N,RURAL,"ASSENTAMENTO JARAGUA, RURAL, AGUA BOA, MT, BRASIL",,,,
MT,AGUA BOA,ESF GUARUJA,AVENIDA TROPICAL ESQ RUA 15,906,GUARUJA,"AVENIDA TROPICAL ESQ RUA 15, GUARUJA, AGUA BOA, MT, BRASIL",,,,
MT,AGUA BOA,ESF VILA NOVA,RUA 31,150,VILA NOVA,"RUA 31, VILA NOVA, AGUA BOA, MT, BRASIL",,,,
MT,AGUA BOA,DEODATO RODRIGUES BATISTA,RUA PRINCIPAL,S/N,RURAL,"RUA PRINCIPAL, RURAL, AGUA BOA, MT, BRASIL",,,,
MT,AGUA BOA,POSTO DE SAUDE PA SANTA MARIA,PROJETO DE ASSENTAMENTO SANTA MARIA,S/N,RURAL,"PROJETO DE ASSENTAMENTO SANTA MARIA, RURAL, AGUA BOA, MT, BRASIL",,,,
