UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
PA,ABAETETUBA,POSTO DE SAUDE DA COSTA DO URUA,RIO COSTA DO URUA,S/N,ZONA RURAL ILHAS,"RIO COSTA DO URUA, ZONA RURAL ILHAS, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,POSTO DE SAUDE FURO GRANDE,VILA DE FURO GRANDE,S/N,ZONA RURAL,"VILA DE FURO GRANDE, ZONA RURAL, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,POSTO DE SAUDE FURO DA PRAINHA,FURO DA PRAINHA,S/N,CENTRO,"FURO DA PRAINHA, CENTRO, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,POSTO DE SAUDE GUAJARA DE BEJA,RIO GUAJARA DE BEJA,S/N,CENTRO,"RIO GUAJARA DE BEJA, CENTRO, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,POSTO DE SAUDE ILHA DO CAPIM,ILHA DO CAPIM,S/N,CENTRO,"ILHA DO CAPIM, CENTRO, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,UNIDADE SAUDE DA FAMILIA MURUTINGA,COMUNIDADE DO MURUTINGA,S/N,CENTRO,"COMUNIDADE DO MURUTINGA, CENTRO, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,UNIDADE SAUDE DA FAMILIA VILA DE BEJA,VIA DE BEJA,S/N,ZONA RURAL,"VIA DE BEJA, ZONA RURAL, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,POSTO DE SAUDE AJUAZINHO,RIO AJUAI,S/N,ZONA RURAL ILHAS,"RIO AJUAI, ZONA RURAL ILHAS, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,CENTRO DE SAUDE DE FRANCILANDIA,AV ACRE,S/N,FRANCILANDIA,"AV ACRE, FRANCILANDIA, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,POSTO DE SAUDE BAIXO PARURU,BAIXO PARURU,S/N,ZONA RUARAL ILHAS,"BAIXO PARURU, ZONA RUARAL ILHAS, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,UNIDADE BASICA DE SAUDE OSVALDO RIBEIRO,RUA DR JOAO NOVAS,S/N,MUTIRAO,"RUA DR JOAO NOVAS, MUTIRAO, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,POSTO DE SAUDE ALCINA FERREIRA RAMOS CAETE,RAMAL DO CAETE,S/N,ZONA RURAL ESTRADAS,"RAMAL DO CAETE, ZONA RURAL ESTRADAS, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,POSTO DE SAUDE SAO JOSE,RIO MARACAPUCU,S/N,ZORNA RUAL ILHAS,"RIO MARACAPUCU, ZORNA RUAL ILHAS, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,UBS FLUVIAL DE ABAETETUBA DR AUGUSTO NERY,RUA JUSTO CHERMONT,S/N,CENTRO,"RUA JUSTO CHERMONT, CENTRO, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,POSTO DE SAUDE RIO DOCE,RIO DOCE,S/N,ZONA RURAL,"RIO DOCE, ZONA RURAL, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,CENTRO DE RECUPERACAO DO SISTEMA PENAL DE ABAETETUBA,KM 14,S/N,ZONA RURAL,"KM 14, ZONA RURAL, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,UNIDADE BASICA DE SAUDE ARY LOBATO,RUA CHICOLANDIA,S/N,ALGODOAL,"RUA CHICOLANDIA, ALGODOAL, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,UNIDADE DE SAUDE DA FAMILIA DO ALGODOAL,RUA BERLINDO PINHEIRO,530,ALGODOAL,"RUA BERLINDO PINHEIRO, ALGODOAL, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,CENTRAL DE TRIAGEM DO MUNICIPIO DE ABAETETUBA,KM 14,S/N,ZONA RURAL,"KM 14, ZONA RURAL, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,POSTO DE SAUDE TAUERA ACU,RIO TAUERA ACU,S/N,ZONA RURAL,"RIO TAUERA ACU, ZONA RURAL, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,UNIDADE SAUDE DA FAMILIA PONTILHAO,PA 151 KM 15,123,ZONA RURAL,"PA 151 KM 15, ZONA RURAL, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,POSTO DE SAUDE GUNNAR VINGRENE DANIEL BERG,RAMAL DO MAUBA,S/N,ZONA RURAL ESTRADA,"RAMAL DO MAUBA, ZONA RURAL ESTRADA, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,POSTO DE SAUDE ACARAQUI,RIO ACARAQUI,S/N,ZONA RURAL,"RIO ACARAQUI, ZONA RURAL, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,UNIDADE SAUDE DA FAMILIA COLONIA JOAO MIRANDA,COLONIA JOAO MIRANDA,S/N,COLONIA,"COLONIA JOAO MIRANDA, COLONIA, ABAETETUBA, PA, BRASIL",-1.7776306,-48.7893109,"Unidade de Saúde da Família Colonia Dr. João Miranda, Rodovia PA-151, Abaetetuba, Região Geográfica Imediata de Abaetetuba, Região Geográfica Intermediária de Belém, Pará, Região Norte, Brasil","1 46m 39.4702s S, 48 47m 21.5192s W"
PA,ABAETETUBA,UNIDADE DE SAUDE DA FAMILIA DO SAO JOAO,RUA TANCREDO NEVES,S/N,SAO JOAO,"RUA TANCREDO NEVES, SAO JOAO, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,UNIDADE DE SAUDE DA FAMILIA DA AVIACAO,IV RUA DO CAMPO DA AVIACAO,S/N,AVIACAO,"IV RUA DO CAMPO DA AVIACAO, AVIACAO, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,POSTO DE SAUDE MAUBA,RIO MAUBA,S/N,ZONA RURAL,"RIO MAUBA, ZONA RURAL, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,UNIDADE DE SAUDE DA FAMILIA ANTONIA SOBRINHO,PA 151 COLONIA NOVA,S/N,ZONA RURAL,"PA 151 COLONIA NOVA, ZONA RURAL, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,UNIDADE BASICA DE SAUDE DO RIO CAPIM,RIO CAPIM ESQUERDA DO FURO DO CAPIM CAIANA,S/N,ILHA,"RIO CAPIM ESQUERDA DO FURO DO CAPIM CAIANA, ILHA, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,UNIDADE BASICA DE SAUDE DO JARUMA,ESTRADA DE BEJA,S/N,ZONA RURAL ESTRADAS,"ESTRADA DE BEJA, ZONA RURAL ESTRADAS, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,CENTRO DE SAUDE DE ABAETETUBA,RUA BARAO DO RIO BRANCO,1641,CENTRO,"RUA BARAO DO RIO BRANCO, CENTRO, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,POSTO DE SAUDE RIO JUPARIQUARA,RIO JUPARIQUARA,S/N,ZONA RURAL,"RIO JUPARIQUARA, ZONA RURAL, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,UNIDADE BASICA DE SAUDE DO ITACURUCA,RAMAL DO ITACURUCA,S/N,ZONA RURAL ESTRADAS,"RAMAL DO ITACURUCA, ZONA RURAL ESTRADAS, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,POSTO DE SAUDE CORACAO DE JESUS,VILA DE BOM JESUS,S/N,CENTRO,"VILA DE BOM JESUS, CENTRO, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,POSTO DE SAUDE XINGU,RIU XINGU,S/N,ZONA RURAL ILHAS,"RIU XINGU, ZONA RURAL ILHAS, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,POSTO DE SAUDE DE ITACURUCA,VILA DE ITACURUCA,S/N,ZONARA RURAL ILHAS,"VILA DE ITACURUCA, ZONARA RURAL ILHAS, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,CENTRO DE SAUDE DR HERALDO PANTOJA,RUA DA ANGELICA,S/N,CRISTO REDENTOR,"RUA DA ANGELICA, CRISTO REDENTOR, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,UNIDADE BASICA DE SAUDE DR JAIR NERY,TV PEDRO PINHEIRO PAES,S/N,CENTRO,"TV PEDRO PINHEIRO PAES, CENTRO, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,POSTO DE SAUDE TUCUMANDUBAZINHO,VILA TUCUMANDUBAZINHO,S/N,CENTRO,"VILA TUCUMANDUBAZINHO, CENTRO, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,POSTO DE SAUDE URUBUEUA CABECEIRA,RIO URUBUEUA CABECEIRA,S/N,CENTRO,"RIO URUBUEUA CABECEIRA, CENTRO, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,POSTO DE SAUDE TUCUMANDUBA,RIO TUCUMANDUBA,S/N,CENTRO,"RIO TUCUMANDUBA, CENTRO, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,POSTO SAUDE VILA DE BEJA,RUA JADRE BARBALHO,S/N,VILA DE BEJA,"RUA JADRE BARBALHO, VILA DE BEJA, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,POSTO DE SAUDE RIO QUIANDUBA,RIO QUIANDUBA,S/N,ZONA RURAL,"RIO QUIANDUBA, ZONA RURAL, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,POSTO DE SAUDE RIO SAPUCAJUBA,RIO SAPUCAJUBA,S/N,CENTRO,"RIO SAPUCAJUBA, CENTRO, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,UNIDADE DE SAUDE DA FAMILIA ARUMANDUBA,RIO ARUMANDUBA,S/N,ZONA RURAL ILHAS,"RIO ARUMANDUBA, ZONA RURAL ILHAS, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,POSTO DE SAUDE PIQUIARANA,RIO PIQUIARANA,S/N,CENTRO,"RIO PIQUIARANA, CENTRO, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,UNIDADE DE SAUDE DA FAMILIA DO SAO SEBASTIAO,RUA BENEDITO SENA DOS PASSOS,S/N,SAO SEBASTIAO,"RUA BENEDITO SENA DOS PASSOS, SAO SEBASTIAO, ABAETETUBA, PA, BRASIL",,,,
PA,ABAETETUBA,POSTO DE SAUDE PANACUERA GRANDE,RIO PANACUERA GRANDE,S/N,CENTRO,"RIO PANACUERA GRANDE, CENTRO, ABAETETUBA, PA, BRASIL",,,,
