UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point,cep
PB,AGUA BRANCA,UNIDADE DE SAUDE DA FAMILIA DE LAGOINHA,POVOADO DE LAGOINHA,S/N,POVOADO,"POVOADO DE LAGOINHA, POVOADO, AGUA BRANCA, PB, BRASIL",-10.75122,-37.7957,"Estrada para Povoado Água Branca, 49480-000, Simão Dias","10 45m 4.392s S, 37 47m 44.52s W",49480-000
PB,AGUA BRANCA,UNIDADE DE SAUDE DA FAMILIA JOSE BENONE,RUA JOSE FERREIRA MORENO,2,JOSE BENONE,"RUA JOSE FERREIRA MORENO, JOSE BENONE, AGUA BRANCA, PB, BRASIL",-7.50992,-37.64362,"Rua José Ferreira Moreno, 58748-000, Água Branca","7 30m 35.712s S, 37 38m 37.032s W",58748-000
PB,AGUA BRANCA,HOSPITAL QUITERIA MARIA DE OLIVEIRA,RUA JOSE PEDRO FIRMINO,63,CENTRO,"RUA JOSE PEDRO FIRMINO, CENTRO, AGUA BRANCA, PB, BRASIL",-7.51532,-37.63889,"Rua José Pedro Firmino, 58748-000, Água Branca","7 30m 55.152s S, 37 38m 20.004s W",58748-000
PB,AGUA BRANCA,UNIDADE DE SAUDE DA FAMILIA DE BOM JESUS,POVOADO DE BOM JESUS,S/N,POVOADO,"POVOADO DE BOM JESUS, POVOADO, AGUA BRANCA, PB, BRASIL",-25.10032,-50.21688,"Rua Praia de Bom Jesus & Rua Praia da Areia Branca, 84060, Ponta Grossa","25 6m 1.152s S, 50 13m 0.768s W",84060
PB,AGUA BRANCA,UNIDADE DE SAUDE DA FAMILIA JOSE GOMES FILHO,RUA ANTONIO TIBURTINO DE SOUSA,2,GUALTERINA ALENCAR V,"RUA ANTONIO TIBURTINO DE SOUSA, GUALTERINA ALENCAR V, AGUA BRANCA, PB, BRASIL",-7.5158,-37.63784,"Rua Antônio Tiburtino de Sousa, 58748-000, Água Branca","7 30m 56.88s S, 37 38m 16.224s W",58748-000
PB,AGUA BRANCA,USB JOSE LOUREDO DE SANTANA,SITIO ARROZ,S/N,ZONA RURAL,"SITIO ARROZ, ZONA RURAL, AGUA BRANCA, PB, BRASIL",-7.51523,-37.63801,Água Branca,"7 30m 54.828s S, 37 38m 16.836s W",
PB,AGUIAR,USF JOSE PAULINO DE SOUZA AGUIAR,RUA SEVERINO AMANCIO,S/N,CENTRO,"RUA SEVERINO AMANCIO, CENTRO, AGUIAR, PB, BRASIL",-7.09071,-38.17105,"Rua Severino Amâncio, 58778-000, Aguiar","7 5m 26.556s S, 38 10m 15.78s W",58778-000
PB,AGUIAR,UNIDADE DE SAUDE DA FAMILIA PSF AGUIAR,SITIO RIACHO VERDE,S/N,SITIO,"SITIO RIACHO VERDE, SITIO, AGUIAR, PB, BRASIL",-7.24833,-35.65501,"Rua do Sítio Bacamarte, 58380-000, Riachão do Bacamarte","7 14m 53.988s S, 35 39m 18.036s W",58380-000
PB,ALAGOA GRANDE,UBSF III CONJ VERA CRUZ,RUA SEVERINO PAZ,S/N,CONJ VERA CRUZ,"RUA SEVERINO PAZ, CONJ VERA CRUZ, ALAGOA GRANDE, PB, BRASIL",-7.04089,-35.62235,"Rua Vera Cruz, 58388-000, Alagoa Grande","7 2m 27.204s S, 35 37m 20.46s W",58388-000
PB,ALAGOA GRANDE,UBSF II CRUZEIRO,RUA DO JARDIM,27,CENTRO,"RUA DO JARDIM, CENTRO, ALAGOA GRANDE, PB, BRASIL",-7.03731,-35.63565,"Rua do Cruzeiro, 58388-000, Alagoa Grande","7 2m 14.316s S, 35 38m 8.34s W",58388-000
PB,ALAGOA GRANDE,UBSF X TACHO,RUA JOAQUIM JOSE DO VALE,173,CENTRO,"RUA JOAQUIM JOSE DO VALE, CENTRO, ALAGOA GRANDE, PB, BRASIL",-7.03328,-35.63924,"Travessa Joaquim José do Vale, 58388-000, Alagoa Grande","7 1m 59.808s S, 35 38m 21.264s W",58388-000
PB,ALAGOA GRANDE,UBSF XII JOAO BOSCO CARNEIRO,HELIO PEREGRINO MONTENEGRO,155,CONJUNTO MANOEL RAIM,"HELIO PEREGRINO MONTENEGRO, CONJUNTO MANOEL RAIM, ALAGOA GRANDE, PB, BRASIL",-7.04374,-35.62713,"Rua Peregrino Montenegro, 58388-000, Alagoa Grande","7 2m 37.464s S, 35 37m 37.668s W",58388-000
PB,ALAGOA GRANDE,UBSF VII DR CLODOALDO TIGREIRO DE ALBUQUERQUE E MELO,CONJ AGUINALDO VELOSO BORGES,S/N,CENTRO,"CONJ AGUINALDO VELOSO BORGES, CENTRO, ALAGOA GRANDE, PB, BRASIL",-7.04765,-35.6277,"Rua Conjunto Frei Damião, 58388-000, Alagoa Grande","7 2m 51.54s S, 35 37m 39.72s W",58388-000
