UF,MUNICIPIO,NOME,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,LATITUDE,LONGITUDE,ENDERECO_API,POINT,CEP,CO_CNES
PE,ABREU E LIMA,SAUDE NA HORA DE CAETES,ROTATORIA,45,TIMBO,"ROTATORIA, TIMBO, ABREU E LIMA, PE, BRASIL",-7.91217,-34.90371,"Timbó, Abreu e Lima","7 54m 43.812s S, 34 54m 13.356s W",,0
PE,ABREU E LIMA,AMBULATORIO MEDICO FUNASE,AVENIDA A,S/N,CAETES 2,"AVENIDA A, CAETES 2, ABREU E LIMA, PE, BRASIL",-7.9213353,-34.909018100000004,"Avenida A, Caetés III, Abreu e Lima, Região Geográfica Imediata do Recife, Região Metropolitana do Recife, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 53525-790, Brasil","7 55m 16.8071s S, 34 54m 32.4652s W",53525-790,0
PE,ABREU E LIMA,USF CAETES II,AV A,S/N,CAETES II,"AV A, CAETES II, ABREU E LIMA, PE, BRASIL",-7.9287409,-34.9217614,"Avenida Ingo Hering, Distrito Industrial, Caets II, Abreu e Lima, Região Geográfica Imediata do Recife, Região Metropolitana do Recife, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 53530-406, Brasil","7 55m 43.4672s S, 34 55m 18.341s W",53530-406,2713543
PE,ABREU E LIMA,CENTRO DE OBSERVACAO CRIMINOLOGICA E TRIAGEM PROF EVERARDO,AV INGO HERING PE 60,751,CENTRO,"AV INGO HERING PE 60, CENTRO, ABREU E LIMA, PE, BRASIL",-7.930169999999999,-34.90335,"Avenida Ingo Hering, 53540-270, Abreu e Lima","7 55m 48.612s S, 34 54m 12.06s W",53540-270,0
PE,ABREU E LIMA,USF DESTERRO,RUA ROSA PEREIRA DA CRUZ,S/N,ALTO SAO MIGUEL,"RUA ROSA PEREIRA DA CRUZ, ALTO SAO MIGUEL, ABREU E LIMA, PE, BRASIL",-7.89213,-34.90909,"Rua Rosa Pereira da Cruz, Abreu e Lima","7 53m 31.668s S, 34 54m 32.724s W",,2713594
PE,ABREU E LIMA,USF CENTRO II,PROF ULISSES PERNAMBUCANO,3,CENTRO,"PROF ULISSES PERNAMBUCANO, CENTRO, ABREU E LIMA, PE, BRASIL",-7.9088072,-34.9039346,"Rua Professor Ulisses Pernambucano, Centro, Abreu e Lima, Região Geográfica Imediata do Recife, Região Metropolitana do Recife, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 53510-428, Brasil","7 54m 31.7059s S, 34 54m 14.1646s W",53510-428,2713888
PE,ABREU E LIMA,USF CAETES III A,RUA OITENTA,S/N,CAETES III,"RUA OITENTA, CAETES III, ABREU E LIMA, PE, BRASIL",-7.9133882,-34.91259470000001,"Rua Oitenta, Caetés III, Abreu e Lima, Região Geográfica Imediata do Recife, Região Metropolitana do Recife, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 53525-790, Brasil","7 54m 48.1975s S, 34 54m 45.3409s W",53525-790,2713837
PE,ABREU E LIMA,UBS MATINHA II,RUA MANOEL PEREIRA DE ALBUQUERQUE,345,MATINHA,"RUA MANOEL PEREIRA DE ALBUQUERQUE, MATINHA, ABREU E LIMA, PE, BRASIL",-7.8975309,-34.8997375,"Travessa da Matinha, Matinha, Abreu e Lima, Região Geográfica Imediata do Recife, Região Metropolitana do Recife, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 53580-020, Brasil","7 53m 51.1112s S, 34 53m 59.055s W",53580-020,0
PE,ABREU E LIMA,USF JAQUEIRA,RUA QUARENTA,S/N,CAETES III,"RUA QUARENTA, CAETES III, ABREU E LIMA, PE, BRASIL",-7.9184174,-34.9085697,"Rua Quarenta, Caetés III, Abreu e Lima, Região Geográfica Imediata do Recife, Região Metropolitana do Recife, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 53525-790, Brasil","7 55m 6.30264s S, 34 54m 30.8509s W",53525-790,2714108
PE,ABREU E LIMA,USF CAETES III B,RUA QUARENTA E NOVE,S/N,CAETES III,"RUA QUARENTA E NOVE, CAETES III, ABREU E LIMA, PE, BRASIL",-7.9115088,-34.9077581,"Rua Quarenta e Nove, Caetés III, Abreu e Lima, Região Geográfica Imediata do Recife, Região Metropolitana do Recife, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 53525-790, Brasil","7 54m 41.4317s S, 34 54m 27.9292s W",53525-790,2713551
