UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
PI,ACAUA,USF DE ALTA VISTA,ALTA VISTA DATA CARNAIBA,S/N,ZONA RURAL,"ALTA VISTA DATA CARNAIBA, ZONA RURAL, ACAUA, PI, BRASIL",,,,
PI,ACAUA,USF DO POSTO FISCAL DA LUA NOVA,POSTO FISCAL DO PIPOCAS,S/N,ZONA RURAL,"POSTO FISCAL DO PIPOCAS, ZONA RURAL, ACAUA, PI, BRASIL",,,,
PI,ACAUA,USF ANTONIO JOAQUIM RODRIGUES,RUA RAIMUNDO JOSE DE SOUSA,S/N,CENTRO,"RUA RAIMUNDO JOSE DE SOUSA, CENTRO, ACAUA, PI, BRASIL",-8.21568,-41.08219,"Rua Raimundo José de Sousa, 64748-000, Acauã","8 12m 56.448s S, 41 4m 55.884s W"
PI,AGRICOLANDIA,UBS MAE PEDA,R RAIMUNDO FERREIRA NUNES,S/N,CENTRO,"R RAIMUNDO FERREIRA NUNES, CENTRO, AGRICOLANDIA, PI, BRASIL",-5.80209,-42.65928,"Rua Raimundo Ferreira Nunes, Agricolândia","5 48m 7.524s S, 42 39m 33.408s W"
PI,AGRICOLANDIA,UMS DE AGRICOLANDIA,AV HUGO NAPOLIAO,S/N,CENTRO,"AV HUGO NAPOLIAO, CENTRO, AGRICOLANDIA, PI, BRASIL",-5.79691,-42.66253,"Avenida Hugo Napoleão, 64440-000, Agricolândia","5 47m 48.876s S, 42 39m 45.108s W"
PI,AGRICOLANDIA,PS PITOMBEIRA,AV TOMAZ DE AQUINO,S/N,PITOMBEIRA,"AV TOMAZ DE AQUINO, PITOMBEIRA, AGRICOLANDIA, PI, BRASIL",-5.8110144,-42.6740166,"Avenida Tomaz de Aquino, Pitombeira, Agricolândia, Região Geográfica Imediata de Amarante - Água Branca - Regeneração, Região Geográfica Intermediária de Teresina, Piauí, Região Nordeste, 64440-000, Brasil","5 48m 39.6518s S, 42 40m 26.4598s W"
PI,AGRICOLANDIA,PS BOI MORTO,BOI MORTO,S/N,RURAL,"BOI MORTO, RURAL, AGRICOLANDIA, PI, BRASIL",-29.71474,-53.87524,"Boi Morto, Santa Maria","29 42m 53.064s S, 53 52m 30.864s W"
PI,AGRICOLANDIA,PS BURACO DAGUA,POVOADO BURACO DAGUA,S/N,RURAL,"POVOADO BURACO DAGUA, RURAL, AGRICOLANDIA, PI, BRASIL",-5.90678,-42.62436,"Estrada para Povoado Santo Antônio, 64460-000, Água Branca","5 54m 24.408s S, 42 37m 27.696s W"
PI,AGRICOLANDIA,PS TAMBORIL MANOEL N PEREIRA PSF,LOCALIDADE TAMBORIL,S/N,TAMBORIL,"LOCALIDADE TAMBORIL, TAMBORIL, AGRICOLANDIA, PI, BRASIL",-5.79312,-42.6783,"Estrada para Tamboril, 64440-000, Agricolândia","5 47m 35.232s S, 42 40m 41.88s W"
PI,AGUA BRANCA,POSTO DE SAUDE MAE RAIMUNDA,RUA PIRES FERREIRA,S/N,NOVA BRASILIA,"RUA PIRES FERREIRA, NOVA BRASILIA, AGUA BRANCA, PI, BRASIL",-5.89632,-42.63179,"Rua Pires Ferreira, Água Branca","5 53m 46.752s S, 42 37m 54.444s W"
PI,AGUA BRANCA,POSTO DE SAUDE ANTONIO CORNELIO DE SIQUEIRA,AVENIDA FELIX PACHECO,S/N,BULUNGAO,"AVENIDA FELIX PACHECO, BULUNGAO, AGUA BRANCA, PI, BRASIL",-5.89573,-42.63212,"Avenida Félix Pacheco, 64460-000, Água Branca","5 53m 44.628s S, 42 37m 55.632s W"
PI,AGUA BRANCA,POSTO DE SAUDE CHICO RAIMUNDO,R RIBEIRO GONCALVES,S/N,COMPASA,"R RIBEIRO GONCALVES, COMPASA, AGUA BRANCA, PI, BRASIL",-5.89414,-42.64171,"Rua Ribeiro Gonçalves, 64460-000, Água Branca","5 53m 38.904s S, 42 38m 30.156s W"
PI,AGUA BRANCA,POSTO DE SAUDE FRANCELINO BARBOSA LOPES,SANTO ANTONNIO,S/N,SANTO ANTONIO,"SANTO ANTONNIO, SANTO ANTONIO, AGUA BRANCA, PI, BRASIL",-5.90678,-42.62436,"Estrada para Povoado Santo Antônio, 64460-000, Água Branca","5 54m 24.408s S, 42 37m 27.696s W"
PI,AGUA BRANCA,PSF LUCE LEIDE VILARINHO,AV NECO TEIXEIRA,S/N,SAO LUIZ,"AV NECO TEIXEIRA, SAO LUIZ, AGUA BRANCA, PI, BRASIL",-5.89043,-42.64055,"Avenida Neco Teixeira, 64460-000, Água Branca","5 53m 25.548s S, 42 38m 25.98s W"
PI,AGUA BRANCA,POSTO DE SAUDE MARIA FILISMINA,RUA SAO LUIS,100,POEIRAO,"RUA SAO LUIS, POEIRAO, AGUA BRANCA, PI, BRASIL",-5.90003,-42.6362,"Rua São Luís, 64460-000, Água Branca","5 54m 0.108s S, 42 38m 10.32s W"
PI,AGUA BRANCA,POSTO DE SAUDE OTACIANA MARIA DO NASCIMENTO,RUA MERCEDES RUBINS,S/N,CENTRO,"RUA MERCEDES RUBINS, CENTRO, AGUA BRANCA, PI, BRASIL",-5.89177,-42.63411,"Rua Mercedes Rubens, 64460-000, Água Branca","5 53m 30.372s S, 42 38m 2.796s W"
PI,ALAGOINHA DO PIAUI,UNID MISTA SALOMAO CAETANO,AVENIDA JOAO GABRIEL DE BRITO,565,CENTRO,"AVENIDA JOAO GABRIEL DE BRITO, CENTRO, ALAGOINHA DO PIAUI, PI, BRASIL",-7.00851,-40.93588,"Rua João Gabriel de Brito, 64655-000, Alagoinha do Piauí","7 0m 30.636s S, 40 56m 9.168s W"
PI,ALAGOINHA DO PIAUI,PS SERRA VELHA PSF,SERRA VELHA,1,ZONA RURAL,"SERRA VELHA, ZONA RURAL, ALAGOINHA DO PIAUI, PI, BRASIL",-7.01043,-40.94016,Alagoinha do Piauí,"7 0m 37.548s S, 40 56m 24.576s W"
PI,ALAGOINHA DO PIAUI,UBS DE ALAGOINHA PSF,AV JOAO GABRIEL DE BRITO,S/N,CENTRO,"AV JOAO GABRIEL DE BRITO, CENTRO, ALAGOINHA DO PIAUI, PI, BRASIL",-7.00851,-40.93588,"Rua João Gabriel de Brito, 64655-000, Alagoinha do Piauí","7 0m 30.636s S, 40 56m 9.168s W"
PI,ALAGOINHA DO PIAUI,USF AMARELO FERRADO I,AMARELO FERRADO I,1,ZONA RURAL,"AMARELO FERRADO I, ZONA RURAL, ALAGOINHA DO PIAUI, PI, BRASIL",-7.01365,-40.93656,"Rua Isaías Brito, 64655-000, Alagoinha do Piauí","7 0m 49.14s S, 40 56m 11.616s W"
PI,ALAGOINHA DO PIAUI,ESF BARRA DO OLHO DAGUA,BARRA OLHO DAGUA,1,ZONA RURAL,"BARRA OLHO DAGUA, ZONA RURAL, ALAGOINHA DO PIAUI, PI, BRASIL",-5.84952,-42.57609,Olho d'Água do Piauí,"5 50m 58.272s S, 42 34m 33.924s W"
PI,ALAGOINHA DO PIAUI,USF SAO JOAO,SITIO SAO JOAO,S/N,ZONA RURAL,"SITIO SAO JOAO, ZONA RURAL, ALAGOINHA DO PIAUI, PI, BRASIL",-8.35885,-42.24687,São João do Piauí,"8 21m 31.86s S, 42 14m 48.732s W"
PI,ALAGOINHA DO PIAUI,PS SERRA AZUL PSF,SERRA AZUL,1,ZONA RURAL,"SERRA AZUL, ZONA RURAL, ALAGOINHA DO PIAUI, PI, BRASIL",-7.01043,-40.94016,Alagoinha do Piauí,"7 0m 37.548s S, 40 56m 24.576s W"
PI,ALEGRETE DO PIAUI,PS COHAB,RUA DIRCEU ARCO VERDE,S/N,COHAB,"RUA DIRCEU ARCO VERDE, COHAB, ALEGRETE DO PIAUI, PI, BRASIL",-7.23991,-40.85524,"Rua Dirceu Arcoverde, 64675-000, Alegrete do Piauí","7 14m 23.676s S, 40 51m 18.864s W"
PI,ALEGRETE DO PIAUI,PS SEDE MUNICIPAL DE ALEGRETE PSF,AVENIDA CENTRAL,S/N,BELA VISTA,"AVENIDA CENTRAL, BELA VISTA, ALEGRETE DO PIAUI, PI, BRASIL",-7.241,-40.86307,"Avenida Central, 64625, 64675, Alegrete do Piauí","7 14m 27.6s S, 40 51m 47.052s W"
PI,ALEGRETE DO PIAUI,PS MALHADA ALTA PSF,LOCALIDADE MALHADA ALTA,S/N,RURAL,"LOCALIDADE MALHADA ALTA, RURAL, ALEGRETE DO PIAUI, PI, BRASIL",-9.92433,-45.47846,"Saída Para Malhada Alta, 64990-000, Barreiras do Piauí","9 55m 27.588s S, 45 28m 42.456s W"
PI,ALEGRETE DO PIAUI,PS BOA VISTA,LOCALIDADE BOA VISTA,S/N,ZONA RURAL,"LOCALIDADE BOA VISTA, ZONA RURAL, ALEGRETE DO PIAUI, PI, BRASIL",-7.77488,-43.14004,"Rua Boa Vista, 64835-000, Rio Grande do Piauí","7 46m 29.568s S, 43 8m 24.144s W"
PI,ALTO LONGA,USF BURITI SO,BURITI SO,S/N,ZONA RURAL,"BURITI SO, ZONA RURAL, ALTO LONGA, PI, BRASIL",-5.25195,-42.21061,Alto Longá,"5 15m 7.02s S, 42 12m 38.196s W"
PI,ALTO LONGA,HOSPITAL JOSE V GOMES,AV LUIZ EUGENIO,450,PICARRA,"AV LUIZ EUGENIO, PICARRA, ALTO LONGA, PI, BRASIL",-5.25644,-42.20422,"Avenida Luiz Eugênio, 64360-000, Alto Longá","5 15m 23.184s S, 42 12m 15.192s W"
PI,ALTO LONGA,USF CHICO ANTONIO,CHICO ANTONIO,S/N,ZONA RURAL,"CHICO ANTONIO, ZONA RURAL, ALTO LONGA, PI, BRASIL",-5.25175,-42.21008,"Praça Antônio Vitório de Sousa, 64360-959, Alto Longá","5 15m 6.3s S, 42 12m 36.288s W"
PI,ALTO LONGA,USF CATARINA,RUA CORONEL MANOEL CARDOSO,S/N,CENTRO,"RUA CORONEL MANOEL CARDOSO, CENTRO, ALTO LONGA, PI, BRASIL",-5.25568,-42.2054,"Rua Coronel Manoel Cardoso, 64360-000, Alto Longá","5 15m 20.448s S, 42 12m 19.44s W"
PI,ALTO LONGA,USF MARTINHO VIEIRA GOMES,POV BAIXA DA ROCA,S/N,ZONA RURAL,"POV BAIXA DA ROCA, ZONA RURAL, ALTO LONGA, PI, BRASIL",-5.24306,-42.20599,"Rua da Altina, 64360-000, Alto Longá","5 14m 35.016s S, 42 12m 21.564s W"
PI,ALTO LONGA,USF SAO NICOLAU,POV SAO NICOLAU,S/N,ZONA RURAL,"POV SAO NICOLAU, ZONA RURAL, ALTO LONGA, PI, BRASIL",-5.49606,-41.32453,"Rua Alto Longa, 64330-000, São Miguel do Tapuio","5 29m 45.816s S, 41 19m 28.308s W"
PI,ALTO LONGA,USF ANTONIO FERREIRA PACIFICO,RUA DUQUE DE CAXIAS,105,CENTRO,"RUA DUQUE DE CAXIAS, CENTRO, ALTO LONGA, PI, BRASIL",-5.25138,-42.20909,"Rua Duque de Caxias, 64360-000, Alto Longá","5 15m 4.968s S, 42 12m 32.724s W"
PI,ALTO LONGA,USF CONSUELO SOARES IBIAPINA,RUA MARTINHO VIEIRA,S/N,BREJINHO,"RUA MARTINHO VIEIRA, BREJINHO, ALTO LONGA, PI, BRASIL",-5.2327224,-42.2098884,"Rua Martinho Vieira, Brejinho, Alto Longá, Região Geográfica Imediata de Teresina, Região Geográfica Intermediária de Teresina, Piauí, Região Nordeste, 64360-000, Brasil","5 13m 57.8006s S, 42 12m 35.5982s W"
PI,ALTOS,PS DE BARRINHA,POVOADO BARRINHA,S/N,ZONA RURAL,"POVOADO BARRINHA, ZONA RURAL, ALTOS, PI, BRASIL",,,,
PI,ALTOS,EQUIPE DE SAUDE PRISIONAL COLONIA A MAJOR CEZAR,BR 343 KM 25,S/N,ZONA RURAL,"BR 343 KM 25, ZONA RURAL, ALTOS, PI, BRASIL",-4.83057,-42.16407,"Rua Alberto Bona, 25, 64280-000, Campo Maior","4 49m 50.052s S, 42 9m 50.652s W"
PI,ALTOS,POSTO DE SAUDE BOA FE,CONJUNTO LDGERO RAULINO,S/N,BOA FE,"CONJUNTO LDGERO RAULINO, BOA FE, ALTOS, PI, BRASIL",-5.033,-42.44774,"Boa Fé, Altos","5 1m 58.8s S, 42 26m 51.864s W"
PI,ALTOS,PS BOM GOSTO,POVOADO BOM GOSTO,S/N,ZONA RURAL,"POVOADO BOM GOSTO, ZONA RURAL, ALTOS, PI, BRASIL",-5.02108,-42.47721,"Estrada para Bom Jardim, Altos","5 1m 15.888s S, 42 28m 37.956s W"
PI,ALTOS,PS BOCA DE BARRO,RUA DOMINGOS FELIX DO MONTE,1280,CENTRO,"RUA DOMINGOS FELIX DO MONTE, CENTRO, ALTOS, PI, BRASIL",-5.04036,-42.46408,"Rua Domingos Félix do Monte, 64290-000, Altos","5 2m 25.296s S, 42 27m 50.688s W"
