UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point,cep
PR,ABATIA,CENTRO DE SAUDE ABATIA,RUA APARECIDA BECKER LOURENCO,35,RESIDENCIAL BURITI,"RUA APARECIDA BECKER LOURENCO, RESIDENCIAL BURITI, ABATIA, PR, BRASIL",-7.97919,-35.06941,"Rua Palmeiras Residencial Tiuma, 54720, São Lourenço da Mata","7 58m 45.084s S, 35 4m 9.876s W",54720
PR,ABATIA,CENTRO ODONTOLOGICO DR VICENTE H ALBANO,RUA APARECIDA BECKER LOURENCO,35,RESIDENCIAL BURITI,"RUA APARECIDA BECKER LOURENCO, RESIDENCIAL BURITI, ABATIA, PR, BRASIL",-7.97919,-35.06941,"Rua Palmeiras Residencial Tiuma, 54720, São Lourenço da Mata","7 58m 45.084s S, 35 4m 9.876s W",54720
PR,ADRIANOPOLIS,UBS DAVID ARMSTRONG,RUA 4,S/N,PORTO NOVO,"RUA 4, PORTO NOVO, ADRIANOPOLIS, PR, BRASIL",-22.92829,-42.42252,"Rua Praia Porto Novo, 4, 28992-021, Saquarema","22 55m 41.844s S, 42 25m 21.072s W",28992-021
PR,ADRIANOPOLIS,UBS PEDRO RODRIGUES,RUA RUBENS SELBMAN,S/N,VILA MOTA,"RUA RUBENS SELBMAN, VILA MOTA, ADRIANOPOLIS, PR, BRASIL",-24.01196,-46.43458,"Rua Rubens Ferreira Martins, 11702-280, Praia Grande","24 0m 43.056s S, 46 26m 4.488s W",11702-280
PR,ADRIANOPOLIS,CENTRO DE SAUDE OLIMPIO GONCALVES DOS SANTOS,RUA BENEDITO BATISTA DIAS,25,CENTRO,"RUA BENEDITO BATISTA DIAS, CENTRO, ADRIANOPOLIS, PR, BRASIL",-24.65723,-48.99141,"Rua Benedito Dias Batista, 83490-000, Adrianópolis","24 39m 26.028s S, 48 59m 29.076s W",83490-000
PR,ADRIANOPOLIS,PA ADRIANOPOLIS,RUA BENEDITO BATISTA DIAS,S/N,CENTRO,"RUA BENEDITO BATISTA DIAS, CENTRO, ADRIANOPOLIS, PR, BRASIL",-24.65723,-48.99141,"Rua Benedito Dias Batista, 83490-000, Adrianópolis","24 39m 26.028s S, 48 59m 29.076s W",83490-000
PR,AGUDOS DO SUL,NUCLEO DE ESTRATEGIA DE SAUDE DA FAMILIA RUI BARBOSA,RUA RUI BARBOSA,S/N,CENTRO,"RUA RUI BARBOSA, CENTRO, AGUDOS DO SUL, PR, BRASIL",-25.98872,-49.33303,"Rua Rui Barbosa, 83850-000, Agudos do Sul","25 59m 19.392s S, 49 19m 58.908s W",83850-000
PR,AGUDOS DO SUL,POSTO DE SAUDE TAQUARA LISA,PRINCIPAL,S/N,TAQUARA LISA,"PRINCIPAL, TAQUARA LISA, AGUDOS DO SUL, PR, BRASIL",-25.9887,-49.33305,Agudos do Sul,"25 59m 19.32s S, 49 19m 58.98s W",
PR,AGUDOS DO SUL,POSTO DE SAUDE TARUMA,RUA PRINCIPA L,S/N,TARUMA,"RUA PRINCIPA L, TARUMA, AGUDOS DO SUL, PR, BRASIL",-25.98942,-49.3325,"Rua Alcides de Lima Maoski, 83850-000, Agudos do Sul","25 59m 21.912s S, 49 19m 57s W",83850-000
PR,AGUDOS DO SUL,UNIDADE DA SAUDE DA FAMILIA DORVALINO FERREIRA DE MELO,ESTRADA PRINCIPAL,S/N,PAVAOZINHO,"ESTRADA PRINCIPAL, PAVAOZINHO, AGUDOS DO SUL, PR, BRASIL",-26.02061,-50.59956,"Estrada Principal, São Mateus do Sul","26 1m 14.196s S, 50 35m 58.416s W",
PR,AGUDOS DO SUL,POSTO DE SAUDE LAGOA DOS SOUZA,RODOVIA,S/N,LAGOA DOS SOUZA,"RODOVIA, LAGOA DOS SOUZA, AGUDOS DO SUL, PR, BRASIL",-25.9867,-49.33564,"Rua Evangelizador José Ambrózio de Souza, 83850-000, Agudos do Sul","25 59m 12.12s S, 49 20m 8.304s W",83850-000
PR,ALMIRANTE TAMANDARE,CENTRO DE ESPECIALIDADES ALMIRANTE TAMANDARE,LOURENCO ANGELO BUZATO,592,SANTA TEREZINHA,"LOURENCO ANGELO BUZATO, SANTA TEREZINHA, ALMIRANTE TAMANDARE, PR, BRASIL",-25.31226,-49.30043,"Rua Lourenço Ângelo Buzato, 83501-080, Almirante Tamandaré","25 18m 44.136s S, 49 18m 1.548s W",83501-080
PR,ALMIRANTE TAMANDARE,US JARDIM PARAISO,MIGUEL MURASKI,310,JARDIM PARAISO,"MIGUEL MURASKI, JARDIM PARAISO, ALMIRANTE TAMANDARE, PR, BRASIL",-25.312175600000003,-49.3084691,"Rua Maciel Muraski, Jardim Paraíso, Almirante Tamandaré, Região Geográfica Imediata de Curitiba, Região Metropolitana de Curitiba, Região Geográfica Intermediária de Curitiba, Paraná, Região Sul, 83502-010, Brasil","25 18m 43.8322s S, 49 18m 30.4888s W",83502-010
PR,ALMIRANTE TAMANDARE,U S TRANQUEIRA,ANTONIO STOCHEIRO,46,TRANQUEIRA,"ANTONIO STOCHEIRO, TRANQUEIRA, ALMIRANTE TAMANDARE, PR, BRASIL",-25.24702,-49.32047,"Rua Antônio Stochero, 83514-070, Almirante Tamandaré","25 14m 49.272s S, 49 19m 13.692s W",83514-070
PR,ALMIRANTE TAMANDARE,U S CACHOEIRA,ANTONIO RODRIGUES DIAS,153,CACHOEIRA,"ANTONIO RODRIGUES DIAS, CACHOEIRA, ALMIRANTE TAMANDARE, PR, BRASIL",-25.34357,-49.276,"Rua Professor Antônio Rodrigues Dias, 83506, Almirante Tamandaré","25 20m 36.852s S, 49 16m 33.6s W",83506
PR,ALMIRANTE TAMANDARE,U S CAPIVARA DOS MANFRON,RUA TIJUCO PRETO,S/N,CAPIVARA DOS MANFRON,"RUA TIJUCO PRETO, CAPIVARA DOS MANFRON, ALMIRANTE TAMANDARE, PR, BRASIL",-25.26345,-49.33641,"Estrada Capivara dos Manfrons, 83514, Almirante Tamandaré","25 15m 48.42s S, 49 20m 11.076s W",83514
PR,ALMIRANTE TAMANDARE,U S TAMBOARA,RUA PONTAL DO SUL,9,JARDIM GRAZIELE,"RUA PONTAL DO SUL, JARDIM GRAZIELE, ALMIRANTE TAMANDARE, PR, BRASIL",-25.34704,-49.25285,"Rua Pontal do Sul, 83505-020, Almirante Tamandaré","25 20m 49.344s S, 49 15m 10.26s W",83505-020
PR,ALMIRANTE TAMANDARE,U S JARDIM ROMA,RUA ARAUCARIA,10,JARDIM ROMA,"RUA ARAUCARIA, JARDIM ROMA, ALMIRANTE TAMANDARE, PR, BRASIL",-25.32684,-49.27026,"Rua Araucária, 83504-070, Almirante Tamandaré","25 19m 36.624s S, 49 16m 12.936s W",83504-070
PR,ALMIRANTE TAMANDARE,CTA SAE ALMIRANTE TAMANDARE,ANTONIO RODRIGUES DIAS,153,CACHOEIRA,"ANTONIO RODRIGUES DIAS, CACHOEIRA, ALMIRANTE TAMANDARE, PR, BRASIL",-25.34357,-49.276,"Rua Professor Antônio Rodrigues Dias, 83506, Almirante Tamandaré","25 20m 36.852s S, 49 16m 33.6s W",83506
PR,ALMIRANTE TAMANDARE,U S SEDE,JOSE CARLOS COLODEL,176,VILA SANTA TEREZINHA,"JOSE CARLOS COLODEL, VILA SANTA TEREZINHA, ALMIRANTE TAMANDARE, PR, BRASIL",-25.31199,-49.29705,"Rua José Carlos Colodel, 83501-140, Almirante Tamandaré","25 18m 43.164s S, 49 17m 49.38s W",83501-140
PR,ALMIRANTE TAMANDARE,US SAO VENANCIO,R GERALDO CORDEIRO SANTANA,131,SAO VENANCIO,"R GERALDO CORDEIRO SANTANA, SAO VENANCIO, ALMIRANTE TAMANDARE, PR, BRASIL",-25.33834,-49.2646,"Rua Geraldo Cordeiro Santana, 83504-530, Almirante Tamandaré","25 20m 18.024s S, 49 15m 52.56s W",83504-530
PR,ALMIRANTE TAMANDARE,U S LAMENHA,RUA WADISLAU BUGALSKI,120,LAMENHA,"RUA WADISLAU BUGALSKI, LAMENHA, ALMIRANTE TAMANDARE, PR, BRASIL",-25.34415,-49.29926,"Rua Vereador Wadislau Bugalski, 83507, 83511, 83512, 83514, Almirante Tamandaré","25 20m 38.94s S, 49 17m 57.336s W",83507
PR,ALMIRANTE TAMANDARE,U S TANGUA,RUA JOSE KLEINA,51,TANGUA,"RUA JOSE KLEINA, TANGUA, ALMIRANTE TAMANDARE, PR, BRASIL",-25.36783,-49.31716,"Rua José Kleina, 83508-530, Almirante Tamandaré","25 22m 4.188s S, 49 19m 1.776s W",83508-530
PR,ALMIRANTE TAMANDARE,U S ROSANA,RUA JOSE REAL PRADO,S/N,JARDIM ROSANA,"RUA JOSE REAL PRADO, JARDIM ROSANA, ALMIRANTE TAMANDARE, PR, BRASIL",-25.31274,-49.27408,"Rua José Real Prado, 83501, 83502, Almirante Tamandaré","25 18m 45.864s S, 49 16m 26.688s W",83501
PR,ALMIRANTE TAMANDARE,U S SAO JOAO BATISTA,RUA BRASILIO BENATO,149,SAO JOAO BATISTA,"RUA BRASILIO BENATO, SAO JOAO BATISTA, ALMIRANTE TAMANDARE, PR, BRASIL",-25.2385,-49.29947,"Rua Brasílio Benato, 83514-610, Almirante Tamandaré","25 14m 18.6s S, 49 17m 58.092s W",83514-610
PR,ALTAMIRA DO PARANA,UNIDADE DE ATENCAO PRIMARIA SAUDE DA FAMILIA,RUA PIQUIRI,S/N,CENTRO,"RUA PIQUIRI, CENTRO, ALTAMIRA DO PARANA, PR, BRASIL",-24.79919,-52.71714,"Rua Piquiri, 85280-000, Altamira do Paraná","24 47m 57.084s S, 52 43m 1.704s W",85280-000
PR,ALTONIA,CENTRO DE SAUDE,AVENIDA 7 DE SETEMBRO,1200,JARDIM PANORAMA,"AVENIDA 7 DE SETEMBRO, JARDIM PANORAMA, ALTONIA, PR, BRASIL",-23.8689,-53.90768,"Avenida Sete de Setembro, 7, 87550-000, Altônia","23 52m 8.04s S, 53 54m 27.648s W",87550-000
PR,ALTONIA,POSTO DE SAUDE CAMPO BELO,RUA FIDELISSIO BRAULIO DE MENEZES,125,CENTRO,"RUA FIDELISSIO BRAULIO DE MENEZES, CENTRO, ALTONIA, PR, BRASIL",-22.9327,-52.15156,"Rua Emílio de Menezes, 87660-000, Paranacity","22 55m 57.72s S, 52 9m 5.616s W",87660-000
PR,ALTONIA,POSTO DE SAUDE OURO VERDE,BAIRRO OURO VERDE,100,CENTRO,"BAIRRO OURO VERDE, CENTRO, ALTONIA, PR, BRASIL",-24.7751,-53.90347,Ouro Verde do Oeste,"24 46m 30.36s S, 53 54m 12.492s W",
PR,ALTONIA,POSTO DE SAUDE VILA YARA,VILA YARA,S/N,CENTRO,"VILA YARA, CENTRO, ALTONIA, PR, BRASIL",-21.79721,-48.17271,"Avenida Maria Antônia Camargo de Oliveira & Praça José Furlan, 14801, Araraquara","21 47m 49.956s S, 48 10m 21.756s W",14801
PR,ALTONIA,POSTO DE SAUDE DA PAINEIRA,ESTRADA PAINEIRA,S/N,RURAL,"ESTRADA PAINEIRA, RURAL, ALTONIA, PR, BRASIL",-23.77715,-53.31825,"Rua Paineira, Umuarama","23 46m 37.74s S, 53 19m 5.7s W",
PR,ALTONIA,POSTO DE SAUDE SAO JOAO,SAO JUDAS TADEU,90,CENTRO,"SAO JUDAS TADEU, CENTRO, ALTONIA, PR, BRASIL",-23.83859,-53.80482,"Rua São Judas Tadeu, 87553-000, Altônia","23 50m 18.924s S, 53 48m 17.352s W",87553-000
PR,ALTONIA,POSTO DE SAUDE PANORAMA,RUA OURO PRETO,S/N,JARDIM PANORAMA,"RUA OURO PRETO, JARDIM PANORAMA, ALTONIA, PR, BRASIL",-23.8729905,-53.903471200000006,"Rua Ouro Preto, Jardim Panorama, Altônia, Região Geográfica Imediata de Umuarama, Região Metropolitana de Umuarama, Região Geográfica Intermediária de Maringá, Paraná, Região Sul, Brasil","23 52m 22.7658s S, 53 54m 12.4963s W",
