UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
RN,ACARI,USF RAIMUNDA MEDEIROS DE ARAUJO PSF III,RUA TEOFILO DANTAS,230,TARCISIO BEZERRA,"RUA TEOFILO DANTAS, TARCISIO BEZERRA, ACARI, RN, BRASIL",-6.4358839,-36.6341391,"Rua Teófilo Dantas, Vereador Tarcísio Bezerra Galvão, Acari, Região Geográfica Imediata de Currais Novos, Região Geográfica Intermediária de Caicó, Rio Grande do Norte, Região Nordeste, 59370-000, Brasil","6 26m 9.18204s S, 36 38m 2.90076s W"
RN,ACARI,USF DE GARGALHEIRAS PSF IV,RUA JOAO FREIRE FILHO,S/N,CENTRO,"RUA JOAO FREIRE FILHO, CENTRO, ACARI, RN, BRASIL",,,,
RN,ACARI,CENTRO DE SAUDE DR ODILON GUEDES DA SILVA,RUA LUIZ FREIRE DA COSTA,S/N,CENTRO,"RUA LUIZ FREIRE DA COSTA, CENTRO, ACARI, RN, BRASIL",,,,
RN,ACARI,USF MARIA DE LOURDES BEZERRA PSF II,RUA AURELIO PIRES,201,LUIZ GONZAGA,"RUA AURELIO PIRES, LUIZ GONZAGA, ACARI, RN, BRASIL",,,,
RN,ACARI,USF MARIA DA GUIA BARACHO PSF I,RUA DES SILVINO BEZERRA,S/N,PETROPOLIS,"RUA DES SILVINO BEZERRA, PETROPOLIS, ACARI, RN, BRASIL",,,,
RN,ACARI,POSTO DE SAUDE VACA BRAVA,SITIO VACA BRAVA,S/N,ZONA RURAL,"SITIO VACA BRAVA, ZONA RURAL, ACARI, RN, BRASIL",,,,
RN,ACARI,USF MARTA MARIA DE ARAUJO PSF V,CONJUNTO NOVO ACARI,S/N,PADRE CORTEZ,"CONJUNTO NOVO ACARI, PADRE CORTEZ, ACARI, RN, BRASIL",,,,
RN,ACU,UBS OFELIA WANDERLEY RODRIGUES,RUA GENERAL JOSE CORREIA TELES,S/N,BELA VISTA,"RUA GENERAL JOSE CORREIA TELES, BELA VISTA, ACU, RN, BRASIL",,,,
RN,ACU,UBS ROBERIO ROBERTO BEZERRA,RUA DOM COSTA,S/N,DOM ELIZEU,"RUA DOM COSTA, DOM ELIZEU, ACU, RN, BRASIL",,,,
RN,ACU,USF DO RIACHO,SITIO RIACHO,S/N,ZONA RURAL,"SITIO RIACHO, ZONA RURAL, ACU, RN, BRASIL",,,,
RN,ACU,UBS ANTONIO CARLOS DANTAS DA SILVA,RUA CONEGO VICENTE FIRMINO PIMENTEL,S/N,FRUTILANDIA,"RUA CONEGO VICENTE FIRMINO PIMENTEL, FRUTILANDIA, ACU, RN, BRASIL",,,,
