UF,MUNICIPIO,NOME,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,LATITUDE,LONGITUDE,ENDERECO_API,POINT,CEP,CO_CNES
RR,ALTO ALEGRE,POSTO DE SAUDE PAREDAO NOVO,VILA PAREDAO,S/N,CENTRO,"VILA PAREDAO, CENTRO, ALTO ALEGRE, RR, BRASIL",2.98802,-61.3078,"Rua Paredão, 69350-000, Alto Alegre","2 59m 16.872s N, 61 18m 28.08s W",69350-000,0
RR,ALTO ALEGRE,CENTRO DE REFERENCIA SAUDE DA MULHER DE ALTO ALEGRE,AVENIDA 1 DE JULHO,S/N,CENTRO,"AVENIDA 1 DE JULHO, CENTRO, ALTO ALEGRE, RR, BRASIL",2.992,-61.31248000000001,"Avenida Primeiro de Julho, 69350-000, Alto Alegre","2 59m 31.2s N, 61 18m 44.928s W",69350-000,0
RR,ALTO ALEGRE,POSTO DE SAUDE DO TAIANO,RUA A,S/N,ZONA RURAL,"RUA A, ZONA RURAL, ALTO ALEGRE, RR, BRASIL",2.98307,-61.30488,"Rua A, 69350-000, Alto Alegre","2 58m 59.052s N, 61 18m 17.568s W",69350-000,0
RR,ALTO ALEGRE,UNIDADE MISTA BOM SAMARITANO,RUA PRINCIPAL,S/N,CENTRO,"RUA PRINCIPAL, CENTRO, ALTO ALEGRE, RR, BRASIL",-2.45796,-46.04078,"Rua Alto Alegre, 65288-000, Centro do Guilherme","2 27m 28.656s S, 46 2m 26.808s W",65288-000,0
RR,ALTO ALEGRE,POSTO DE SAUDE VILA SAO SILVESTRE,RUA PRINCIPAL,S/N,CENTRO,"RUA PRINCIPAL, CENTRO, ALTO ALEGRE, RR, BRASIL",-2.45796,-46.04078,"Rua Alto Alegre, 65288-000, Centro do Guilherme","2 27m 28.656s S, 46 2m 26.808s W",65288-000,0
RR,ALTO ALEGRE,CENTRO DE SAUDE ANA PEREIRA,RUA JOAO 23,S/N,CENTRO,"RUA JOAO 23, CENTRO, ALTO ALEGRE, RR, BRASIL",-21.58024,-50.16662,"Rua João Evangelista, 23, 16310-000, Alto Alegre","21 34m 48.864s S, 50 9m 59.832s W",16310-000,2319969
RR,ALTO ALEGRE,UBS ALONSO DEMETRIO DOS SANTOS,COMUNIDADE RAIMUNDAO I,S/N,ZONA RURAL,"COMUNIDADE RAIMUNDAO I, ZONA RURAL, ALTO ALEGRE, RR, BRASIL",2.98794,-61.30641,"Rua Dom Pedro I, 69350-000, Alto Alegre","2 59m 16.584s N, 61 18m 23.076s W",69350-000,9512829
RR,ALTO ALEGRE,POSTO DE SAUDE RECREAR,RR205,S/N,ZONA RUARAL,"RR205, ZONA RUARAL, ALTO ALEGRE, RR, BRASIL",2.99461,-61.12739000000001,"RR-205, 69350-000, Alto Alegre","2 59m 40.596s N, 61 7m 38.604s W",69350-000,0
RR,ALTO ALEGRE,CENTRO DE SAUDE JOAO MARIANO,AVENIDA GETULIO VARGAS,S/N,MUTIRAO,"AVENIDA GETULIO VARGAS, MUTIRAO, ALTO ALEGRE, RR, BRASIL",2.9902900000000003,-61.30972,"Avenida Getúlio Vargas, 69350-000, Alto Alegre","2 59m 25.044s N, 61 18m 34.992s W",69350-000,7317972
RR,AMAJARI,POSTO DE SAUDE DO TEPEQUEM,RUA PRINCIPAL,S/N,ZONA RURAL,"RUA PRINCIPAL, ZONA RURAL, AMAJARI, RR, BRASIL",-12.41631,-41.78971,"Estrada Vicinal Para Tenda Zona Rural & Rua Principal Caixa Dagua, 46900, Seabra","12 24m 58.716s S, 41 47m 22.956s W",46900,0
RR,AMAJARI,POSTO DE SAUDE DO PESQUEIRO,RUA EREU RR,S/N,CENTRO,"RUA EREU RR, CENTRO, AMAJARI, RR, BRASIL",-26.39187,-53.08051,"Rua Rio de Janeiro, 89980-000, Campo Erê","26 23m 30.732s S, 53 4m 49.836s W",89980-000,0
