UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
RS,ACEGUA,POSTO DE SAUDE DA COLONIA NOVA,COLONIA NOVA,1,COLONIA NOVA,"COLONIA NOVA, COLONIA NOVA, ACEGUA, RS, BRASIL",-31.67615,-54.09046,"Estrada Colônia Nova, 96445-000, Aceguá","31 40m 34.14s S, 54 5m 25.656s W"
RS,ACEGUA,UNIDADE BASICA DE SAUDE DE ACEGUA,CORREDOR INTERNACIONAL,S/N,CENTRO,"CORREDOR INTERNACIONAL, CENTRO, ACEGUA, RS, BRASIL",-31.86586,-54.16714,"Estrada Internacional & Rua Corredor dos Peres, 96445, Aceguá","31 51m 57.096s S, 54 10m 1.704s W"
RS,AGUA SANTA,UNIDADE BASICA AREA INDIGENA AGUA SANTA,AREA INDIGENA CARRETEIRO,S/N,INTERIOR,"AREA INDIGENA CARRETEIRO, INTERIOR, AGUA SANTA, RS, BRASIL",-28.17873,-52.02317,"Estrada para Posto Indígena Cruzalanha, 99965-000, Água Santa","28 10m 43.428s S, 52 1m 23.412s W"
RS,AGUA SANTA,CENTRO DE SAUDE AGUA SANTA,RUA REGINA BIANCHI PERUZZO,750,CENTRO,"RUA REGINA BIANCHI PERUZZO, CENTRO, AGUA SANTA, RS, BRASIL",-28.17568,-52.03509,"Rua Regina B. Peruzzo, 99965-000, Água Santa","28 10m 32.448s S, 52 2m 6.324s W"
RS,AGUDO,UBS ELEMAR ROBERTO BRAGA NOVA BOEMIA,NOVA BOEMIA,1,INTERIOR,"NOVA BOEMIA, INTERIOR, AGUDO, RS, BRASIL",-29.38617,-51.11818,"Rua Boemia, 95150-000, Nova Petrópolis","29 23m 10.212s S, 51 7m 5.448s W"
RS,AGUDO,CENTRO DE SAUDE,RUA RAMIRO BARCELOS,250,CENTRO,"RUA RAMIRO BARCELOS, CENTRO, AGUDO, RS, BRASIL",-29.64401,-53.25073,"Rua Ramiro Barcelos, 96540-000, Agudo","29 38m 38.436s S, 53 15m 2.628s W"
RS,AGUDO,UBS DARCILA DIVA BENDER PICADA DO RIO,PICADA DO RIO,1,INTERIOR,"PICADA DO RIO, INTERIOR, AGUDO, RS, BRASIL",-29.64878,-53.26098,Agudo,"29 38m 55.608s S, 53 15m 39.528s W"
RS,AGUDO,UBS PROFESSOR EDMUNDO FREDERICO BESKOW,LINHA DOS POMERANOS,1,INTERIOR,"LINHA DOS POMERANOS, INTERIOR, AGUDO, RS, BRASIL",-29.64878,-53.26098,Agudo,"29 38m 55.608s S, 53 15m 39.528s W"
RS,AGUDO,UBS TIA LAURINHA,RUA ARNILDO EHLE ESQUINA FLORIANO ZUROWSKI,35,VILA CAICARA,"RUA ARNILDO EHLE ESQUINA FLORIANO ZUROWSKI, VILA CAICARA, AGUDO, RS, BRASIL",-29.6402,-53.24664,"Rua Floriano Zurowski, 96540-000, Agudo","29 38m 24.72s S, 53 14m 47.904s W"
RS,AJURICABA,UNIDADE DE SAUDE 02,RUA LUIZ FOGLIATTO,323,PLANALTO,"RUA LUIZ FOGLIATTO, PLANALTO, AJURICABA, RS, BRASIL",-28.23735,-53.76767,"Rua Luiz Fogliatto, 98750-000, Ajuricaba","28 14m 14.46s S, 53 46m 3.612s W"
RS,AJURICABA,UNIDADE DE SAUDE 03,RUA COMBATENTES DA RAMADA,S/N,JOAO CARLINI,"RUA COMBATENTES DA RAMADA, JOAO CARLINI, AJURICABA, RS, BRASIL",-28.23886,-53.76053,"Rua Combatentes da Ramada, 98750-000, Ajuricaba","28 14m 19.896s S, 53 45m 37.908s W"
RS,AJURICABA,UNIDADE DE SAUDE 01,RUA LUIZ FOGLIATTO,S/N,CENTRO,"RUA LUIZ FOGLIATTO, CENTRO, AJURICABA, RS, BRASIL",-28.23735,-53.76767,"Rua Luiz Fogliatto, 98750-000, Ajuricaba","28 14m 14.46s S, 53 46m 3.612s W"
RS,ALECRIM,UNIDADE BASICA DE SAUDE ALECRIM,RUA MARQUES DO ERVAL,474,CENTRO,"RUA MARQUES DO ERVAL, CENTRO, ALECRIM, RS, BRASIL",-27.65585,-54.76171,"Rua Marquês do Herval, 98950-000, Alecrim","27 39m 21.06s S, 54 45m 42.156s W"
RS,ALECRIM,SECRETARIA MUNICIPAL DE SAUDE DE ALECRIM,RUA OSVALDO CRUZ,S/N,CENTRO,"RUA OSVALDO CRUZ, CENTRO, ALECRIM, RS, BRASIL",-27.65623,-54.76459,"Rua Osvaldo Cruz, 98950-000, Alecrim","27 39m 22.428s S, 54 45m 52.524s W"
RS,ALECRIM,POSTO DE SAUDE ESQUINA VANGUARDA ALECRIM,ESQUINA VANGUARDA,S/N,INTERIOR,"ESQUINA VANGUARDA, INTERIOR, ALECRIM, RS, BRASIL",-27.65739,-54.76703,Alecrim,"27 39m 26.604s S, 54 46m 1.308s W"
RS,ALEGRETE,ESF PRADO,R OLEGARIO VITOR ANDRADE,620,VILA PRADO,"R OLEGARIO VITOR ANDRADE, VILA PRADO, ALEGRETE, RS, BRASIL",-29.80065,-55.81731,"Rua Olegário Vítor de Andrade, 97543-420, Alegrete","29 48m 2.34s S, 55 49m 2.316s W"
RS,ALEGRETE,PLANTAO PEDIATRICO,RUA GAL SAMPAIO,88,CANUDOS,"RUA GAL SAMPAIO, CANUDOS, ALEGRETE, RS, BRASIL",-29.7766105,-55.79127929999999,"Rua General Sampaio, Vila Nova, Canudos, Alegrete, Região Geográfica Imediata de Uruguaiana, Região Geográfica Intermediária de Uruguaiana, Rio Grande do Sul, Região Sul, 97541-261, Brasil","29 46m 35.7978s S, 55 47m 28.6055s W"
RS,ALEGRETE,ESF VILA PIOLA,RUA PEDRO CARNEIRO PEREIRA,26,VILA PIOLA,"RUA PEDRO CARNEIRO PEREIRA, VILA PIOLA, ALEGRETE, RS, BRASIL",-29.81476,-55.80576,"Rua Pedro Carneiro Pereira, 97545-590, Alegrete","29 48m 53.136s S, 55 48m 20.736s W"
RS,ALEGRETE,ESF SAINT PASTOUS,RUA FELIPE SOARES,312,SAINT PASTOUS,"RUA FELIPE SOARES, SAINT PASTOUS, ALEGRETE, RS, BRASIL",-29.79991,-55.7429,"Rua Francisco Felipe Soares, 97547-633, Alegrete","29 47m 59.676s S, 55 44m 34.44s W"
RS,ALEGRETE,ESF BOA VISTA QUILOMBOLA,RUA PEDRO SOUZA BISH,525,BOA VISTA,"RUA PEDRO SOUZA BISH, BOA VISTA, ALEGRETE, RS, BRASIL",-29.78277,-55.80784,"Rua Pedro de Souza Bisch, 97542-520, Alegrete","29 46m 57.972s S, 55 48m 28.224s W"
RS,ALEGRETE,ESF NOVA BRASILIA,RUA IZABEL GARAIALDI PERES,135,NOVA BRASILIA,"RUA IZABEL GARAIALDI PERES, NOVA BRASILIA, ALEGRETE, RS, BRASIL",-29.80272,-55.7659,"Rua Izabel Garaial de Peres, 97546-085, Alegrete","29 48m 9.792s S, 55 45m 57.24s W"
