UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
SE,AMPARO DE SAO FRANCISCO,POSTO DE SAUDE ALOISIO PINHEIRO,POVOADO PONTAL,S/N,ZONA RURAL,"POVOADO PONTAL, ZONA RURAL, AMPARO DE SAO FRANCISCO, SE, BRASIL",,,,
SE,AMPARO DE SAO FRANCISCO,POSTO DE SAUDE DA FAMILIA DO POV SAO JOSE,POVOADO SAO JOSE,S/N,CENTRO,"POVOADO SAO JOSE, CENTRO, AMPARO DE SAO FRANCISCO, SE, BRASIL",,,,
SE,AMPARO DE SAO FRANCISCO,CLINICA DE SAUDE DE AMPARO DE SAO FRANCISCO,AVENIDA ABRAAO FREIRE,S/N,CENTRO,"AVENIDA ABRAAO FREIRE, CENTRO, AMPARO DE SAO FRANCISCO, SE, BRASIL",,,,
SE,AMPARO DE SAO FRANCISCO,POSTO DE SAUDE PEDRO ALVES DOS SANTOS,POVOADO CRIOLO,S/N,ZONA RURAL,"POVOADO CRIOLO, ZONA RURAL, AMPARO DE SAO FRANCISCO, SE, BRASIL",,,,
SE,AQUIDABA,POSTO DE SAUDE SEGREDO,POVOADO SEGREDO,S/N,ZONA RURAL,"POVOADO SEGREDO, ZONA RURAL, AQUIDABA, SE, BRASIL",,,,
SE,AQUIDABA,CENTRO DE SAUDE DE AQUIDABA,RUA GENERAL ADEMAR MESSIAS ARAGAO,317,CENTRO,"RUA GENERAL ADEMAR MESSIAS ARAGAO, CENTRO, AQUIDABA, SE, BRASIL",,,,
SE,AQUIDABA,POSTO DE SAUDE CAMPO REDONDO,POVOADO CAMPO REDONDO,S/N,ZONA RURAL,"POVOADO CAMPO REDONDO, ZONA RURAL, AQUIDABA, SE, BRASIL",,,,
SE,AQUIDABA,POSTO DE SAUDE LAGOA DO MATO,POVOADO LAGOA DO MATO,S/N,ZONA RURAL,"POVOADO LAGOA DO MATO, ZONA RURAL, AQUIDABA, SE, BRASIL",,,,
SE,AQUIDABA,USF CRUZ GRANDE,POVOADO CRUZ GRANDE,S/N,ZONA RURAL,"POVOADO CRUZ GRANDE, ZONA RURAL, AQUIDABA, SE, BRASIL",,,,
SE,AQUIDABA,USF MARIA HILDA FERREIRA,RODOVIA GOVERNADOR VALADARES,S/N,JOAO ALVES,"RODOVIA GOVERNADOR VALADARES, JOAO ALVES, AQUIDABA, SE, BRASIL",,,,
SE,AQUIDABA,USF SACO DE AREIA,POVOADO SACO DE AREIA,S/N,ZONA RURAL,"POVOADO SACO DE AREIA, ZONA RURAL, AQUIDABA, SE, BRASIL",,,,
SE,AQUIDABA,POSTO DE SAUDE MUCAMBO,POVOADO MUCAMBO,S/N,ZONA RURAL,"POVOADO MUCAMBO, ZONA RURAL, AQUIDABA, SE, BRASIL",,,,
SE,AQUIDABA,POSTO DE SAUDE MULUNGU,POVOADO MULUNGU,S/N,ZONA RURAL,"POVOADO MULUNGU, ZONA RURAL, AQUIDABA, SE, BRASIL",,,,
SE,AQUIDABA,POSTO DE SAUDE PAPEL DE SANTA LUZIA,POVOADO PAPEL DE SANTA LUZIA,S/N,ZONA RURAL,"POVOADO PAPEL DE SANTA LUZIA, ZONA RURAL, AQUIDABA, SE, BRASIL",,,,
SE,AQUIDABA,USF GETULIO VARGAS,AVENIDA GETULIO VARGAS,S/N,CENTRO,"AVENIDA GETULIO VARGAS, CENTRO, AQUIDABA, SE, BRASIL",,,,
SE,AQUIDABA,USF MARTA BARRETO,RUA DA CERAMICA,S/N,VULCAO,"RUA DA CERAMICA, VULCAO, AQUIDABA, SE, BRASIL",,,,
SE,AQUIDABA,USF MARIA IVANETE FERREIRA DONA VANDA,POVOADO MOITA REDONDA,S/N,ZONA RURAL,"POVOADO MOITA REDONDA, ZONA RURAL, AQUIDABA, SE, BRASIL",,,,
SE,ARACAJU,US JOAO BEZERRA AREIA BRANCA,ROD JOAO ALVES BEZERRA,S/N,AREIA BRANCA,"ROD JOAO ALVES BEZERRA, AREIA BRANCA, ARACAJU, SE, BRASIL",,,,
SE,ARACAJU,US MARIA DO CEU SANTOS PEREIRA,RUA MARUIM,198,CENTRO,"RUA MARUIM, CENTRO, ARACAJU, SE, BRASIL",-10.9149957,-37.055081,"Rua Maruim, Centro, Aracaju, Região Geográfica Imediata de Aracaju, Região Geográfica Intermediária de Aracaju, Sergipe, Região Nordeste, 49010-160, Brasil","10 54m 53.9845s S, 37 3m 18.2916s W"
SE,ARACAJU,US ONESIMO PINTO FILHO JARDIM CENTENARIO,AVENIDA RADIALISTA JOSE DA SILVA LIMA,S/N,JARDIM CENTENARIO,"AVENIDA RADIALISTA JOSE DA SILVA LIMA, JARDIM CENTENARIO, ARACAJU, SE, BRASIL",,,,
SE,ARACAJU,US DR JOSE CALUMBY FILHO,RUA TEREZINHA MACEDO DA SILVA,1,JARDIM CENTENARIO,"RUA TEREZINHA MACEDO DA SILVA, JARDIM CENTENARIO, ARACAJU, SE, BRASIL",,,,
SE,ARACAJU,US JOSE AUGUSTO BARRETO JAPAOZINHO,AV EUCLIDES FIGUEIREDO,S/N,JAPAOZINHO,"AV EUCLIDES FIGUEIREDO, JAPAOZINHO, ARACAJU, SE, BRASIL",,,,
SE,ARACAJU,COMPAJAF,RUA 37,1501,SANTA MARIA,"RUA 37, SANTA MARIA, ARACAJU, SE, BRASIL",,,,
SE,ARACAJU,CONSULTORIO QUALIVIDA,RUA GUTEMBERG CHAGAS,169,DISTRITO INDUSTRIAL,"RUA GUTEMBERG CHAGAS, DISTRITO INDUSTRIAL, ARACAJU, SE, BRASIL",-10.9460324,-37.0684224,"Rua Doutor Gutemberg Chagas, Distrito Industrial de Aracaju, Inácio Barbosa, Aracaju, Região Geográfica Imediata de Aracaju, Região Geográfica Intermediária de Aracaju, Sergipe, Região Nordeste, 49048-430, Brasil","10 56m 45.7166s S, 37 4m 6.32064s W"
SE,ARACAJU,US DONA JOVEM AZEVEDO INDUSTRIAL,RUA ALTAMIRA,S/N,INDUSTRIAL,"RUA ALTAMIRA, INDUSTRIAL, ARACAJU, SE, BRASIL",,,,
SE,ARACAJU,US HUGO GURGEL COROA DO MEIO,RUA RENATO FONSECA OLIVEIRA,S/N,COROA DO MEIO,"RUA RENATO FONSECA OLIVEIRA, COROA DO MEIO, ARACAJU, SE, BRASIL",,,,
SE,ARACAJU,US IRMA CARIDADE ALOQUE,RUA PRINCIPAL,101,JABOTIANA,"RUA PRINCIPAL, JABOTIANA, ARACAJU, SE, BRASIL",,,,
SE,ARACAJU,US CARLOS HARDMAN CORTES SOLEDADE,AVENIDA CARLOS MARQUES,S/N,SOLEDADE,"AVENIDA CARLOS MARQUES, SOLEDADE, ARACAJU, SE, BRASIL",-10.8782206,-37.0891289,"Avenida Carlos Marques, Loteamento Senhor do Bonfim, Soledade, Aracaju, Região Geográfica Imediata de Aracaju, Região Geográfica Intermediária de Aracaju, Sergipe, Região Nordeste, 49089-005, Brasil","10 52m 41.5942s S, 37 5m 20.864s W"
SE,ARACAJU,US OSWALDO DE SOUZA,TV ADALTO BOTELHO,S/N,GETULIO VARGAS,"TV ADALTO BOTELHO, GETULIO VARGAS, ARACAJU, SE, BRASIL",,,,
SE,ARACAJU,US HUMBERTO MOURAO GUIMARAES SAO CONRADO,RUA A,S/N,SAO CONRADO,"RUA A, SAO CONRADO, ARACAJU, SE, BRASIL",-10.9601268,-37.0781588,"Rua A, São Conrado, Aracaju, Região Geográfica Imediata de Aracaju, Região Geográfica Intermediária de Aracaju, Sergipe, Região Nordeste, 49043-353, Brasil","10 57m 36.4565s S, 37 4m 41.3717s W"
