UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
SP,ADAMANTINA,UBS NOVE DE JULHO,RUA NOVE DE JULHO,841,CENTRO,"RUA NOVE DE JULHO, CENTRO, ADAMANTINA, SP, BRASIL",,,,
SP,ADAMANTINA,UBS DORIGO,R DEOLINDA FERREIRA SILVA,S/N,ESTANCIA DORIGO,"R DEOLINDA FERREIRA SILVA, ESTANCIA DORIGO, ADAMANTINA, SP, BRASIL",,,,
SP,ADAMANTINA,UBS VILA JARDIM,ALAMEDA DAS MARGARIDAS,S/N,VILA JARDIM,"ALAMEDA DAS MARGARIDAS, VILA JARDIM, ADAMANTINA, SP, BRASIL",,,,
SP,ADAMANTINA,UBS PARQUE CECAP,R PROF NOEMIA BUENO DO VALE,145,PARQUE CECAP,"R PROF NOEMIA BUENO DO VALE, PARQUE CECAP, ADAMANTINA, SP, BRASIL",,,,
SP,ADAMANTINA,UBS JARDIM ADAMANTINA,JOAO PERRONE,S/N,JARDIM ADAMANTINA,"JOAO PERRONE, JARDIM ADAMANTINA, ADAMANTINA, SP, BRASIL",,,,
SP,ADAMANTINA,UBS VILA CICMA,RUA ARNO KIEFFER,S/N,VILA CICMA,"RUA ARNO KIEFFER, VILA CICMA, ADAMANTINA, SP, BRASIL",,,,
SP,ADAMANTINA,CENTRO DE SAUDE DE ADAMANTINA,AV VITORIO ROMANINI,16,VILA CICMA,"AV VITORIO ROMANINI, VILA CICMA, ADAMANTINA, SP, BRASIL",,,,
SP,ADAMANTINA,UBS MARIO COVAS,ANTONIO PIRES RIBEIRO,72,CONJUNTO MARIO COVAS,"ANTONIO PIRES RIBEIRO, CONJUNTO MARIO COVAS, ADAMANTINA, SP, BRASIL",,,,
SP,ADOLFO,CS DE ADOLFO,RUA MANOEL CARLOS FIGUEIREDO FERRAZ,798,CENTRO,"RUA MANOEL CARLOS FIGUEIREDO FERRAZ, CENTRO, ADOLFO, SP, BRASIL",,,,
SP,AGUAI,CENTRO DE SAUDE III EUFROZINA MARIA DE JESUS AGUAI,PC GOVERNADOR CARVALHO PINTO,519,CENTRO,"PC GOVERNADOR CARVALHO PINTO, CENTRO, AGUAI, SP, BRASIL",,,,
SP,AGUAI,UBS DR WILSON LUIZ ZERBINATTI JARDIM AEROPORTO,ESTRADA DO TANQUE,S/N,JARDIM AEROPORTO,"ESTRADA DO TANQUE, JARDIM AEROPORTO, AGUAI, SP, BRASIL",,,,
SP,AGUAI,UBS DR JOSE EDGARD SIMON ALONSO AGUAI CIDADE NOVA,R APARECIDO ANTONIO OLIVEIRA,122,CIDADE NOVA,"R APARECIDO ANTONIO OLIVEIRA, CIDADE NOVA, AGUAI, SP, BRASIL",,,,
SP,AGUAI,UBS AUREA OLIVEIRA ARAUJO VILA BRAGA,RUA MIGUEL ANGELO,791,PARQUE MIGUELITO,"RUA MIGUEL ANGELO, PARQUE MIGUELITO, AGUAI, SP, BRASIL",,,,
SP,AGUAI,UBS SANTA MARIA DR RICARDO MAMEDE BARBOSA AGUAI,OSVALDO MORO,740,JARDIM SANTA MARIA,"OSVALDO MORO, JARDIM SANTA MARIA, AGUAI, SP, BRASIL",,,,
SP,AGUAS DA PRATA,UNIDADE INTEGRADA DE SAUDE LEOPOLDO DE ARAUJO A PRATA,LAZARO ANSELMO RAMOS,200,JARDIM AGUAS DA PRAT,"LAZARO ANSELMO RAMOS, JARDIM AGUAS DA PRAT, AGUAS DA PRATA, SP, BRASIL",,,,
SP,AGUAS DA PRATA,UASF ANA ZACARIAS,RUA SAO JOSE,S/N,CASCATA,"RUA SAO JOSE, CASCATA, AGUAS DA PRATA, SP, BRASIL",,,,
SP,AGUAS DE LINDOIA,PSF II ALEXANDRE GATOLINE AGUAS DE LINDOIA,RUA MONTEIRO LOBATO,220,PIMENTEIS,"RUA MONTEIRO LOBATO, PIMENTEIS, AGUAS DE LINDOIA, SP, BRASIL",,,,
SP,AGUAS DE LINDOIA,PSF III DR JOSE EGIDIO DE ALVARENGA AGUAS DE LINDOIA,AVENIDA DAS NACOES UNIDAS,1100,CENTRO,"AVENIDA DAS NACOES UNIDAS, CENTRO, AGUAS DE LINDOIA, SP, BRASIL",,,,
SP,AGUAS DE LINDOIA,PSF I SETIMO FORMAGIO AGUAS DE LINDOIA,RUA VINICIUS DE MORAES,235,PIMENTEIS,"RUA VINICIUS DE MORAES, PIMENTEIS, AGUAS DE LINDOIA, SP, BRASIL",,,,
SP,AGUAS DE LINDOIA,U B S DR WILSON MARCILIO,R DAS ROSAS,223,BELA VISTA,"R DAS ROSAS, BELA VISTA, AGUAS DE LINDOIA, SP, BRASIL",,,,
SP,AGUAS DE LINDOIA,U B S LIDIA MARIA DE GODOI RODRIGUES,AVENIDA JABOTICABAL,60,DOS FRANCOS,"AVENIDA JABOTICABAL, DOS FRANCOS, AGUAS DE LINDOIA, SP, BRASIL",,,,
SP,AGUAS DE SANTA BARBARA,ESF IRINEU MALICIA,RUA RAFAEL CASIANO MARTINS DE SANTOS,60,CDHU II,"RUA RAFAEL CASIANO MARTINS DE SANTOS, CDHU II, AGUAS DE SANTA BARBARA, SP, BRASIL",,,,
SP,AGUAS DE SANTA BARBARA,ESF UNIDADE PARQUE DOS LAGOS,AVENIDA PARQUE DOS LAGOS,100,PARQUE DOS LAGOS,"AVENIDA PARQUE DOS LAGOS, PARQUE DOS LAGOS, AGUAS DE SANTA BARBARA, SP, BRASIL",,,,
SP,AGUAS DE SANTA BARBARA,UNIDADE BASICA DE SAUDE AGUAS STA BARBARA,AVENIDA JOSE COSTA,1050,JARDIM SOTERO COSTA,"AVENIDA JOSE COSTA, JARDIM SOTERO COSTA, AGUAS DE SANTA BARBARA, SP, BRASIL",,,,
SP,AGUAS DE SAO PEDRO,UNIDADE BASICA DE SAUDE DE AGUAS DE SAO PEDRO,RUA ANTONIO FEIJO,52,CENTRO,"RUA ANTONIO FEIJO, CENTRO, AGUAS DE SAO PEDRO, SP, BRASIL",,,,
SP,AGUDOS,UNIDADE DE SAUDE DR ALFREDO PARAISO GALRAO,AVENIDA MANOEL LOPES,41,PRQ PAMPULHA,"AVENIDA MANOEL LOPES, PRQ PAMPULHA, AGUDOS, SP, BRASIL",,,,
SP,AGUDOS,CENTRO INTEGRADO DE SAUDE,PREFEITO JOSE NOGUEIRA DE ABREU,62,VILA MALVINA,"PREFEITO JOSE NOGUEIRA DE ABREU, VILA MALVINA, AGUDOS, SP, BRASIL",,,,
SP,AGUDOS,CENTRO DE SAUDE II DR JACOB CASSEB,RUA SETE DE SETEMBRO,1189,CENTRO,"RUA SETE DE SETEMBRO, CENTRO, AGUDOS, SP, BRASIL",,,,
SP,AGUDOS,UNIDADE DE SAUDE VEREADOR MICHEL AYUB,AVN MONSENHOR JOSE MARIA S PAES,S/N,JD CRUZEIRO,"AVN MONSENHOR JOSE MARIA S PAES, JD CRUZEIRO, AGUDOS, SP, BRASIL",,,,
SP,AGUDOS,UNIDADE DE SAUDE DIRCE PORTO BICALHO AYUB,RUA PROF LUIZ PEDRO DA CUNHA,545,JARDIM EUROPA,"RUA PROF LUIZ PEDRO DA CUNHA, JARDIM EUROPA, AGUDOS, SP, BRASIL",,,,
