UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
AC,ACRELANDIA,UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA,RUA 07 QUEDAS,284,CENTRO,"RUA 07 QUEDAS, CENTRO, ACRELANDIA, AC, BRASIL",,,,
AC,ACRELANDIA,UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO,BR 364 KM 114,114,ZONA RURAL,"BR 364 KM 114, ZONA RURAL, ACRELANDIA, AC, BRASIL",,,,
AC,ACRELANDIA,UNIDADE MISTA DE SAUDE DE ACRELANDIA,AVENIDA PARANA,346,CENTRO,"AVENIDA PARANA, CENTRO, ACRELANDIA, AC, BRASIL",,,,
AC,ACRELANDIA,UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA,BR 364 KM 90 RAMAL GRANADA KM 16,16,ZONA RURAL,"BR 364 KM 90 RAMAL GRANADA KM 16, ZONA RURAL, ACRELANDIA, AC, BRASIL",,,,
AC,ACRELANDIA,UNIDADE DE SAUDE DA FAMILIA REDENCAO,AC 475 VILA REDENCAOI,nan,ZONA RURAL,"AC 475 VILA REDENCAOI, ZONA RURAL, ACRELANDIA, AC, BRASIL",,,,
AC,ACRELANDIA,UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN,AVENIDA PARANA,513,CENTRO,"AVENIDA PARANA, CENTRO, ACRELANDIA, AC, BRASIL",,,,
AC,ASSIS BRASIL,UNIDADE MISTA DE ASSIS BRASIL,TRAVESSA DO HOSPITAL,S/N,CASCATA,"TRAVESSA DO HOSPITAL, CASCATA, ASSIS BRASIL, AC, BRASIL",,,,
AC,ASSIS BRASIL,UNIDADE BASICA DE SAUDE GILDO FERREIRA DA SILVA,RUA EUNICIO PEREIRA,2490,CIDADE NOVA,"RUA EUNICIO PEREIRA, CIDADE NOVA, ASSIS BRASIL, AC, BRASIL",,,,
AC,ASSIS BRASIL,UNIDADE BASICA DE SAUDE ANTONIO ALVES CAVALCANTE,RUA JOAO JOSE DO BOMFIM,S/N,BELA VISTA,"RUA JOAO JOSE DO BOMFIM, BELA VISTA, ASSIS BRASIL, AC, BRASIL",,,,
AC,ASSIS BRASIL,UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS,RUA FRANCISCA DAS CHAGAS,622,CASCATA,"RUA FRANCISCA DAS CHAGAS, CASCATA, ASSIS BRASIL, AC, BRASIL",,,,
AC,BRASILEIA,ESF FRANCISCO DE ASSIS,RUA PEDRO ALEXANDRINO NETO,S/N,SAMAUMA,"RUA PEDRO ALEXANDRINO NETO, SAMAUMA, BRASILEIA, AC, BRASIL",,,,
AC,BRASILEIA,ESF RAIMUNDA ANTONIA DE ARAUJO CARNEIRO LIMA,RUA RAIMUNDO TEODORO,S/N,MARCOS GALVAO,"RUA RAIMUNDO TEODORO, MARCOS GALVAO, BRASILEIA, AC, BRASIL",,,,
