UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
AL,AGUA BRANCA,POSTO DE SAUDE DO ESTREITO,SITIO ESTREITO,S/N,ZONA RURAL,"SITIO ESTREITO, ZONA RURAL, AGUA BRANCA, AL, BRASIL",,,,
AL,AGUA BRANCA,UNIDADE DRA QUITERIA BEZERRA DE MELO,RUA PADRE EPIFANIO MOURA,S/N,CENTRO,"RUA PADRE EPIFANIO MOURA, CENTRO, AGUA BRANCA, AL, BRASIL",,,,
AL,AGUA BRANCA,POSTO DE SAUDE LAGOA DAS PEDRAS,SITIO LAGOA DAS PEDRAS,S/N,ZONA RURAL,"SITIO LAGOA DAS PEDRAS, ZONA RURAL, AGUA BRANCA, AL, BRASIL",,,,
AL,AGUA BRANCA,POSTO DE SAUDE TABULEIRO,POVOADO TABULEIRO,S/N,ZONA RURAL,"POVOADO TABULEIRO, ZONA RURAL, AGUA BRANCA, AL, BRASIL",,,,
AL,AGUA BRANCA,POSTO DE SAUDE DA PAPATERRA,POVOADO PAPATERRA,S/N,ZONA RURAL,"POVOADO PAPATERRA, ZONA RURAL, AGUA BRANCA, AL, BRASIL",,,,
AL,AGUA BRANCA,POSTO DE SAUDE ALTO DOS COELHOS,POVOADO ALTO DOS COELHOS,S/N,ZONA RURAL,"POVOADO ALTO DOS COELHOS, ZONA RURAL, AGUA BRANCA, AL, BRASIL",,,,
AL,AGUA BRANCA,PACS OURICURI,POVOADO OURICURI,S/N,ZONA RURAL,"POVOADO OURICURI, ZONA RURAL, AGUA BRANCA, AL, BRASIL",,,,
AL,AGUA BRANCA,POSTO DE SAUDE QUIXABEIRA,POVOADO QUIXABEIRA,S/N,ZONA RURAL,"POVOADO QUIXABEIRA, ZONA RURAL, AGUA BRANCA, AL, BRASIL",,,,
AL,AGUA BRANCA,POSTO DE SAUDE DA SERRA DO CAVALO,POVOADO SERRA DO CAVALO,S/N,ZONA RURAL,"POVOADO SERRA DO CAVALO, ZONA RURAL, AGUA BRANCA, AL, BRASIL",,,,
AL,AGUA BRANCA,UNIDADE BASICA DE SAUDE ENOQUE GOMES,RODOVIA AL 145,S/N,CENTRO,"RODOVIA AL 145, CENTRO, AGUA BRANCA, AL, BRASIL",,,,
AL,AGUA BRANCA,CENTRO DE SAUDE MUNICIPAL DE AGUA BRANCA,RUA NOSSA SENHORA DA CONCEICAO,S/N,BAIRRO NOVO,"RUA NOSSA SENHORA DA CONCEICAO, BAIRRO NOVO, AGUA BRANCA, AL, BRASIL",,,,
AL,AGUA BRANCA,POSTO DE SAUDE DE TINGUI,POVOADO TINGUI,S/N,ZONA RURAL,"POVOADO TINGUI, ZONA RURAL, AGUA BRANCA, AL, BRASIL",,,,
AL,AGUA BRANCA,POSTO DE SAUDE BOQUEIRAO,POVOADO BOQUEIRAO,S/N,ZONA RURAL,"POVOADO BOQUEIRAO, ZONA RURAL, AGUA BRANCA, AL, BRASIL",,,,
AL,AGUA BRANCA,POSTO DE SAUDE VARZEA DO PICO,POVOADO VARZEA DO PICO,S/N,ZONA RURAL,"POVOADO VARZEA DO PICO, ZONA RURAL, AGUA BRANCA, AL, BRASIL",,,,
AL,ANADIA,USF TABULEIRO,POVOADO TABULEIRO GRANDE,S/N,ZONA RURAL,"POVOADO TABULEIRO GRANDE, ZONA RURAL, ANADIA, AL, BRASIL",,,,
AL,ANADIA,USF ISAURO FAUSTINO BARBOSA,RUA DO CRUZEIRO,S/N,CHA DA MANGABEIRA,"RUA DO CRUZEIRO, CHA DA MANGABEIRA, ANADIA, AL, BRASIL",,,,
AL,ANADIA,USF JOAQUINA BEZERRA DA COSTA,AV MOREIRA LIMA,S/N,CENTRO,"AV MOREIRA LIMA, CENTRO, ANADIA, AL, BRASIL",,,,
AL,ANADIA,USF SERTAOZINHO,RUA DR HERMES DA FONSECA,S/N,SERTAOZINHO,"RUA DR HERMES DA FONSECA, SERTAOZINHO, ANADIA, AL, BRASIL",,,,
AL,ANADIA,USF TAPERA,POVOADO TAPERA,S/N,ZONA RURAL,"POVOADO TAPERA, ZONA RURAL, ANADIA, AL, BRASIL",,,,
AL,ANADIA,USF CHA DA MANGABEIRA,RUA JOS FRANCISCO DE OLIVEIRA,S/N,CH DA MANGABEIRA,"RUA JOS FRANCISCO DE OLIVEIRA, CH DA MANGABEIRA, ANADIA, AL, BRASIL",,,,
AL,ANADIA,POSTO DE SAUDE BREJO NOVO,POVOADO BREJO NOVO,S/N,ZONA RURAL,"POVOADO BREJO NOVO, ZONA RURAL, ANADIA, AL, BRASIL",,,,
AL,ANADIA,UNIDADE MISTA SENADOR RUI PALMEIRA,TRAVESSA MOREIRA LIMA,S/N,CENTRO,"TRAVESSA MOREIRA LIMA, CENTRO, ANADIA, AL, BRASIL",,,,
AL,ANADIA,USF DUAS ESTRADAS,STIO DUAS ESTRADAS,S/N,ZONA RURAL,"STIO DUAS ESTRADAS, ZONA RURAL, ANADIA, AL, BRASIL",,,,
AL,ARAPIRACA,USF DR DANIEL HOULY,RUA SANTA RITA,S/N,BRASILIA,"RUA SANTA RITA, BRASILIA, ARAPIRACA, AL, BRASIL",,,,
AL,ARAPIRACA,UNIDADE BASICA DE CACIMBAS DR JUDA FERNANDES LIMA,RUA VEREADOR BENICIO ALVES DE OLIVEIRA,395,CACIMBAS,"RUA VEREADOR BENICIO ALVES DE OLIVEIRA, CACIMBAS, ARAPIRACA, AL, BRASIL",,,,
AL,ARAPIRACA,II CENTRO,RUA EXPEDICIONARIOS BRASILEIROS,S/N,BAIXA GRANDE,"RUA EXPEDICIONARIOS BRASILEIROS, BAIXA GRANDE, ARAPIRACA, AL, BRASIL",,,,
AL,ARAPIRACA,USF VILA APARECIDA,POVOADO VILA APARECIDA,S/N,VILA APARECIDA,"POVOADO VILA APARECIDA, VILA APARECIDA, ARAPIRACA, AL, BRASIL",,,,
AL,ARAPIRACA,USF CAVACO DR JOSE FERNANDES,RUA JOSE MONTEIRO DA SILVA,S/N,CAVACO,"RUA JOSE MONTEIRO DA SILVA, CAVACO, ARAPIRACA, AL, BRASIL",,,,
AL,ARAPIRACA,USF BRISA DO LAGO FERNANDO LOURENCO,RUA PROJETADA,S/N,CAZUZINHOS,"RUA PROJETADA, CAZUZINHOS, ARAPIRACA, AL, BRASIL",,,,
AL,ARAPIRACA,UBS JOAO PAULO II,RUA ENGENHEIRO CAMILO COLLIER,3,JOAO PAULO II,"RUA ENGENHEIRO CAMILO COLLIER, JOAO PAULO II, ARAPIRACA, AL, BRASIL",,,,
AL,ARAPIRACA,UBS VERDES CAMPOS,RUA JOSE CLEONILDES BARROS,S/N,VERDES CAMPOS,"RUA JOSE CLEONILDES BARROS, VERDES CAMPOS, ARAPIRACA, AL, BRASIL",,,,
AL,ARAPIRACA,USF BOM SUCESSO,RUA ALVORADA,22,BOM SUCESSO,"RUA ALVORADA, BOM SUCESSO, ARAPIRACA, AL, BRASIL",,,,
AL,ARAPIRACA,USF CARRASCO,SITIO CARRASCO,10,CARRASCO,"SITIO CARRASCO, CARRASCO, ARAPIRACA, AL, BRASIL",,,,
AL,ARAPIRACA,UBS RIACHO SECO,RUA ANTONIO FELICIANO,1079,CANAFISTULA,"RUA ANTONIO FELICIANO, CANAFISTULA, ARAPIRACA, AL, BRASIL",,,,
AL,ARAPIRACA,USF POCAO ARAPIRACA,SITIO POCAO,S/N,SITIO POCAO,"SITIO POCAO, SITIO POCAO, ARAPIRACA, AL, BRASIL",,,,
