UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
AM,ALVARAES,POSTO DE SAUDE SAO SEBASTIAO DO CURUMITA,COMUNIDADE SAO SEBASTIAO,S/N,ZONA RURAL,"COMUNIDADE SAO SEBASTIAO, ZONA RURAL, ALVARAES, AM, BRASIL",,,,
AM,ALVARAES,UBS ELISANGELA LITAIFF,RUA RAIMUNDO FRAZAO GONCALVES,S/N,OCINE LITAIFF,"RUA RAIMUNDO FRAZAO GONCALVES, OCINE LITAIFF, ALVARAES, AM, BRASIL",,,,
AM,ALVARAES,CENTRO DE SAUDE DE HONEI ORLAN,RUA TEFE,126,CENTRO,"RUA TEFE, CENTRO, ALVARAES, AM, BRASIL",,,,
AM,ALVARAES,CENTRO DE SAUDE SANTA LUZIA,RUA RAIMUNDO VASCONCELOS LAVOR,540,SANTA LUZIA,"RUA RAIMUNDO VASCONCELOS LAVOR, SANTA LUZIA, ALVARAES, AM, BRASIL",,,,
AM,ALVARAES,POSTO DE SAUDE VILA SIAO,COMUNIDADE VILA SIAO,S/N,ZONA RURAL,"COMUNIDADE VILA SIAO, ZONA RURAL, ALVARAES, AM, BRASIL",,,,
AM,ALVARAES,CENTRO DE SAUDE VILA NOGUEIRA,RUA NITEROI,S/N,COMUNIDADE DE NOGUEI,"RUA NITEROI, COMUNIDADE DE NOGUEI, ALVARAES, AM, BRASIL",,,,
AM,AMATURA,UNIDADE BASICA DE SAUDE ALTINA GONCALVES,FREI PIO,295,CENTRO,"FREI PIO, CENTRO, AMATURA, AM, BRASIL",,,,
AM,AMATURA,UBS SERGIO PEREIRA PESSOA,RUA DAS INDUSTRIAS,1454,SANTA ETELVINA,"RUA DAS INDUSTRIAS, SANTA ETELVINA, AMATURA, AM, BRASIL",,,,
AM,AMATURA,UBS IRMAOS RAMIRES,SAO SEBASTIAO,1,ZONA RURAL,"SAO SEBASTIAO, ZONA RURAL, AMATURA, AM, BRASIL",,,,
AM,ANAMA,UBS RURAL JOAO BATISTA,VILA DO MATO GROSSO,S/N,COMUNIDADE,"VILA DO MATO GROSSO, COMUNIDADE, ANAMA, AM, BRASIL",,,,
AM,ANAMA,UBS URBANA CLEONICE DA SILVA TELES,ESTRADA ANAMA CUIA,S/N,CENTRO,"ESTRADA ANAMA CUIA, CENTRO, ANAMA, AM, BRASIL",,,,
AM,ANAMA,UBS FLUVIAL DR OSWALDO PALHARES,ZONA RURAL,S/N,MUNICIPIO DE ANAMA,"ZONA RURAL, MUNICIPIO DE ANAMA, ANAMA, AM, BRASIL",,,,
AM,ANAMA,UBS RURAL MANOEL VIEIRA COMPTON,VILA DO ARIXI,S/N,COMUNIDADE,"VILA DO ARIXI, COMUNIDADE, ANAMA, AM, BRASIL",,,,
AM,ANAMA,UBS RURAL JOAQUIM RODRIGUES,VILA DO CUIA,S/N,COMUNIDADE,"VILA DO CUIA, COMUNIDADE, ANAMA, AM, BRASIL",,,,
AM,ANAMA,POLO BASE INDIGENA ANAMA,RUA ALVARO MAIA,S/N,CENTRO,"RUA ALVARO MAIA, CENTRO, ANAMA, AM, BRASIL",,,,
AM,ANAMA,UBS RURAL TERESA CAMARA,VILA DO NOVO BRASIL,S/N,COMUNIDADE,"VILA DO NOVO BRASIL, COMUNIDADE, ANAMA, AM, BRASIL",,,,
AM,ANORI,CENTRO DE SAUDE JULIO TELES DE SOUZA,PRACA CAPITAO PEDRO SILVA,S/N,CENTRO,"PRACA CAPITAO PEDRO SILVA, CENTRO, ANORI, AM, BRASIL",,,,
AM,ANORI,POSTO DE SAUDE FAUSTO GOMES DA ROCHA,PRACA CAP PEDRO SILVA,S/N,CENTRO,"PRACA CAP PEDRO SILVA, CENTRO, ANORI, AM, BRASIL",,,,
AM,APUI,POSTO DE SAUDE ANIZIO FERREIRA DA SILVA,DOM PEDRO I,S/N,SAO SEBASTIAO,"DOM PEDRO I, SAO SEBASTIAO, APUI, AM, BRASIL",,,,
AM,APUI,CENTRO DE SAUDE CURUMIM,RUA JOINVILE,S/N,VILA RICA,"RUA JOINVILE, VILA RICA, APUI, AM, BRASIL",,,,
AM,APUI,POSTO DE SAUDE PADRE FALIERO BONCI,VICINAL CORUJA KM 17,S/N,RURAL,"VICINAL CORUJA KM 17, RURAL, APUI, AM, BRASIL",,,,
AM,APUI,POSTO DE SAUDE IRMA ELIZABETE,RUA DA MORENA,S/N,MORENA,"RUA DA MORENA, MORENA, APUI, AM, BRASIL",,,,
AM,APUI,POSTO DE SAUDE RURAL DE SUCUNDURI,ERNESTO GAISEL,S/N,SUCUNDURI,"ERNESTO GAISEL, SUCUNDURI, APUI, AM, BRASIL",,,,
AM,APUI,TRES ESTADOS,COMUNIDADE TRES ESTADOS,S/N,VICINAL,"COMUNIDADE TRES ESTADOS, VICINAL, APUI, AM, BRASIL",,,,
AM,APUI,CLAUDIA PEREIRA DOS SANTOS DAMACENA,VICINAL ESTRADA NOVA,30,VICINAL,"VICINAL ESTRADA NOVA, VICINAL, APUI, AM, BRASIL",,,,
AM,ATALAIA DO NORTE,UNIDADE BASICA DE SAUDE DONA JOANA,RUA CUNHA GOMES,S/N,CENTRO,"RUA CUNHA GOMES, CENTRO, ATALAIA DO NORTE, AM, BRASIL",,,,
AM,ATALAIA DO NORTE,UNIDADE BASICA DE SAUDE SAO FRANCISCO,RUA 31 DE MARCO,S/N,CENTRO,"RUA 31 DE MARCO, CENTRO, ATALAIA DO NORTE, AM, BRASIL",,,,
AM,ATALAIA DO NORTE,UNIDADE BASICA DE SAUDE DE PAUMARI,COMUNIDADE DE PAUMARI,S/N,ZONA RURAL,"COMUNIDADE DE PAUMARI, ZONA RURAL, ATALAIA DO NORTE, AM, BRASIL",,,,
AM,AUTAZES,UNIDADE BASICA DE SAUDE SANTA JULIA,COMUNIDADE DO SAMPAIO,S/N,ZONA RURAL,"COMUNIDADE DO SAMPAIO, ZONA RURAL, AUTAZES, AM, BRASIL",,,,
AM,AUTAZES,UNIDADE BASICA DE SAUDE ESTACIO ODUVALDO PEREIRA MOTA,COMUNIDADE NOVO MASTRO,S/N,ZONA RURAL,"COMUNIDADE NOVO MASTRO, ZONA RURAL, AUTAZES, AM, BRASIL",,,,
AM,AUTAZES,UNIDADE BASICA DE SAUDE ANA DIAS,COMUNIDADE DO ROSARINHO,S/N,ZONA RURAL,"COMUNIDADE DO ROSARINHO, ZONA RURAL, AUTAZES, AM, BRASIL",,,,
AM,AUTAZES,UNIDADE BASICA DE SAUDE SAO FRANCISCO,COMUNIDADE MAMORI,S/N,ZONA RURAL,"COMUNIDADE MAMORI, ZONA RURAL, AUTAZES, AM, BRASIL",,,,
AM,AUTAZES,UNIDADE BASICA DE SAUDE GILBERTO PINTO,COMUNIDADE NOVO CEU,S/N,ZONA RURAL,"COMUNIDADE NOVO CEU, ZONA RURAL, AUTAZES, AM, BRASIL",,,,
AM,AUTAZES,UNIDADE BASICA DE SAUDE SANTA VERONICA,VILA DE URUCURITUBA,S/N,ZONA RURAL,"VILA DE URUCURITUBA, ZONA RURAL, AUTAZES, AM, BRASIL",,,,
AM,AUTAZES,UNIDADE BASICA DE SAUDE MONTE SINAI,ESTRADA MANAUS AUTAZES KM 53,S/N,ZONA RURAL,"ESTRADA MANAUS AUTAZES KM 53, ZONA RURAL, AUTAZES, AM, BRASIL",,,,
AM,AUTAZES,UNIDADE BASICA DE SAUDE MARIA MENDONCA,RUA 03 DE MARCO,S/N,JAIR TUPINAMBA,"RUA 03 DE MARCO, JAIR TUPINAMBA, AUTAZES, AM, BRASIL",,,,
AM,AUTAZES,UNIDADE BASICA DE SAUDE DANILO CORREA,AV AUTAZES,S/N,CENTRO,"AV AUTAZES, CENTRO, AUTAZES, AM, BRASIL",,,,
AM,AUTAZES,UNIDADE BASICA DE SAUDE ANTONIO ENFERMEIRO,RUA FABIO LUCENA,S/N,WALDOMIRO SAMPAIO,"RUA FABIO LUCENA, WALDOMIRO SAMPAIO, AUTAZES, AM, BRASIL",,,,
AM,AUTAZES,UNIDADE BASICA DE SAUDE ACU PURANGA,COMUNIDADE DO ACU PURANGA,S/N,ZONA RURAL,"COMUNIDADE DO ACU PURANGA, ZONA RURAL, AUTAZES, AM, BRASIL",,,,
