UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
AP,AMAPA,PM APA UBS NOVA BRASILIA,RUA CONEGO DOMINGO MALTEZ,S/N,NOVA BRASILIA,"RUA CONEGO DOMINGO MALTEZ, NOVA BRASILIA, AMAPA, AP, BRASIL",,,,
AP,AMAPA,PM APA P S VISTA ALEGRE,COMUNIDADE DO VISTA ALEGRE,S/N,ZONA RURAL,"COMUNIDADE DO VISTA ALEGRE, ZONA RURAL, AMAPA, AP, BRASIL",,,,
AP,AMAPA,PM APA P S CRUZEIRO,COMUNIDADE DO CRUZEIRO,S/N,ZONA RURAL,"COMUNIDADE DO CRUZEIRO, ZONA RURAL, AMAPA, AP, BRASIL",,,,
AP,AMAPA,PM APA P S AMAPA GRANDE,COMUNIDADE DO AMAPA GRANDE,S/N,ZONA RURAL,"COMUNIDADE DO AMAPA GRANDE, ZONA RURAL, AMAPA, AP, BRASIL",,,,
AP,AMAPA,PM APA UBS PIQUIA,COMUNIDADE DO PIQUIA,S/N,COMUNIDADE DO PIQUIA,"COMUNIDADE DO PIQUIA, COMUNIDADE DO PIQUIA, AMAPA, AP, BRASIL",,,,
AP,AMAPA,PM APA P S BASE AEREA,COMUNIDADE DA BASE AEREA,S/N,ZONA RURAL,"COMUNIDADE DA BASE AEREA, ZONA RURAL, AMAPA, AP, BRASIL",,,,
AP,AMAPA,PM APA PS DO SUCURIJU,COMUNIDADE DE SUCURIJU,S/N,C SUCURIJU,"COMUNIDADE DE SUCURIJU, C SUCURIJU, AMAPA, AP, BRASIL",,,,
AP,AMAPA,SES AP UNID MISTA DE SAUDE DE AMAPA,AVN GUARANI,742,NOVA ESPERANCA,"AVN GUARANI, NOVA ESPERANCA, AMAPA, AP, BRASIL",,,,
AP,AMAPA,PM APA PS CALAFATE,COMUNIDADE DO CALAFATE,S/N,CALAFATE,"COMUNIDADE DO CALAFATE, CALAFATE, AMAPA, AP, BRASIL",,,,
AP,CALCOENE,PMC UBS DR JOSE RIBAMAR CAVALCANTE,AV ANTONIO TEODORO LEAL,227,CENTRO,"AV ANTONIO TEODORO LEAL, CENTRO, CALCOENE, AP, BRASIL",,,,
