UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
ES,AFONSO CLAUDIO,UNIDADE S RURAL DE SAO FRANCISCO AFONSO CLAUDIO,SAO FRANCISCO,S/N,SAO FRANCISCO,"SAO FRANCISCO, SAO FRANCISCO, AFONSO CLAUDIO, ES, BRASIL",,,,
ES,AFONSO CLAUDIO,UNIDADE S RURAL DE PIRACEMA AFONSO CLAUDIO,PIRACEMA,S/N,PIRACEMA,"PIRACEMA, PIRACEMA, AFONSO CLAUDIO, ES, BRASIL",,,,
ES,AFONSO CLAUDIO,UNIDADE S RURAL DE SAO LUIZ DE BOA SORTE,SAO LUIZ DE BOA SORTE,S/N,PONTOES,"SAO LUIZ DE BOA SORTE, PONTOES, AFONSO CLAUDIO, ES, BRASIL",,,,
ES,AFONSO CLAUDIO,UNIDADE S DE SERRA PELADA AFONSO CLAUDIO,RUA QUINZE DE NOVEMBRO,S/N,SERRA PELADA,"RUA QUINZE DE NOVEMBRO, SERRA PELADA, AFONSO CLAUDIO, ES, BRASIL",,,,
ES,AFONSO CLAUDIO,UNIDADE DE SAUDE DA FAMILIA FRANCISCO XAVIER DE AZEREDO,RUA JOAO BATISTA DE ARAUJO,S/N,AMANCIO PIMENTA,"RUA JOAO BATISTA DE ARAUJO, AMANCIO PIMENTA, AFONSO CLAUDIO, ES, BRASIL",,,,
ES,AFONSO CLAUDIO,UNIDADE S RURAL DE VILA PONTOES AFONSO CLAUDIO,VILA PONTOES,S/N,PONTOES,"VILA PONTOES, PONTOES, AFONSO CLAUDIO, ES, BRASIL",,,,
ES,AFONSO CLAUDIO,UNIDADE S RURAL DE SANTO ANTONIO AFONSO CLAUDIO,COR SANTO ANTONIO,S/N,COR SANTO ANTONIO,"COR SANTO ANTONIO, COR SANTO ANTONIO, AFONSO CLAUDIO, ES, BRASIL",,,,
ES,AFONSO CLAUDIO,UNIDADE DE SAUDE RURAL DE IBICABA,PATRIMONIO GONCALVES,S/N,PATRIMONIO GONCALVES,"PATRIMONIO GONCALVES, PATRIMONIO GONCALVES, AFONSO CLAUDIO, ES, BRASIL",,,,
ES,AFONSO CLAUDIO,UNIDADE S RURAL DE FAZENDA GUANDU AFONSO CLAUDIO,FAZENDA GUANDU,S/N,FAZENDA GUANDU,"FAZENDA GUANDU, FAZENDA GUANDU, AFONSO CLAUDIO, ES, BRASIL",,,,
ES,AFONSO CLAUDIO,UNIDADE S RURAL DE ALTO GUANDU,LOC DE ALTO GUANDU,S/N,FAZENDA GUANDU,"LOC DE ALTO GUANDU, FAZENDA GUANDU, AFONSO CLAUDIO, ES, BRASIL",,,,
ES,AFONSO CLAUDIO,UNIDADE DE SAUDE HILTON LOPES VIEIRA,PRACA ADERBAL GALVAO,230,CENTRO,"PRACA ADERBAL GALVAO, CENTRO, AFONSO CLAUDIO, ES, BRASIL",,,,
ES,AFONSO CLAUDIO,UNIDADE S RURAL DE MATA FRIA AFONSO CLAUDIO,MATA FRIA,S/N,MATA FRIA,"MATA FRIA, MATA FRIA, AFONSO CLAUDIO, ES, BRASIL",,,,
ES,AGUA DOCE DO NORTE,CENTRO DE SAUDE DE AGUA DOCE DO NORTE,RUA JOSE MERSON VIEIRA,S/N,CENTRO,"RUA JOSE MERSON VIEIRA, CENTRO, AGUA DOCE DO NORTE, ES, BRASIL",,,,
ES,AGUA DOCE DO NORTE,CLAUDOMIRO MARQUES,RUA MARIO DE OLIVEIRA DIAS,S/N,SANTO AGOSTINHO,"RUA MARIO DE OLIVEIRA DIAS, SANTO AGOSTINHO, AGUA DOCE DO NORTE, ES, BRASIL",,,,
ES,AGUA DOCE DO NORTE,ESF CENTRO,RUA MARINHO ELIZEU,S/N,CENTRO,"RUA MARINHO ELIZEU, CENTRO, AGUA DOCE DO NORTE, ES, BRASIL",,,,
ES,AGUA DOCE DO NORTE,CS DR DEBORA CRISTINA ELIZEU COELHO,RUA MARINHO ELIZEU,S/N,CENTRO,"RUA MARINHO ELIZEU, CENTRO, AGUA DOCE DO NORTE, ES, BRASIL",,,,
ES,AGUA DOCE DO NORTE,UNIDADE DE SAUDE SEBASTIAO VIANA,RUA PRINCIPAL,S/N,VILA NELITA,"RUA PRINCIPAL, VILA NELITA, AGUA DOCE DO NORTE, ES, BRASIL",,,,
ES,AGUA DOCE DO NORTE,UNIDADE DE SAUDE NELSON ONADIR GOMES,RUA PRINCIPAL,S/N,VILA MARINHO,"RUA PRINCIPAL, VILA MARINHO, AGUA DOCE DO NORTE, ES, BRASIL",,,,
ES,AGUA DOCE DO NORTE,UNIDADE DE SAUDE DR ALCEU MELGACO FILHO,RUA PRINCIPAL,S/N,CENTRO,"RUA PRINCIPAL, CENTRO, AGUA DOCE DO NORTE, ES, BRASIL",,,,
ES,AGUIA BRANCA,ESF AGUAS CLARAS,RUA PRINCIPAL,S/N,AGUAS CLARAS,"RUA PRINCIPAL, AGUAS CLARAS, AGUIA BRANCA, ES, BRASIL",,,,
ES,AGUIA BRANCA,UNIDADE DE SAUDE DA FAMILIA PIOTR WRUBLEWSKI,COMUNIDADE CORREGO DO CAFE ES08 KM 08,S/N,ZONA RURAL,"COMUNIDADE CORREGO DO CAFE ES08 KM 08, ZONA RURAL, AGUIA BRANCA, ES, BRASIL",,,,
ES,AGUIA BRANCA,ESF SAO PEDRO,RUA PRINCIPAL,S/N,CORREGO SAO PEDRO,"RUA PRINCIPAL, CORREGO SAO PEDRO, AGUIA BRANCA, ES, BRASIL",,,,
ES,AGUIA BRANCA,ESF AGUIA BRANCA,AVENIDA JOAO QUIUQUI,25,CENTRO,"AVENIDA JOAO QUIUQUI, CENTRO, AGUIA BRANCA, ES, BRASIL",,,,
ES,AGUIA BRANCA,UNIDADE SANIT III AGUIA BRANCA,RUA PAULINO MASSUCATI,252,CENTRO,"RUA PAULINO MASSUCATI, CENTRO, AGUIA BRANCA, ES, BRASIL",,,,
ES,ALEGRE,ESF DO DISTRITO DE ARARAI,RUA PRINCIPAL,S/N,DISTRITO DE ARARAI,"RUA PRINCIPAL, DISTRITO DE ARARAI, ALEGRE, ES, BRASIL",,,,
ES,ALEGRE,UNIDADE SANITARIA DE SANTA ANGELICA,RUA PRINCIPAL,S/N,SANTA ANGELICA,"RUA PRINCIPAL, SANTA ANGELICA, ALEGRE, ES, BRASIL",,,,
ES,ALEGRE,ESF DO BAIRRO GUARAREMA,RUA ANTONIO RODRIGUES DE OLIVEIRA,S/N,GUARAREMA,"RUA ANTONIO RODRIGUES DE OLIVEIRA, GUARAREMA, ALEGRE, ES, BRASIL",,,,
ES,ALEGRE,UNIDADE SANITARIA DE ROSEIRA,RUA PRINCIPAL,S/N,ROSEIRA,"RUA PRINCIPAL, ROSEIRA, ALEGRE, ES, BRASIL",,,,
ES,ALEGRE,CENTRO DE SAUDE DE ALEGRE,PRACA RUI BARBOZA,S/N,CENTRO,"PRACA RUI BARBOZA, CENTRO, ALEGRE, ES, BRASIL",,,,
ES,ALEGRE,ESF DO DISTRITO DE RIVE,RUA EUCLIDES JACOUD,S/N,RIVE,"RUA EUCLIDES JACOUD, RIVE, ALEGRE, ES, BRASIL",,,,
ES,ALEGRE,ESF DO BAIRRO PEDRO MARTINS,RUA 13 DE MAIO,S/N,CENTRO,"RUA 13 DE MAIO, CENTRO, ALEGRE, ES, BRASIL",,,,
ES,ALEGRE,UNIDADE SANITARIA DE BOA VISTA,RUA PRINCIPAL,S/N,BOA VISTA,"RUA PRINCIPAL, BOA VISTA, ALEGRE, ES, BRASIL",,,,
ES,ALEGRE,ESF DA RUA MISAEL BARCELOS,RUA PROJETADA,S/N,VILA DO SUL,"RUA PROJETADA, VILA DO SUL, ALEGRE, ES, BRASIL",,,,
ES,ALEGRE,ESF DO DISTRITO DE CELINA,RUA EMPERILIO DE SOUZA MOREIRA,S/N,CELINA,"RUA EMPERILIO DE SOUZA MOREIRA, CELINA, ALEGRE, ES, BRASIL",,,,
ES,ALEGRE,ESF DO BAIRRO VILA ALTA,RUA MARIA CARVALHO CARNEIRO,S/N,NOVA ALEGRE,"RUA MARIA CARVALHO CARNEIRO, NOVA ALEGRE, ALEGRE, ES, BRASIL",,,,
ES,ALEGRE,ESF DO BAIRRO VILA DO SUL,RUA LUIZ ALBANI,S/N,VILA DO SUL,"RUA LUIZ ALBANI, VILA DO SUL, ALEGRE, ES, BRASIL",,,,
ES,ALEGRE,CTA CENTRO DE TESTAGEM E ACONSELHAMENTO EM DST AIDS,RUA MONSENHOR PAVESI,S/N,CENTRO,"RUA MONSENHOR PAVESI, CENTRO, ALEGRE, ES, BRASIL",,,,
ES,ALEGRE,UNIDADE SANITARIA ASSENTAMENTO FLORESTA,RUA PRINCIPAL,S/N,FLORESTA,"RUA PRINCIPAL, FLORESTA, ALEGRE, ES, BRASIL",,,,
ES,ALEGRE,ESF DO DISTRITO DE ANUTIBA,ANUTIBA,S/N,CENTRO,"ANUTIBA, CENTRO, ALEGRE, ES, BRASIL",,,,
ES,ALEGRE,ESF DO DISTRITO DE VILA DO CAFE,RUA HOMERO MARTINS,S/N,VILA DO CAFE,"RUA HOMERO MARTINS, VILA DO CAFE, ALEGRE, ES, BRASIL",,,,
ES,ALEGRE,PROGRAMA SAUDE DA MULHER,RUA ANTONIO MARINS,S/N,CENTRO,"RUA ANTONIO MARINS, CENTRO, ALEGRE, ES, BRASIL",,,,
ES,ALEGRE,UNIDADE DE EACS,AV OLIVIO CORREA PEDROSA,S/N,CENTRO,"AV OLIVIO CORREA PEDROSA, CENTRO, ALEGRE, ES, BRASIL",,,,
ES,ALFREDO CHAVES,ESF DE IRIRITIMIRIM,IRIRITIMIRIM,S/N,ZONA RURAL,"IRIRITIMIRIM, ZONA RURAL, ALFREDO CHAVES, ES, BRASIL",,,,
ES,ALFREDO CHAVES,ESF SAO JOAO DE CRUBIXA,SAO JOAO DE CRUBIXA,S/N,ZONA RURAL,"SAO JOAO DE CRUBIXA, ZONA RURAL, ALFREDO CHAVES, ES, BRASIL",,,,
ES,ALFREDO CHAVES,ESF CAJA,RUA ERNANI BONACOSSA,373,JARDIM DO CAJA,"RUA ERNANI BONACOSSA, JARDIM DO CAJA, ALFREDO CHAVES, ES, BRASIL",,,,
ES,ALFREDO CHAVES,ESF SAGRADA FAMILIA,SAGRADA FAMILIA,1,ZONA RURAL,"SAGRADA FAMILIA, ZONA RURAL, ALFREDO CHAVES, ES, BRASIL",,,,
ES,ALTO RIO NOVO,UNIDADE PSF ANTONIO BRAGA,RUA ABILIO MARCIANO CRISTO,S/N,SANTA BARBARA,"RUA ABILIO MARCIANO CRISTO, SANTA BARBARA, ALTO RIO NOVO, ES, BRASIL",,,,
ES,ALTO RIO NOVO,UNIDADE SANITARIA DOUTOR ALOIS GOBBO,RUA OLIRIO ALVES,S/N,DISTRITO MONTE CARME,"RUA OLIRIO ALVES, DISTRITO MONTE CARME, ALTO RIO NOVO, ES, BRASIL",,,,
ES,ALTO RIO NOVO,UNIDADE DE SAUDE DA FAMILIA VILA PALMERINO,RUA JOAO PEDRO BALBINO,S/N,VILA PALMERINO,"RUA JOAO PEDRO BALBINO, VILA PALMERINO, ALTO RIO NOVO, ES, BRASIL",,,,
ES,ALTO RIO NOVO,UNIDADE DE SAUDE DA FAMILIA OTILIA LIMA DOS SANTOS,RUA JOSE VERDAN DA COSTA,S/N,PADRE PEDRO,"RUA JOSE VERDAN DA COSTA, PADRE PEDRO, ALTO RIO NOVO, ES, BRASIL",,,,
ES,ALTO RIO NOVO,UNIDADE SANITARIA SANTA BARBARA,RUA ABILIO MARCIANO CRISTO,S/N,SANTA BARBARA,"RUA ABILIO MARCIANO CRISTO, SANTA BARBARA, ALTO RIO NOVO, ES, BRASIL",,,,
ES,ANCHIETA,UNIDADE ESF ESB DE BAIXO PONGAL,BAIXO PONGAL,S/N,BAIXO PONGAL,"BAIXO PONGAL, BAIXO PONGAL, ANCHIETA, ES, BRASIL",,,,
ES,ANCHIETA,UNIDADE ESF DE MAEBA,RUA COSTA E SILVA,S/N,MAEBA,"RUA COSTA E SILVA, MAEBA, ANCHIETA, ES, BRASIL",,,,
ES,ANCHIETA,UNIDADE ESF ESB DE RECANTO DO SOL,RECANTO DO SOL,S/N,RECANTO DO SOL,"RECANTO DO SOL, RECANTO DO SOL, ANCHIETA, ES, BRASIL",,,,
ES,ANCHIETA,UNIDADE ESF ESB CENTRO III,ESTRADA JABAQUARA,S/N,NOVA ESPERANCA,"ESTRADA JABAQUARA, NOVA ESPERANCA, ANCHIETA, ES, BRASIL",,,,
ES,ANCHIETA,UNIDADE ESF ESB DE JABAQUARA,RUA PROJETADA,S/N,JABAQUARA,"RUA PROJETADA, JABAQUARA, ANCHIETA, ES, BRASIL",,,,
ES,ANCHIETA,UNIDADE ESF ESB AREA 10,RUA PROJETADA,S/N,CANTA GALO,"RUA PROJETADA, CANTA GALO, ANCHIETA, ES, BRASIL",,,,
ES,ANCHIETA,UNIDADE ESF ESB CENTRO II,RUA TEONILA ANTUNES NOGUEIRA,S/N,PORTAL DE ANCHIETA,"RUA TEONILA ANTUNES NOGUEIRA, PORTAL DE ANCHIETA, ANCHIETA, ES, BRASIL",,,,
ES,ANCHIETA,UNIDADE ESF ESB DE ALTO PONGAL,ALTO PONGAL,S/N,ALTO PONGAL,"ALTO PONGAL, ALTO PONGAL, ANCHIETA, ES, BRASIL",,,,
ES,ANCHIETA,UNIDADE ESF ESB CENTRO I,RUA MARECHAL FLORIANO PEIXOTO,S/N,ALVORADA,"RUA MARECHAL FLORIANO PEIXOTO, ALVORADA, ANCHIETA, ES, BRASIL",,,,
ES,ANCHIETA,UNIDADE ESF ESB DE IRIRI,RUA RIO NOVO DO SUL,S/N,IRIRI,"RUA RIO NOVO DO SUL, IRIRI, ANCHIETA, ES, BRASIL",,,,
ES,APIACA,UNIDADE DE SAUDE DA FAMILIA JOSE CARLOS,RUA MANOEL DA SILVA ARAUJO,9,CENTRO,"RUA MANOEL DA SILVA ARAUJO, CENTRO, APIACA, ES, BRASIL",,,,
ES,APIACA,UNIDADE DE SAUDE DA FAMILIA RURAL,RUA ANSELMO SOARES,S/N,BONSUCESSO,"RUA ANSELMO SOARES, BONSUCESSO, APIACA, ES, BRASIL",,,,
ES,APIACA,UNIDADE DE SAUDE DE APIACA,RUA AUGUSTO CESARIO,46,CENTRO,"RUA AUGUSTO CESARIO, CENTRO, APIACA, ES, BRASIL",,,,
ES,APIACA,UNIDADE DE SAUDE DA FAMILIA DE APIACA,MIGUEL RANGEL DE AZEREDO,S/N,CENTRO,"MIGUEL RANGEL DE AZEREDO, CENTRO, APIACA, ES, BRASIL",,,,
ES,ARACRUZ,UNIDADE BASICA DE SAUDE DE VILA RICA,RUA PADRE LUIZ PARENZI,S/N,VILA RICA,"RUA PADRE LUIZ PARENZI, VILA RICA, ARACRUZ, ES, BRASIL",,,,
ES,ARACRUZ,CENTRO DE DETENCAO PROVISORIA DE ARACRUZ CDPA,ESTRADA ARACRUZ COQUEIRAL,S/N,FATIMA,"ESTRADA ARACRUZ COQUEIRAL, FATIMA, ARACRUZ, ES, BRASIL",,,,
