UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
MS,AGUA CLARA,UBSF ELTON ALVES DE OLIVEIRA,PORTE BATISTA SOUZA,27,CENTRO,"PORTE BATISTA SOUZA, CENTRO, AGUA CLARA, MS, BRASIL",,,,
MS,AGUA CLARA,UBSF MARIA LUIZA DA SILVA MARINHO,FERNANDO BASTOS JUNIOR,720,JD SANTOS DUMONT,"FERNANDO BASTOS JUNIOR, JD SANTOS DUMONT, AGUA CLARA, MS, BRASIL",,,,
MS,AGUA CLARA,UBSF MARIA DO CARMO DA SILVA MARIA,AVENIDA LUIZ FIUZA LIMA,S/N,JARDIM MORUMBI,"AVENIDA LUIZ FIUZA LIMA, JARDIM MORUMBI, AGUA CLARA, MS, BRASIL",,,,
MS,AGUA CLARA,UBSF SEBASTIANA DE BRITO PASCOAL,ALBERTO BATISTA DE SOUZA,180,JARDIM DAS PALMEIRAS,"ALBERTO BATISTA DE SOUZA, JARDIM DAS PALMEIRAS, AGUA CLARA, MS, BRASIL",,,,
MS,ALCINOPOLIS,HOSPITAL LOCAL AVERALDO F BARBOSA,AV AVERALDO FERNANDES BARBOSA,970,CENTRO,"AV AVERALDO FERNANDES BARBOSA, CENTRO, ALCINOPOLIS, MS, BRASIL",,,,
MS,ALCINOPOLIS,UNIDADE PSF DE ALCIONOPOLIS,RUA ERASMO FRANCO,635,CENTRO,"RUA ERASMO FRANCO, CENTRO, ALCINOPOLIS, MS, BRASIL",,,,
MS,ALCINOPOLIS,UNIDADE BASICA DE SAUDE DE ALCINOPOLIS,AV DARLINDO JOS CARNEIRO,1211,CENTRO,"AV DARLINDO JOS CARNEIRO, CENTRO, ALCINOPOLIS, MS, BRASIL",,,,
MS,AMAMBAI,UNIDADE DE SAUDE DA FAMILIA VILA GLORIA,R JOANA BATISTA,815,VILA GLORIA,"R JOANA BATISTA, VILA GLORIA, AMAMBAI, MS, BRASIL",,,,
MS,AMAMBAI,UNIDADE DE SAUDE DA FAMILIA VILA GUAPECRISTINA,R DA REPUBLICA,S/N,VILA GUAPE,"R DA REPUBLICA, VILA GUAPE, AMAMBAI, MS, BRASIL",,,,
MS,AMAMBAI,UNIDADE DE SAUDE CENTRAL,JOSE LUIZ SAMPAIO FERRAZ,1553,VILA VILARINHO,"JOSE LUIZ SAMPAIO FERRAZ, VILA VILARINHO, AMAMBAI, MS, BRASIL",,,,
MS,AMAMBAI,POSTO DE SAUDE VILA SAO LUIZ ESF,RUA D PEDRO II,3791,VILA SAO LUIZ,"RUA D PEDRO II, VILA SAO LUIZ, AMAMBAI, MS, BRASIL",,,,
MS,AMAMBAI,POSTO DE SAUDE VILAS JARDIM PANORAMA E ORLANDO VIOL,RUA FRANCISCO SEREJO NETO,1889,VILA JARDIM PANORAMA,"RUA FRANCISCO SEREJO NETO, VILA JARDIM PANORAMA, AMAMBAI, MS, BRASIL",,,,
MS,AMAMBAI,UNIDADE DE SAUDE DA FAMILIA VILA VILARINHO,RUA JOSE LUIZ SAMPAIO FERRAZ S N VILA VILARINHO,1553,VILA MARINHO,"RUA JOSE LUIZ SAMPAIO FERRAZ S N VILA VILARINHO, VILA MARINHO, AMAMBAI, MS, BRASIL",,,,
MS,AMAMBAI,UNIDADE DE SAUDE DA FAMILIA VILAS INTEGRADAS,AV NICOLAU OTANO ESQ C SAO CRISTOVAO,31,VILA VAROCOPA,"AV NICOLAU OTANO ESQ C SAO CRISTOVAO, VILA VAROCOPA, AMAMBAI, MS, BRASIL",,,,
