UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
RS,ACEGUA,POSTO DE SAUDE DA COLONIA NOVA,COLONIA NOVA,1,COLONIA NOVA,"COLONIA NOVA, COLONIA NOVA, ACEGUA, RS, BRASIL",,,,
RS,ACEGUA,UNIDADE BASICA DE SAUDE DE ACEGUA,CORREDOR INTERNACIONAL,S/N,CENTRO,"CORREDOR INTERNACIONAL, CENTRO, ACEGUA, RS, BRASIL",,,,
RS,AGUA SANTA,UNIDADE BASICA AREA INDIGENA AGUA SANTA,AREA INDIGENA CARRETEIRO,S/N,INTERIOR,"AREA INDIGENA CARRETEIRO, INTERIOR, AGUA SANTA, RS, BRASIL",,,,
RS,AGUA SANTA,CENTRO DE SAUDE AGUA SANTA,RUA REGINA BIANCHI PERUZZO,750,CENTRO,"RUA REGINA BIANCHI PERUZZO, CENTRO, AGUA SANTA, RS, BRASIL",,,,
RS,AGUDO,UBS ELEMAR ROBERTO BRAGA NOVA BOEMIA,NOVA BOEMIA,1,INTERIOR,"NOVA BOEMIA, INTERIOR, AGUDO, RS, BRASIL",,,,
RS,AGUDO,CENTRO DE SAUDE,RUA RAMIRO BARCELOS,250,CENTRO,"RUA RAMIRO BARCELOS, CENTRO, AGUDO, RS, BRASIL",,,,
RS,AGUDO,UBS DARCILA DIVA BENDER PICADA DO RIO,PICADA DO RIO,1,INTERIOR,"PICADA DO RIO, INTERIOR, AGUDO, RS, BRASIL",,,,
RS,AGUDO,UBS PROFESSOR EDMUNDO FREDERICO BESKOW,LINHA DOS POMERANOS,1,INTERIOR,"LINHA DOS POMERANOS, INTERIOR, AGUDO, RS, BRASIL",,,,
RS,AGUDO,UBS TIA LAURINHA,RUA ARNILDO EHLE ESQUINA FLORIANO ZUROWSKI,35,VILA CAICARA,"RUA ARNILDO EHLE ESQUINA FLORIANO ZUROWSKI, VILA CAICARA, AGUDO, RS, BRASIL",,,,
RS,AJURICABA,UNIDADE DE SAUDE 02,RUA LUIZ FOGLIATTO,323,PLANALTO,"RUA LUIZ FOGLIATTO, PLANALTO, AJURICABA, RS, BRASIL",,,,
RS,AJURICABA,UNIDADE DE SAUDE 03,RUA COMBATENTES DA RAMADA,S/N,JOAO CARLINI,"RUA COMBATENTES DA RAMADA, JOAO CARLINI, AJURICABA, RS, BRASIL",,,,
RS,AJURICABA,UNIDADE DE SAUDE 01,RUA LUIZ FOGLIATTO,S/N,CENTRO,"RUA LUIZ FOGLIATTO, CENTRO, AJURICABA, RS, BRASIL",,,,
RS,ALECRIM,UNIDADE BASICA DE SAUDE ALECRIM,RUA MARQUES DO ERVAL,474,CENTRO,"RUA MARQUES DO ERVAL, CENTRO, ALECRIM, RS, BRASIL",,,,
RS,ALECRIM,SECRETARIA MUNICIPAL DE SAUDE DE ALECRIM,RUA OSVALDO CRUZ,S/N,CENTRO,"RUA OSVALDO CRUZ, CENTRO, ALECRIM, RS, BRASIL",,,,
RS,ALECRIM,POSTO DE SAUDE ESQUINA VANGUARDA ALECRIM,ESQUINA VANGUARDA,S/N,INTERIOR,"ESQUINA VANGUARDA, INTERIOR, ALECRIM, RS, BRASIL",,,,
RS,ALEGRETE,ESF PRADO,R OLEGARIO VITOR ANDRADE,620,VILA PRADO,"R OLEGARIO VITOR ANDRADE, VILA PRADO, ALEGRETE, RS, BRASIL",,,,
RS,ALEGRETE,PLANTAO PEDIATRICO,RUA GAL SAMPAIO,88,CANUDOS,"RUA GAL SAMPAIO, CANUDOS, ALEGRETE, RS, BRASIL",,,,
RS,ALEGRETE,ESF VILA PIOLA,RUA PEDRO CARNEIRO PEREIRA,26,VILA PIOLA,"RUA PEDRO CARNEIRO PEREIRA, VILA PIOLA, ALEGRETE, RS, BRASIL",,,,
RS,ALEGRETE,ESF SAINT PASTOUS,RUA FELIPE SOARES,312,SAINT PASTOUS,"RUA FELIPE SOARES, SAINT PASTOUS, ALEGRETE, RS, BRASIL",,,,
RS,ALEGRETE,ESF BOA VISTA QUILOMBOLA,RUA PEDRO SOUZA BISH,525,BOA VISTA,"RUA PEDRO SOUZA BISH, BOA VISTA, ALEGRETE, RS, BRASIL",,,,
RS,ALEGRETE,ESF NOVA BRASILIA,RUA IZABEL GARAIALDI PERES,135,NOVA BRASILIA,"RUA IZABEL GARAIALDI PERES, NOVA BRASILIA, ALEGRETE, RS, BRASIL",,,,
RS,ALEGRETE,ESF VILA NOVA,RUA VER ADOLFO SOUTO CORREA,315,VILA NOVA,"RUA VER ADOLFO SOUTO CORREA, VILA NOVA, ALEGRETE, RS, BRASIL",,,,
RS,ALEGRETE,ESF VERA CRUZ,RUA MAXIMINO MARINHO,307,VERA CRUZ,"RUA MAXIMINO MARINHO, VERA CRUZ, ALEGRETE, RS, BRASIL",,,,
RS,ALEGRETE,ESF ASSENTAMENTO RURAL PASSO NOVO,RUA ALVARO KRUELL,S/N,PASSO NOVO,"RUA ALVARO KRUELL, PASSO NOVO, ALEGRETE, RS, BRASIL",,,,
RS,ALEGRETE,ESF DR ROMARIO ARAUJO,PRACA VEREADOR GASPAR MARTINS,S/N,DR ROMARIO DE ARAUJO,"PRACA VEREADOR GASPAR MARTINS, DR ROMARIO DE ARAUJO, ALEGRETE, RS, BRASIL",,,,
RS,ALEGRETE,SERVICO DE ASSISTENCIA ESPECIALIZADA EM DSTHIVAIDS,AV TIARAJU,1969,CAPAO DO ANGICO,"AV TIARAJU, CAPAO DO ANGICO, ALEGRETE, RS, BRASIL",,,,
RS,ALEGRETE,UNIDADE BASICA BENTO GONCALVES,RUA BENTO GONCALVES,592,CIDADE ALTA,"RUA BENTO GONCALVES, CIDADE ALTA, ALEGRETE, RS, BRASIL",,,,
RS,ALEGRETE,CENTRO SOCIAL URBANO,AVENIDA TIARAJU,1969,CAPAO DO ANGICO,"AVENIDA TIARAJU, CAPAO DO ANGICO, ALEGRETE, RS, BRASIL",,,,
RS,ALEGRETE,PACSPROGRAMA DE AGENTES COMUNITARIOS DE SAUDE,RUA BENTO GOLCAVES,592,CIDADE ALTA,"RUA BENTO GOLCAVES, CIDADE ALTA, ALEGRETE, RS, BRASIL",,,,
RS,ALEGRETE,ESF SAUDE VAI AO CAMPO ITINERANTE,RUA BENTO GONCALVES,592,CIDADE ALTA,"RUA BENTO GONCALVES, CIDADE ALTA, ALEGRETE, RS, BRASIL",,,,
RS,ALEGRETE,ESF CIDADE ALTA ASSUNCAO,AV DR EURIPIDES BRASIL MILANO,2353,CIDADE ALTA,"AV DR EURIPIDES BRASIL MILANO, CIDADE ALTA, ALEGRETE, RS, BRASIL",,,,
RS,ALEGRETE,ESF RONDON,AV MAL RONDON,280,SAUDADE,"AV MAL RONDON, SAUDADE, ALEGRETE, RS, BRASIL",,,,
RS,ALEGRETE,ESF JESUS FRANCO PEREIRA,PADRE MANOEL LANDEL DE MOURA,193,RESTINGA,"PADRE MANOEL LANDEL DE MOURA, RESTINGA, ALEGRETE, RS, BRASIL",,,,
