UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO
AC,ACRELANDIA,UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA,RUA 07 QUEDAS,284,CENTRO
AC,ACRELANDIA,UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO,BR 364 KM 114,114,ZONA RURAL
AC,ACRELANDIA,UNIDADE MISTA DE SAUDE DE ACRELANDIA,AVENIDA PARANA,346,CENTRO
AC,ACRELANDIA,UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA,BR 364 KM 90 RAMAL GRANADA KM 16,16,ZONA RURAL
AC,ACRELANDIA,UNIDADE DE SAUDE DA FAMILIA REDENCAO,AC 475 VILA REDENCAOI,,ZONA RURAL
AC,ACRELANDIA,UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN,AVENIDA PARANA,513,CENTRO
AC,ASSIS BRASIL,UNIDADE MISTA DE ASSIS BRASIL,TRAVESSA DO HOSPITAL,S/N,CASCATA
AC,ASSIS BRASIL,UNIDADE BASICA DE SAUDE GILDO FERREIRA DA SILVA,RUA EUNICIO PEREIRA,2490,CIDADE NOVA
AC,ASSIS BRASIL,UNIDADE BASICA DE SAUDE ANTONIO ALVES CAVALCANTE,RUA JOAO JOSE DO BOMFIM,S/N,BELA VISTA
AC,ASSIS BRASIL,UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS,RUA FRANCISCA DAS CHAGAS,622,CASCATA
AC,BRASILEIA,ESF FRANCISCO DE ASSIS,RUA PEDRO ALEXANDRINO NETO,S/N,SAMAUMA
AC,BRASILEIA,ESF RAIMUNDA ANTONIA DE ARAUJO CARNEIRO LIMA,RUA RAIMUNDO TEODORO,S/N,MARCOS GALVAO
AC,BRASILEIA,ESF DR RICARDO BARBOSA DA SILVA,ESTRADA DO PACIFICO KM 26 BR 317,26,ZONA RURAL
AC,BRASILEIA,ESF JOSE MARIA DE SOUZA SANTOS,AV GENY ASSIS,501,CENTRO
AC,BRASILEIA,CENTRO DE SAUDE DR FERNANDO AZEVEDO CORREIA,RUA GENERALISSIMO DOEDORO,S/N,CENTRO
AC,BRASILEIA,ESF SIMAO MANSOU BARTHA,LOTEAMENTO ALBERTO CASTRO QUADRA 12,S/N,ALBERTO CASTRO
AC,BRASILEIA,ESF PEDRO OLIVEIRA DE SOUZA,ESTRADA DO PACIFICO KM 68 BR 317,S/N,ZONA RURAL
AC,BRASILEIA,ESF TUFIC MIZAEL SAADY,RUA KAIRALA JOSE KAIRALA,S/N,RAIMUNDO CHAAR
AC,BRASILEIA,ESF ANTONIO CORREIA DA CRUZ,BR 317 KM19 MAIS 12KM LINHA 08 LOTE 20 GLEBA 5,S/N,ZONA RURAL
AC,BRASILEIA,ESF ANTONIO MONTEIRO DOS REIS,RUA PREFEITO VALDEMIR LOPES,S/N,JOSE MOREIRA
AC,BUJARI,U S F MARIA IZA VIANA DE CASTRO,RUA JOSE PEREIRA GURGEL,S/N,CENTRO
AC,BUJARI,USF ANTIMARY,BR 364 KM 87 MARGENS DO DO RIO ANTIMARY,S/N,ZONA RURAL
AC,BUJARI,UNIDADE BASICA DE SAUDE NOVA VIDA,RAMAL ESPINHARA KM 16,16,RAMAL ESPINHARA
AC,BUJARI,UNIDADE BASICA DE SAUDE MARIA DO CARMO RAMOS,RAMAL LINHA NOVA KM 16 RAMAL SAMAUMA,16,ZONA RURAL
AC,BUJARI,CENTRO DE SAUDE RAIMUNDA PORFIRIO DE BRITO RAMOS,RUA PROJETADA DO FORUM,320,CENTRO
AC,CAPIXABA,UNIDADE DE SAUDE DA FAMILIA DR LUIZ FERNANDO MAGALHAES,AV GOV EDMUNDO PINTO,1231,CENTRO
AC,CAPIXABA,UNIDADE DE SAUDE DA FAMILIA RAIMUNDO RODRIGUES LUSTOSA,RAMAL DO SILVEIRA,S/N,ALCOBRAS
AC,CAPIXABA,UNIDADE DE SAUDE FRANCISCO ANTONIO DE LIMA,RAMAL TRACUA,S/N,KM 100
AC,CAPIXABA,UNIDADE DE SAUDE DA FAMILIA DA ALCOBRAS,RAMAL DO BARRIGA,S/N,EST CAPIXABA
AC,CAPIXABA,CENTRO DE SAUDE IDELFONSO CORDEIRO DE ANDRADE,RUA FRANCISCO CORDEIRO DE ANDRADE,S/N,CONQUISTA
AC,CRUZEIRO DO SUL,POSTO DE SAUDE ALFREDO SAID,VALPARAISO,S/N,VALPARAISO
AC,CRUZEIRO DO SUL,UNIDADE DE SAUDE DA FAMILIA OSMAR D ALBUQUERQUE LIMA,DERACRE,1800,DERACRE
AC,CRUZEIRO DO SUL,POSTO DE SAUDE BURITIRANA,RAMAL DA BURITIRANA,S/N,VILA SAO PEDRO
AC,CRUZEIRO DO SUL,UNIDADE DE SAUDE DA FAMILIA JOSE TIMOTIO DE OLIVEIRA,BR 364 RAMAL 03,S/N,PROJETO SANTA LUZIA
AC,CRUZEIRO DO SUL,POSTO DE SAUDE DEPUTADO FRANCISCO THAUMATURGO,BR 364 RAMAL 02,0,ONCA
AC,CRUZEIRO DO SUL,UNIDADE BASICA DE SAUDE FRANCISCA SOUZA MACHADO,BR 364 RAMAL 07,0,PROJETO SANTA LUZIA
AC,CRUZEIRO DO SUL,POSTO DE SAUDE MAURICIO PERES NOBRE,BR 364 RAMAL 11 BOCA DO 11,S/N,PROJETO SANTA LUZIA
AC,CRUZEIRO DO SUL,UNIDADE BASICA DE SAUDE EUCLIDES QUEIROS FILHO,BR 364,S/N,MIRITIZAL
AC,CRUZEIRO DO SUL,UNIDADE DE SAUDE DA FAMILIA J LINS,RUA MINAS GERAIS,S/N,ALUMINIO
AC,CRUZEIRO DO SUL,POSTO DE SAUDE RAIMUNDO JOSE DA SILVA,ESTRADA DO PENTENCOSTE,S/N,BELO JARDIM AREAL
AC,CRUZEIRO DO SUL,CRIE CRUZEIRO DO SUL,AV LAURO MULLER,350,CENTRO
AC,CRUZEIRO DO SUL,UNIDADE MISTA DE SANTA LUZIA,BR 364 PDA SEDE DO INCRA,S/N,ZONA RURAL
AC,CRUZEIRO DO SUL,UNIDADE DE SAUDE DA FAMILIA ABEL PINHEIRO,RUA MORADA FELIZ,S/N,FORMOSO
AC,CRUZEIRO DO SUL,UNIDADE DE SAUDE DA FAMILIA PROF QUITA,RUA 23 DE OUTUBRO,S/N,SAO JOSE
AC,CRUZEIRO DO SUL,UNIDADE DE SAUDE DA FAMILIA GEOSETE COELHO MARIANO,RUA CORONEL CARVALHO,S/N,CRUZEIRINHO
AC,CRUZEIRO DO SUL,UNIDADE DE SAUDE DA CLOVIS PINHEIRO ROSAS,BR 364 CAMPINAS,0,CAMPINAS
AC,CRUZEIRO DO SUL,UNIDADE DE SAUDE ADALTO JOSE BATISTA,BR 364,S/N,RIO LIBERDADE
AC,CRUZEIRO DO SUL,POSTO DE SAUDE VITAL BRASIL,BR 364 RAMAL 02,S/N,RAMAL 02
AC,CRUZEIRO DO SUL,UNIDADE SAUDE DA FAMILIA 25 DE AGOSTO,AV 25 DE AGOSTO,S/N,25 DE AGOSTO
AC,CRUZEIRO DO SUL,UNIDADE DE SAUDE DA FAMILIA BOCA DO MOA ARITO ROSAS,BOCA DO MOA,S/N,BOCA DO MOA
AC,CRUZEIRO DO SUL,UNIDADE DE SAUDE DA FAM SENADOR ADALBERTO SENA,AVENIDA 25 DE AGOSTO,S/N,AEROPORTO VELHO
AC,CRUZEIRO DO SUL,UNIDADE DA SAUDE DA FAMILIA PASTOR JOAO BRAZ,RUA NILO PECANHA,S/N,SANACRE
AC,CRUZEIRO DO SUL,UNIDADE DA SAUDE DA FAM FRANCISCO ARY DA SILVEIRA,RUA SAO PAULO,S/N,CONJUNTO MANCIO LIMA
AC,CRUZEIRO DO SUL,UNIDADE DE SAUDE DA FAMILIA FLUVIAL,AVENIDA RIO JURUA,S/N,RIO JURUA
AC,CRUZEIRO DO SUL,POSTO DE SAUDE FAZENDA SAO GERALDO,COMUNIDADE FAZENDA SAO GERALDO LOTE 03,S/N,SAO GERALDO
AC,CRUZEIRO DO SUL,UNIDADE DE SAUDE DA FAMILIA NESTOR SOARES DE VASCONCELOS,AV 7 DE SETEMBRO,12,COHAB
AC,CRUZEIRO DO SUL,UNIDADE DE SAUDE DA FAMILIA FRANCISCO SOUZA DOS SANTOS,RUA SIQUEIRA CAMPOS,S/N,CENTRO
AC,CRUZEIRO DO SUL,UNIDADE DE SAUDE DA FAMILIA MANOEL RODRIGUES DE ARAUJO,ESTRADA DO CANELA FINA,S/N,CANELA FINA
AC,CRUZEIRO DO SUL,UNIDADE DA SAUDE DA FAM JOSE MATHEUS ARNALDO DOS SANTOS,BR 364,S/N,MIRITIZAL
AC,CRUZEIRO DO SUL,UNIDADE DE SAUDE DA FAMILIA RAIMUNDO CELSO LIMA VERDE,RUA DO REMANSO,S/N,REMANSO
AC,CRUZEIRO DO SUL,UNIDADE PENITENCIARIA MANOEL NERI DA SILVA,LINHA DO DIVISOR,S/N,FORMOSO
AC,CRUZEIRO DO SUL,UNIDADE DE SAUDE DA FAMILIA FRANCISCO PEREIRA DANTAS,ESTRADA DO AEROPORTO INTERNACIONAL,10,IGARAPE PRETO
AC,CRUZEIRO DO SUL,UNIDADE DE SAUDE DA FAMILIA LUIZ GONZAGA,SERINGAL SAO PEDRO,S/N,SAO PEDRO
AC,CRUZEIRO DO SUL,UNIDADE BASICA DE SAUDE PENTECOSTES,ESTRADA DO DERACRE,S/N,PETENCOSTE
AC,CRUZEIRO DO SUL,UNIDADE BASICA DE SAUDE GEOVANA MARIA FREITAS DO VALE,BR 364,S/N,LAGOINHA
AC,CRUZEIRO DO SUL,UNIDADE DE SAUDE DA FAMILIA GERALDO MAIA,BR 364,S/N,SANTA ROSA
AC,CRUZEIRO DO SUL,UBS RIO LIBERDADE MAURICIO MAPES,COMUNIDADE SAO PEDRO,S/N,RIO LIBERDADE
AC,EPITACIOLANDIA,ESF MANOEL ARAUJO DA COSTA,RUA VENEZUELA,S/N,SATEL
AC,EPITACIOLANDIA,CENTRO DE SAUDE JOSE CANDIDO DE MESQUITA,RUA DOM JULIO MATIOLLE,S/N,CENTRO
AC,EPITACIOLANDIA,ESF SUELLEN DE LIMA CASTELO,BR 317 KM 09 VILA PROGRESSO,S/N,ZONA RURAL
AC,EPITACIOLANDIA,ESF JOAO ALVES DA SILVA,RUA DO CEMITERIO,S/N,LIBERDADE
AC,EPITACIOLANDIA,ESF JOSE FRANCISCO DO NASCIMENTO,RUA SAO SEBASTIAO,S/N,JOSE HASSEM
AC,EPITACIOLANDIA,ESF SAO CRISTOVAO,EST VELHA KM 33,S/N,ZONA RURAL
AC,EPITACIOLANDIA,ESF JOSE PAULO DE SOUZA,RUA CAPITAO PEDRO VASCONCELOS,S/N,AEROPORTO
AC,FEIJO,U S F ANTONIO DOMINGOS RODRIGUES,RUA JARINA,S/N,ZENAIDE PAIVA
AC,FEIJO,U S F DR JOSE LUIZ DE SOUZA,RUA EDINALDO GOMES FERREIRA,S/N,GENIR NUNES
AC,FEIJO,U S F FLORINDA VIEIRA DA COSTA,RUA PROJETADA G,S/N,CONQUISTA
AC,FEIJO,CENTRO DE SAUDE DIAMANTINO MACEDO,PRESIDENTE COSTA E SILVA,S/N,2 DISTRITO
AC,FEIJO,U S F MARIA ALICE,RUA NESTOR FERREIRA BRAGA,S/N,ESPERANCA
AC,FEIJO,UNIDADE DE SAUDE DA FAMILIA DULCE DE ARAUJO ANDRADE SENA,RUA ANASTACIO BARROSO,S/N,CENTRO
AC,FEIJO,U S F FRANCISCA XAVIER FERREIRA,RUA 21 DE DEZEMBRO,S/N,NAIR ARAUJO
AC,FEIJO,U S F FRANCISCA LIMA,RUA FRANCISCO CARNEIRO DE FRANCA,S/N,BELA VISTA
AC,JORDAO,HOSPITAL DA FAMILIA DR MARCIO ROGERIO CAMARGO,RUA ROMILDO MAGALHAES,S/N,CENTRO
